"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",0.969215701361115,0.881752653868235,0.873232819958907,0.899030155422367,0.90774856948433,0.92773020265094,0.986184269292872,0.953652527529181,0.927929619751849,0.97044280292747
"Ser_1",0.030784298638885,0.118247346131765,0.126767180041093,0.100969844577633,0.0922514305156702,0.0722697973490597,0.0138157307071284,0.0463474724708195,0.0720703802481508,0.0295571970725304
"Asn_0",0.988005424628925,0.982581987899838,0.980598119769292,0.981838808791096,0.981568868704092,0.983168440822744,0.983238733321429,0.982294180415911,0.976387188826147,0.986511439075203
"Asn_1",0.0119945753710746,0.0174180121001624,0.0194018802307084,0.0181611912089043,0.0184311312959083,0.0162324901706149,0.0167612666785714,0.0174676207318432,0.0236128111738534,0.013488560924797
"Asn_2",0,0,0,0,0,0.000599069006641491,0,0.000238198852245552,0,0
"Gly_0",0.98336232325888,0.905571110202326,0.913925368241364,0.925335922303213,0.917014664393476,0.943163602066604,0.975724889544156,0.960160906276402,0.946124230511377,0.972706736753355
"Gly_1",0.0166376767411198,0.0944288897976739,0.0860746317586362,0.0746640776967873,0.0829853356065241,0.0568363979333958,0.0242751104558439,0.0398390937235983,0.0538757694886235,0.0272932632466445
"Arg_0",0.516683216179753,0.825177620527213,0.838225101820493,0.844736006791892,0.84184951906322,0.568062378620054,0.487780366595652,0.573881171496376,0.491197800979287,0.322574079529747
"Arg_1",0,0.0255362081984798,0.0101773550269958,0.0038029559327037,0.0188185116281127,0.00442545702703064,0.0221484080124753,0.0134140806886103,0.00953922556816521,0
"Arg_2",0,0,0,0,0,0,0,0,0,0
"Arg_3",0.425323680552143,0.070939716614467,0.0690211666423578,0.078612159944159,0.0758855322612539,0.294775174954392,0.430165959295547,0.295228458275716,0.326276700435398,0.580065366566151
"Arg_4",0.0579931032681043,0.0783464546598398,0.0825763765101534,0.0728488773312455,0.0634464370474133,0.132736989398523,0.0599052660963256,0.117476289539297,0.17298627301715,0.0973605539041024
"Ala_0",0.845992148995556,0.623417443734389,0.621824162112148,0.648912648046224,0.6164691409149,0.844363619667154,0.892124857153893,0.812118673516714,0.797185041556991,0.883044797255779
"Ala_1",0.154007851004444,0.376582556265611,0.378175837887852,0.351087351953776,0.3835308590851,0.155636380332846,0.107875142846107,0.187881326483286,0.202814958443009,0.116955202744221
"Asp_0",0.823188508074607,0.472538454896191,0.496903262774829,0.512471605078882,0.518911239513044,0.668863777740405,0.834374980812013,0.676265487216799,0.631070625445463,0.798526995780124
"Asp_1",0.176811491925393,0.527461545103809,0.503096737225171,0.487528394921118,0.481088760486956,0.331136222259595,0.165625019187987,0.323734512783201,0.368929374554537,0.201473004219876
"Glu_0",0.87740196732001,0.491661530678398,0.518692883995281,0.527987304508655,0.526260875731996,0.674015796221094,0.856671153298959,0.688268859136954,0.662971009673479,0.850038262612594
"Glu_1",0.12259803267999,0.508338469321602,0.481307116004719,0.472012695491345,0.473739124268004,0.325984203778906,0.143328846701041,0.311731140863047,0.337028990326521,0.149961737387406
"Orn_0",0.951419753150385,0.917810555118803,0.952583600276565,0.932801886856167,0.874936304419049,0.97794686780358,0.974048183640016,0.880807554465563,0.917184662992581,0.96106982945708
"Orn_1",0.0196322325584204,0.0821894448811964,0.0474163997234347,0.0656258738918001,0.079655890114733,0.0220531321964198,0.025951816359984,0.0776927794019824,0.0828153370074187,0.0389301705429199
"Orn_2",0.0289480142911947,0,0,0.00157223925203251,0.045407805466218,0,0,0.041499666132455,0,0
"Pro_0",0.898274627532194,0.531234331598625,0.569315942671483,0.549663464626509,0.544811841578488,0.719762900773033,0.882551756387491,0.73874040623608,0.703852660006705,0.865024044184166
"Pro_1",0.101725372467806,0.468765668401375,0.430684057328517,0.450336535373491,0.455188158421512,0.280237099226967,0.117448243612509,0.26125959376392,0.296147339993294,0.134975955815834
