"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",82573.7728590293,124832.593383038,112836.195731396,83206.5509375284,84214.415724996,466636.492111343,132981.370268638,351829.011249463,1009216.16261574,490850.499535838
"Ser_1",2598.5487758725,16586.4155763957,16229.4998939075,9258.80358572121,8479.57134427581,36015.8577710733,1845.80796144147,16941.3284063207,77661.5216019396,14812.2987753483
"Asn_0",102986.974618381,294947.515853265,288942.765001494,173967.41386391,177965.61968952,633895.302815723,158972.727565476,496911.624769757,1549624.81839541,577920.878161749
"Asn_1",1238.75361883048,5180.26073258829,5664.24036656435,3188.22623538245,3310.88743214761,10369.3573129895,2685.02027912576,8754.8442942313,37130.369598942,7829.04814529955
"Asn_2",0,0,0,0,0,379.158377923173,0,118.285483959563,0,0
"Gly_0",304948.405253391,319666.665952228,294722.426740362,216825.046864004,223797.474247368,510692.249490437,402899.762357821,387839.077416565,1189322.75618155,1189666.19052499
"Gly_1",5111.34642491266,33022.4665373923,27498.4020960041,17332.1150887521,20063.6566650499,30487.9773658789,9930.26126968455,15942.1477103061,67092.6401955468,33069.5657765122
"Arg_0",40978.2673733138,101969.562286431,94189.4694570685,91796.718360453,97379.2487674021,84094.8704061913,40182.7877785228,74583.900671245,100982.434626131,47697.6926616909
"Arg_1",0,3127.54458234759,1133.44538301995,409.591963796461,2157.45232784939,649.315230991238,1808.34899007066,1727.85787088983,1943.68787839816,0
"Arg_2",0,0,0,0,0,0,0,0,0,0
"Arg_3",32841.3249109001,8534.62476850571,7550.85016885894,8317.02002544559,8545.9983545868,42485.0615711248,34500.3623539456,37355.3838785403,65305.1382895685,83505.8130648988
"Arg_4",4438.14363109571,9341.96485767689,8953.50905202749,7638.79366999501,7081.65812611356,18960.9986622968,4761.85883102998,14732.2508242445,34316.0136440341,13891.4220713712
"Ala_0",32540.7614745507,149099.348050163,112316.920312263,91703.8460021752,88648.4812633963,170685.386070118,51437.8017531167,93982.5740098444,425916.409435992,247671.969921045
"Ala_1",5868.58515568282,89224.9194801568,67670.6802749822,49152.5061527227,54637.3267437022,31167.8696376496,6161.7959869776,21539.7484766052,107348.105825369,32496.9677651751
"Asp_0",3751941.25859337,1691123.1777006,1346368.50165756,1119351.30184516,1109711.73101449,7353594.35901433,4940193.62178616,6060985.50456299,19883757.8229499,24238843.9872074
"Asp_1",798715.973469314,1870914.91563023,1351041.67252056,1055411.1223783,1019688.35621363,3608226.83250729,971927.317934536,2875677.45363102,11520965.7334793,6061279.52573129
"Glu_0",6620748.928954,4879549.38488136,3903775.96055243,3151823.17566814,3280469.27271042,14231171.6847512,8176320.27527948,11945894.5832341,33828031.2854932,34938362.5681028
"Glu_1",916992.0371251,5000806.07983777,3590628.10789743,2792965.63774143,2927168.2857484,6822455.11876396,1355972.57619194,5363080.24151766,17046019.974687,6109674.64821755
"Orn_0",68585.6389002984,147872.552550094,133935.081967447,85140.0866221141,81625.2631625808,244948.056122681,75679.9461013167,137877.733528969,488575.33055142,399848.595565689
"Orn_1",1403.14388559759,13128.7102130996,6609.84562040469,5938.69833046027,7367.79520110999,5476.46745986765,1999.12350784022,12057.7217226573,43737.8083796812,16058.2579850708
"Orn_2",2051.26960294313,0,0,141.060769189835,4164.1044213987,0,0,6385.584394385,0,0
"Pro_0",148831.455383799,525364.14236242,443643.861100902,301529.583162555,311398.279578392,530932.832095248,179760.777909247,488273.195082927,2340153.75873102,1268021.41450785
"Pro_1",16702.7873955793,459413.930050424,332593.682112288,244818.542086345,257830.739687619,204856.534742661,23706.9318038759,171126.530494305,975763.440390068,196078.009281281
