"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",0.969490689862707,0.882714384024897,0.87425396178839,0.899867321836817,0.90852080472125,0.928348374817111,0.98630982279929,0.954059948470547,0.928546217546237,0.970707161324071
"Ser_1",0.0305093101372931,0.117285615975103,0.12574603821161,0.100132678163183,0.0914791952787497,0.0716516251828891,0.0136901772007098,0.0459400515294532,0.0714537824537626,0.0292928386759288
"Asn_0",0.988114704115944,0.982739815716102,0.980773572035438,0.982003247350209,0.981735705940509,0.983326427117827,0.983390710838637,0.982456707723187,0.976599812069388,0.986634145744313
"Asn_1",0.0118852958840561,0.0172601842838976,0.0192264279645621,0.0179967526497915,0.0182642940594913,0.0160854056384359,0.0166092891613634,0.0173094270151659,0.0234001879306123,0.0133658542556872
"Asn_2",0,0,0,0,0,0.000588167243737047,0,0.000233865261647283,0,0
"Gly_0",0.983514963173241,0.906369480952566,0.914659762389325,0.925980845752439,0.917725073323572,0.943663911109647,0.975945884016797,0.960517857893722,0.946599953813834,0.972954446121261
"Gly_1",0.0164850368267592,0.0936305190474338,0.0853402376106749,0.0740191542475605,0.0822749266764275,0.0563360888903532,0.0240541159832032,0.0394821421062778,0.0534000461861656,0.0270455538787385
"Arg_0",0.523632161012943,0.829198155319412,0.842276361003943,0.848695596470925,0.845567594150644,0.575242690819641,0.494536949494255,0.580874245480097,0.498562298141297,0.32873439055091
"Arg_1",0,0.0254326304851358,0.0101356792655245,0.00378683358438762,0.0187336809170887,0.00444157698158576,0.0222556831571689,0.0134569005913756,0.00959621838304157,0
"Arg_2",0,0,0,0,0,0,0,0,0,0
"Arg_3",0.419655955117855,0.0694020348396651,0.0675224379049227,0.0768940153572756,0.0742069728383683,0.290614885542564,0.424602296112615,0.290931155782688,0.322419240005701,0.575525377297664
"Arg_4",0.056711883869202,0.0759671793557873,0.0800655218256104,0.070623554587412,0.0614917520938989,0.129700846656209,0.0586050712359614,0.114737698145839,0.169422243469961,0.0957402321514261
"Ala_0",0.847209451069823,0.625615467510854,0.624025877037123,0.651045157703145,0.618682914214397,0.845591444495833,0.89302362813745,0.813544707092158,0.798696326582397,0.884009383647053
"Ala_1",0.152790548930177,0.374384532489146,0.375974122962877,0.348954842296855,0.381317085785603,0.154408555504167,0.10697637186255,0.186455292907842,0.201303673417603,0.115990616352947
"Asp_0",0.82448338058912,0.474762799664292,0.499133767102287,0.514700497570369,0.521138201163044,0.670836919389083,0.835604290263309,0.678215742600618,0.633145449830884,0.799958586863746
"Asp_1",0.17551661941088,0.525237200335708,0.500866232897713,0.485299502429631,0.478861798836956,0.329163080610917,0.164395709736691,0.321784257399382,0.366854550169116,0.200041413136254
"Glu_0",0.878346570776086,0.493863748354531,0.520892111620542,0.53018253037999,0.528456959965438,0.675948700789887,0.857749588968763,0.690156101339492,0.664936847912697,0.851157934397204
"Glu_1",0.121653429223914,0.506136251645469,0.479107888379458,0.46981746962001,0.471543040034562,0.324051299210113,0.142250411031238,0.309843898660508,0.335063152087303,0.148842065602796
"Orn_0",0.952048709377731,0.918455855638786,0.952969874232757,0.933350478160264,0.876210274360626,0.978131265334873,0.974264322192595,0.882016482497768,0.917834437700509,0.961389773099493
"Orn_1",0.0194772746419458,0.081544144361214,0.0470301257672428,0.0651031393823477,0.079089948435927,0.0218687346651272,0.0257356778074047,0.0771343496049027,0.0821655622994914,0.0386102269005071
"Orn_2",0.0284740159803233,0,0,0.00154638245738864,0.0446997772034465,0,0,0.0408491678973295,0,0
"Pro_0",0.899097690513252,0.5334848095015,0.571531053837546,0.551900096710659,0.547052713475365,0.72158263767382,0.883485532729979,0.740481344082298,0.705733472280701,0.8660760286526
"Pro_1",0.100902309486748,0.4665151904985,0.428468946162454,0.448099903289341,0.452947286524635,0.27841736232618,0.116514467270021,0.259518655917702,0.294266527719299,0.1339239713474
