"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",0,0,0,0,0,0,0,0,0,0
"Ser_1",0,0,0,0,0,0,0,0,0,0
"Asn_0",-0.52256535,-0.19945739,-0.06547302,-0.40717312,-0.96332052,0,-0.17236014,0,-0.4225065,-0.10277506
"Asn_1",-61.64843955,-23.53052395,-7.72402796,-48.03530694,-113.64551161,0,-20.33378857,0,-49.84422727,-12.12464956
"Asn_2",790.69802663,301.80064551,99.06777376,616.09706075,1457.60837463,0,260.79956951,0,639.29813038,155.50979961
"Gly_0",0,0,0,0,0,0,0,0,0,0
"Gly_1",0,0,0,0,0,0,0,0,0,0
"Arg_0",-21.69889417,1.12687661,0.91327776,0.85954191,1.02547988,1.46540627,1.06881988,1.37251804,2.11282994,-2.22156644
"Arg_1",38.5153107,-201.70417996,-163.47126266,-153.85286544,-183.55477079,-262.29896648,-191.31237142,-245.67252844,-378.18393437,-306.86736173
"Arg_2",1478.96786638,1815.04818783,1471.00679377,1384.45502053,1651.72954842,2360.31431711,1721.5368225,2210.70023251,3403.11274103,3095.81944948
"Arg_3",-44.82894938,-54.93969107,-44.5259026,-41.90606709,-49.9961994,-71.44435078,-52.10919569,-66.91568226,-103.00881483,-93.71872683
"Arg_4",0.90403727,1.10742298,0.89751156,0.84470336,1.00777669,1.44010849,1.05036849,1.34882382,2.07635547,1.88917099
"Ala_0",0,0,0,0,0,0,0,0,0,0
"Ala_1",0,0,0,0,0,0,0,0,0,0
"Asp_0",0,0,0,0,0,0,0,0,0,0
"Asp_1",0,0,0,0,0,0,0,0,0,0
"Glu_0",0,0,0,0,0,0,0,0,0,0
"Glu_1",0,0,0,0,0,0,0,0,0,0
"Orn_0",0,4.97163091,1.75033526,0,0,3.29298719,0.10970406,0,16.47977998,10.56271459
"Orn_1",0,-706.93810626,-248.88788255,0,0,-468.24435826,-15.59930395,0,-2343.33253125,-1501.95892993
"Orn_2",0,4870.24923105,1714.64235395,0,0,3225.83647081,107.46697259,0,16143.72369712,10347.31931805
"Pro_0",0,0,0,0,0,0,0,0,0,0
"Pro_1",0,0,0,0,0,0,0,0,0,0
