"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",0,0,0,0,0,0,0,0,0,0
"Ser_1",0,0,0,0,0,0,0,0,0,0
"Asn_0",-4.68e-06,-6.2e-07,-2.1e-07,-2.16e-06,-4.99e-06,0,-1e-06,0,-2.5e-07,-1.6e-07
"Asn_1",-0.04544099,-0.00414754,-0.00124512,-0.01375695,-0.03134141,0,-0.00691483,0,-0.00122573,-0.00141407
"Asn_2",Inf,Inf,Inf,Inf,Inf,0,Inf,0,Inf,-Inf
"Gly_0",0,0,0,0,0,0,0,0,0,0
"Gly_1",0,0,0,0,0,0,0,0,0,0
"Arg_0",-0.00047103,9.83e-06,8.63e-06,8.33e-06,9.37e-06,1.55e-05,2.366e-05,1.637e-05,1.861e-05,-4.143e-05
"Arg_1",Inf,-0.05685866,-0.12715283,-0.33116116,-0.07500836,-0.35614448,-0.09327087,-0.12535273,-0.17153857,-Inf
"Arg_2",Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Arg_3",-0.00118215,-0.00557487,-0.00510681,-0.00436357,-0.00506649,-0.00145635,-0.00130805,-0.00155134,-0.00136603,-0.00097195
"Arg_4",0.00017484,0.00010175,8.604e-05,9.492e-05,0.00012215,6.519e-05,0.00018933,7.859e-05,5.194e-05,0.00011673
"Ala_0",0,0,0,0,0,0,0,0,0,0
"Ala_1",0,0,0,0,0,0,0,0,0,0
"Asp_0",0,0,0,0,0,0,0,0,0,0
"Asp_1",0,0,0,0,0,0,0,0,0,0
"Glu_0",0,0,0,0,0,0,0,0,0,0
"Glu_1",0,0,0,0,0,0,0,0,0,0
"Orn_0",0,2.88e-05,1.12e-05,0,0,1.152e-05,1.24e-06,0,2.89e-05,2.263e-05
"Orn_1",0,-0.04573651,-0.03198278,0,0,-0.07262327,-0.0066278,0,-0.04550726,-0.07944441
"Orn_2",0,Inf,Inf,0,0,Inf,Inf,0,Inf,Inf
"Pro_0",0,0,0,0,0,0,0,0,0,0
"Pro_1",0,0,0,0,0,0,0,0,0,0
