"","sample1"
"Cystine_0",120587.717329
"Cystine_1",108404.11482224
"Cystine_2",97309.63284082
"Cystine_3",98307.28901219
"Cystine_4",99019.51308487
"Cystine_5",98965.09993113
"Cystine_6",98925.75194612
"S_simple_0",113380.14814089
"S_simple_1",107944.6503319
"S_simple_2",98013.92065285
"Seleno-Cystine_0",322640.43851066
"Seleno-Cystine_1",597763.22584655
"Seleno-Cystine_2",454236.91001233
"Seleno-Cystine_3",203740.85474172
"Seleno-Cystine_4",327698.27526044
"Seleno-Cystine_5",245172.27266021
"Seleno-Cystine_6",231229.96569014
"Se_simple_0",38076.48936254
"Se_simple_1",334876.57886832
"Se_simple_2",332873.24453372
