"","sample1"
"Cystine_0",100000.000000001
"Cystine_1",90868.7772694249
"Cystine_2",82451.1545785864
"Cystine_3",84197.3879072681
"Cystine_4",85724.6411631342
"Cystine_5",86604.1987272026
"Cystine_6",87506.0804298231
"S_simple_0",100000.000000002
"S_simple_1",96235.6745247495
"S_simple_2",88327.25290155
"Seleno-Cystine_0",86508.6268621774
"Seleno-Cystine_1",161827.009724925
"Seleno-Cystine_2",124173.793980031
"Seleno-Cystine_3",56246.5418383349
"Seleno-Cystine_4",91370.5970194112
"Seleno-Cystine_5",69049.8207610677
"Seleno-Cystine_6",65786.7908147022
"Se_simple_0",10730.2005632394
"Se_simple_1",95333.5574357003
"Se_simple_2",95740.213683199
