"","sample1"
"Cystine_0",0.161982080097063
"Cystine_1",0.14719113557978
"Cystine_2",0.133556095250437
"Cystine_3",0.136384680319584
"Cystine_4",0.138858556911786
"Cystine_5",0.140283282549715
"Cystine_6",0.141744169291635
"S_simple_0",0.351416120520129
"S_simple_1",0.338187673971247
"S_simple_2",0.310396205508624
"Seleno-Cystine_0",0.132081664086842
"Seleno-Cystine_1",0.24707802578717
"Seleno-Cystine_2",0.189588968635335
"Seleno-Cystine_3",0.085877410318549
"Seleno-Cystine_4",0.139504936567298
"Seleno-Cystine_5",0.105425499881648
"Seleno-Cystine_6",0.100443494723159
"Se_simple_0",0.0531714042781108
"Se_simple_1",0.472406745224322
"Se_simple_2",0.474421850497568
