"","sample1"
"Cystine_0",119490.80631378
"Cystine_1",107534.09259678
"Cystine_2",96295.90320399
"Cystine_3",97284.25563417
"Cystine_4",98025.13577929
"Cystine_5",97745.38297087
"Cystine_6",105143.64112056
"S_simple_0",112288.10491225
"S_simple_1",107024.75953072
"S_simple_2",100025.85532378
"Seleno-Cystine_0",316584.0846702
"Seleno-Cystine_1",594558.98814791
"Seleno-Cystine_2",457397.98408853
"Seleno-Cystine_3",196505.47116071
"Seleno-Cystine_4",328629.73798891
"Seleno-Cystine_5",243043.31990729
"Seleno-Cystine_6",245763.89278346
"Se_simple_0",34691.64830072
"Se_simple_1",331428.52313904
"Se_simple_2",339706.14132482
