"","sample1"
"Cystine_0",0.165610012035472
"Cystine_1",0.149038431646457
"Cystine_2",0.133462700441585
"Cystine_3",0.134832521793594
"Cystine_4",0.135859355351215
"Cystine_5",0.135471627898379
"Cystine_6",0.145725350833299
"S_simple_0",0.351626965230734
"S_simple_1",0.335144950818656
"S_simple_2",0.31322808395061
"Seleno-Cystine_0",0.132879865692373
"Seleno-Cystine_1",0.249554296368342
"Seleno-Cystine_2",0.191983696075443
"Seleno-Cystine_3",0.0824792586868454
"Seleno-Cystine_4",0.137935788818877
"Seleno-Cystine_5",0.102012594032808
"Seleno-Cystine_6",0.103154500325312
"Se_simple_0",0.0491504038222091
"Se_simple_1",0.469561019680466
"Se_simple_2",0.481288576497324
