"","sample1"
"Cystine_0",99090.3625680002
"Cystine_1",89310.6531832122
"Cystine_2",80081.9196315057
"Cystine_3",80993.1538891624
"Cystine_4",81683.0308503635
"Cystine_5",81505.8657856641
"Cystine_6",87716.9362028425
"S_simple_0",99036.8303035898
"S_simple_1",94487.00812481
"S_simple_2",88375.9483383012
"Seleno-Cystine_0",84884.7546130937
"Seleno-Cystine_1",159454.031212236
"Seleno-Cystine_2",122686.988751021
"Seleno-Cystine_3",52711.597236541
"Seleno-Cystine_4",88151.3711759108
"Seleno-Cystine_5",65186.8197046957
"Seleno-Cystine_6",65903.9446147895
"Se_simple_0",9776.33049601236
"Se_simple_1",93418.6359203685
"Se_simple_2",95764.0788091942
