"","sample1"
"Cystine_0",0.165045546707386
"Cystine_1",0.148756399708413
"Cystine_2",0.133384961609043
"Cystine_3",0.134902719263126
"Cystine_4",0.13605178277719
"Cystine_5",0.135756695503282
"Cystine_6",0.146101894431561
"S_simple_0",0.351319280654697
"S_simple_1",0.335179423895794
"S_simple_2",0.313501295449509
"Seleno-Cystine_0",0.132844251876985
"Seleno-Cystine_1",0.249544827945952
"Seleno-Cystine_2",0.192004575025954
"Seleno-Cystine_3",0.0824934080571529
"Seleno-Cystine_4",0.137956491824362
"Seleno-Cystine_5",0.102017074036218
"Seleno-Cystine_6",0.103139371233377
"Se_simple_0",0.0491374015437609
"Se_simple_1",0.46953701358213
"Se_simple_2",0.481325584874109
