"","sample1"
"Cystine_0",113050.14629864
"Cystine_1",110063.60363779
"Cystine_2",98964.87198008
"Cystine_3",99340.88716677
"Cystine_4",100067.06648957
"Cystine_5",100036.38908622
"Cystine_6",99996.11808663
"S_simple_0",110966.79386383
"S_simple_1",109190.01595724
"S_simple_2",99181.90930457
"Seleno-Cystine_0",302473.22194318
"Seleno-Cystine_1",586088.71827451
"Seleno-Cystine_2",466269.27422895
"Seleno-Cystine_3",216764.57467776
"Seleno-Cystine_4",327436.4332372
"Seleno-Cystine_5",249557.8288906
"Seleno-Cystine_6",233890.88962697
"Se_simple_0",37266.01186745
"Se_simple_1",332099.51759226
"Se_simple_2",336460.78330488
