"","sample1"
"Cystine_0",100000.000000001
"Cystine_1",97358.2142450661
"Cystine_2",87540.6845725339
"Cystine_3",87873.2937720804
"Cystine_4",88515.6452829592
"Cystine_5",88488.5091806591
"Cystine_6",88452.886936099
"S_simple_0",99999.9999999967
"S_simple_1",98398.8201832938
"S_simple_2",89379.8098071349
"Seleno-Cystine_0",86056.072013133
"Seleno-Cystine_1",166746.968944546
"Seleno-Cystine_2",132657.370403835
"Seleno-Cystine_3",61671.2703641238
"Seleno-Cystine_4",93158.3070308193
"Seleno-Cystine_5",71001.2157654237
"Seleno-Cystine_6",66543.8451432084
"Se_simple_0",10718.3620128678
"Se_simple_1",95517.6761740291
"Se_simple_2",96772.0530820931
