"","sample1"
"Cystine_0",0.156683515380403
"Cystine_1",0.152544272590753
"Cystine_2",0.137161821976315
"Cystine_3",0.137682965762643
"Cystine_4",0.138689424690987
"Cystine_5",0.138646906891966
"Cystine_6",0.138591092706932
"S_simple_0",0.347489318450518
"S_simple_1",0.34192538961829
"S_simple_2",0.310585291931193
"Seleno-Cystine_0",0.126957247276683
"Seleno-Cystine_1",0.245999331292965
"Seleno-Cystine_2",0.195707451937429
"Seleno-Cystine_3",0.0909827109037736
"Seleno-Cystine_4",0.137435069309042
"Seleno-Cystine_5",0.104747041039711
"Seleno-Cystine_6",0.0981711482403972
"Se_simple_0",0.0527977084355016
"Se_simple_1",0.470511670628271
"Se_simple_2",0.476690620936227
