"","sample1"
"Cystine_0",111948.3897924
"Cystine_1",109186.17602414
"Cystine_2",97964.28070623
"Cystine_3",98317.92575526
"Cystine_4",99071.59253562
"Cystine_5",98819.15750381
"Cystine_6",106211.61839865
"S_simple_0",109873.98398017
"S_simple_1",108269.03132191
"S_simple_2",101195.70447217
"Seleno-Cystine_0",296600.68557794
"Seleno-Cystine_1",582559.80965065
"Seleno-Cystine_2",469236.31214346
"Seleno-Cystine_3",210022.60143141
"Seleno-Cystine_4",328119.91395306
"Seleno-Cystine_5",247513.42151338
"Seleno-Cystine_6",248428.99840451
"Se_simple_0",33945.80051572
"Se_simple_1",328588.21217247
"Se_simple_2",343292.3000764
