"","sample1"
"Cystine_0",0.155156507256746
"Cystine_1",0.151328176707512
"Cystine_2",0.135775026853758
"Cystine_3",0.136265166378925
"Cystine_4",0.137309721870013
"Cystine_5",0.136959855847666
"Cystine_6",0.14720554508538
"S_simple_0",0.344067215080724
"S_simple_1",0.339041352074213
"S_simple_2",0.316891432845063
"Seleno-Cystine_0",0.124492322549761
"Seleno-Cystine_1",0.244518058298616
"Seleno-Cystine_2",0.196952742066652
"Seleno-Cystine_3",0.0881528691991793
"Seleno-Cystine_4",0.137721900686943
"Seleno-Cystine_5",0.103888905874904
"Seleno-Cystine_6",0.104273201323944
"Se_simple_0",0.0480937022349884
"Se_simple_1",0.465536926337375
"Se_simple_2",0.486369371427636
