"","sample1"
"Cystine_0",0.159658735454756
"Cystine_1",0.154203261496937
"Cystine_2",0.137008990947286
"Cystine_3",0.136167598406934
"Cystine_4",0.135879618143354
"Cystine_5",0.134219234717636
"Cystine_6",0.142862560833097
"S_simple_0",0.347380859227186
"S_simple_1",0.338938336625339
"S_simple_2",0.313680804147475
"Seleno-Cystine_0",0.127712633008512
"Seleno-Cystine_1",0.248361742573046
"Seleno-Cystine_2",0.198076013699411
"Seleno-Cystine_3",0.0877841204946439
"Seleno-Cystine_4",0.135801876264787
"Seleno-Cystine_5",0.101439888150887
"Seleno-Cystine_6",0.100823725808713
"Se_simple_0",0.0487923834144264
"Se_simple_1",0.467577013129855
"Se_simple_2",0.483630603455719
