"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",372530.000000001,260596.999999998,77331.0000000015,57129.3533654642,6067.00000000271,572481.999999997,247468.999999999,230540.000000002,15270.6342950277,128894,233113.999999998,242274.999999998,180596.000000001,290385.999999998,269719.000000003
"2KG_1",52254.177114509,29622.4287722099,5727.48060945871,0,297.944405961648,76668.4312535068,28525.9075654309,28423.7427642854,0,13323.0180092798,29459.8029094898,29740.0115303956,16187.5734200513,42901.9865287998,29114.6970878798
"2KG_2",140285.805997123,135551.398177467,34710.1134238623,0,2137.88800292854,239549.548021204,127481.907850419,98011.3499944921,5003.12817666106,51110.3225584443,97580.2591245998,94792.5321117376,76912.9103904712,155156.649830084,97059.7970703577
"2KG_3",35329.90044616,40357.4211319564,5222.23701028211,0,997.651638449248,43549.2455266773,33903.0924956318,23093.2403466144,764.158924755998,12714.6221135291,24105.9226801582,22432.5077622984,14109.8448221488,43578.0278623073,22701.0683074461
"2KG_4",28851.09932448,43994.0396053156,8475.44645126089,61.5485756319881,845.201102475785,63338.770364369,45899.9002161208,24183.2874107298,1101.03379353138,15232.3503267118,29613.507231158,30280.9223716111,17464.223494604,58969.0047215604,25841.5202869293
"2KG_5",6264.58945296982,22294.0857120428,3287.01122901007,117.206887160772,330.16892004535,21820.743204519,19927.6379243448,4529.81226833768,234.254585903482,4255.82247457128,7835.78749729864,10745.8852401754,5840.05402858947,25547.5649412693,10524.8823649064
"Cit_0",323984.000000003,201355.000000002,120119.000000002,2467384.47629276,49509.1696457288,464595.000000001,291908.000000003,179546,197969.514234464,98974.0000000013,359879.000000002,333233.999999998,231907.999999999,437950.000000003,115577.000000001
"Cit_1",66212.6502816365,35605.9055152682,15315.7350430292,98624.38300544,0,64630.5308428732,44524.056701601,31878.376010748,0,15765.1690669109,82563.8789745938,50741.777748129,32886.5812432496,52882.4296164094,7575.0417508304
"Cit_2",1143238.39209235,917932.746523861,476573.419739901,14951.3665070842,58013.5204365752,1608109.36286716,1176613.33380565,741692.22086121,90295.1366339073,411910.832484645,1541567.26310458,1286297.09309719,913929.6839271,1831755.81662871,381177.126300724
"Cit_3",155901.298393774,149981.038423956,52348.9686467743,0,5752.41695652544,238838.216541589,219699.072180451,77454.3745807839,3506.61985404683,55089.6257824715,235008.866143027,201030.067816403,128749.251000729,360397.878048315,55046.4214669004
"Cit_4",398598.680202541,377951.675313169,169073.056342973,0,25337.4818009062,561805.804919568,501425.136623144,267519.812291692,29543.0540614046,152431.235996122,569089.715042718,487488.699471865,307346.799275655,859993.105686475,139039.812585747
"Cit_5",170349.818184137,273910.619831695,84084.4119897507,0,12669.8528311699,308026.292389865,364753.648994655,112641.148553366,12677.1715420568,66425.5688980272,303938.346071654,275541.608639866,189217.493868088,564838.462536228,61562.6182656752
"Cit_6",30298.7133592126,80117.2363540861,17614.9513363356,212.465484468943,4992.3513483188,46979.9705144589,80375.1625324991,20970.7919743348,3319.24589950154,13767.8832169365,78995.5733236953,59062.6323118391,26963.4252355681,132075.084940102,13458.7172636693
"Fum_0",597984.999999998,631589.999999996,842460.999999998,396315.194402369,157832.999999997,943847.999999997,901312,856947.000000003,218091,997158.999999998,851381.999999998,1022801,974412.999999997,967119.999999996,606099.999999997
"Fum_1",68819.6662288802,70898.9108564538,86607.0260137764,5301.47164938534,12284.7582295611,83679.5512944252,91825.4273402906,102401.071800861,14867.5520331155,85661.5813893743,104346.041854356,89359.1321330242,100665.296184821,108450.45586139,51594.8850996698
"Fum_2",220532.605172857,265616.244492876,299895.100444184,123724.927988701,78356.5972537951,318570.809400794,344051.038645178,302557.860274582,88835.7110048886,341622.533197603,322545.055659902,353136.018892016,329861.148644989,385746.603941244,212091.895178195
"Fum_3",87343.3719456403,170462.495239437,148614.731394797,0,37897.0462880441,157130.021445077,247842.391376964,159046.970786689,25732.1966073717,199664.788309865,183693.092733403,224981.219594161,181019.957346036,273292.579739754,101814.561922167
"Fum_4",50037.1564223994,67380.4446167486,55978.8860224403,1475.46750584557,23215.2621694932,65170.6600938141,83413.3584952943,58637.4102094248,17807.8572227173,61155.0146191562,66105.5719618725,66876.9372033373,65236.4990724272,106045.128849254,46106.4012337601
"2HG_0",5501853,570579,1256713,2237242.3001005,184335.000000002,6395408,701772.999999997,1675323,681429.999999999,2520342,4347262,4265397,3984049,2685423,5388753
"2HG_1",1619648.25269415,53262.6342501293,145749.430636916,229368.631922716,8957.98691066167,1429489.00474316,63363.2614004638,224948.323173176,67160.4631542072,319580.684538406,845035.865930014,629965.233258841,630416.207255423,323502.878919283,1016126.38351794
"2HG_2",2306115.8577878,192534.87471062,436919.495284366,79846.6551355192,30322.977513737,2586537.63469314,232064.347651337,605133.951761895,103603.893186699,907578.427084963,1835289.97154588,1711337.06395138,1468402.29870682,791654.227797159,1927901.62867308
"2HG_3",474294.434228777,60206.0891717035,119753.758232248,113727.512438242,13360.8744456397,619505.937629143,72270.7871183764,145993.372552848,41979.1736501236,220359.160568151,481373.291713607,458286.874356392,422465.503579219,248181.884952524,515679.743677306
"2HG_4",483364.344662117,63559.0950362895,120852.436412736,0,8455.41005340967,683256.333352523,69141.1628341351,146113.240571216,21488.2913630589,202146.299564904,479619.287283003,462373.11834258,431241.046744292,223959.503354042,475056.315562795
"2HG_5",123964.532276808,18907.7623292833,31575.0814018376,2323.11096203507,3131.7316626418,189323.781803569,21534.37485747,37314.1840521611,7386.54544382858,63024.4637705357,170877.496782063,163174.560202417,135789.491277013,62738.7666566684,125872.967536647
"Lactone_0",104917.552999081,17191.9190893086,23626.3280069785,0,0,143657.999999999,29099.8942269086,31610.0353790427,0,43094.1240540562,76065.999999998,92630.640471879,73591.1125670974,38599.2227901286,142387.951784228
"Lactone_1",0,0,0,0,0,2347.53814366283,0,0,0,0,283.748990207461,0,0,0,0
"Lactone_2",22973.7516884189,2711.62053302734,2936.10391992675,0,0,19885.4158610733,3505.44967478288,5331.41224697899,0,8010.35640568337,19729.1187948295,13563.798519611,16870.2127527024,4201.26050437976,30468.2421979889
"Lactone_3",1593.20778542553,82.5437259709868,513.407960618387,0,0,5019.59930870535,301.507786219687,601.267988289664,0,591.926160009656,1698.84957633709,2980.55533286315,1561.50826536492,876.774456278194,2625.33795133635
"Lactone_4",5020.61502397706,2352.84891314095,2503.53052286328,0,0,4278.5570486781,3050.91920702162,2721.23458664642,0,2765.3609659262,2073.16265385661,4351.10229806542,2830.05314881293,3748.27373726111,1877.46011196684
"Lactone_5",630.059918336401,148.547913448466,320.115254587593,0,0,2558.92168997936,153.488768631359,454.521338510725,0,128.205259653719,1568.77569123452,1607.71683585804,1094.34127195445,866.537192667983,1386.80473089118
"Mal_0",1682925,1772565,2353562,1051906.55108931,783930.000000003,2662317,2014831,2367866,980680,2244462,2439556,2455626,2486693,2466833,1571187
"Mal_1",217239.03850636,267260.815796921,329332.119383281,65347.2797275954,95401.6323224712,392300.399864609,314100.893564369,319916.702586807,102908.012865945,331742.34648726,347694.889377976,378441.48544066,353401.868507216,409886.235787554,221705.463842235
"Mal_2",574441.302073534,839182.687763743,927293.887703764,36245.6488581863,324901.250996497,1053573.71171341,965389.342062353,880924.659696713,283608.140037602,924793.961341338,946158.18099753,1022620.76026073,970450.599698188,1239407.86946754,607442.283771827
"Mal_3",319058.016787792,566903.942578538,507200.282882968,0,195874.280297892,567146.4017677,656059.531739639,513163.692747542,135177.739538941,524299.153140875,601367.479734552,614466.054243482,545514.707390496,850342.539629364,321901.927369313
"Mal_4",86625.3022786018,235274.124260125,194719.441080151,0,79464.0063260929,177716.572336266,249088.184735775,177090.004574747,45642.0686346368,190856.311444569,221410.934691058,226364.317521137,205669.496635887,338403.050269136,94343.8553295149
"Succ_0",187980.999999999,78021.0000000002,97218.9999999987,1143703.49768385,62541.3833497811,182428.999999998,128539,138814.999999999,194606.381578025,191389.000000001,144988,148192.999999998,125016.000000002,170618.999999999,113798.000000003
"Succ_1",8427.35515202478,5974.75705159331,2458.66138346462,48067.165597085,0,6158.82484415244,6399.89503665901,3011.04947536611,0,4501.44724302186,3385.75941601265,4830.26943704189,5793.3993099605,5920.76451706883,706.721177089194
"Succ_2",21720.0333393669,20904.5049600504,25668.096968434,0,5479.39872792173,32991.4389279324,32161.2888426377,29647.5136895465,6095.75836001934,32594.9172583229,25228.7608091459,32229.356634184,25319.6912445526,34988.2522096092,23362.9266150216
