"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",0.586185478714732,0.489460905073835,0.573870966210415,0.996880799830117,0.568291769473429,0.562686340710049,0.491783263426616,0.563968863335237,0.682541059061219,0.571515641243344,0.552783662498636,0.563080783293298,0.580488085030192,0.470993545975412,0.59283987128507
"2KG_1",0.082223283565653,0.0556377118590435,0.0425034569745823,0,0.0279082501514058,0.0753565684685561,0.0566881666581822,0.0695328615359895,0,0.0590742251840285,0.0698580855238033,0.0691199215258984,0.0520315704439255,0.0695851685845355,0.0639938353400474
"2KG_2",0.22074330213756,0.254596599484902,0.257582681302771,0,0.200254517244063,0.23545064926897,0.253338675432197,0.239764681401688,0.223621385879772,0.226623029552527,0.231392250257225,0.220311023555186,0.247220470368465,0.251657382536131,0.21333653766381
"2KG_3",0.0555925015595416,0.0758004883927807,0.0387540598061621,0,0.0934493513980773,0.0428040804882768,0.0673739881268211,0.0564928797996331,0.0341550869281095,0.056376599456766,0.0571624193615439,0.0521362668126224,0.0453531462539718,0.0706816784193576,0.0498967385071863
"2KG_4",0.0453979423642836,0.0826308915416221,0.0628960267428279,0.00107399418494927,0.0791694132333348,0.0622549895392363,0.09121466817759,0.0591594565487051,0.0492121517011116,0.0675401994244415,0.070222564868131,0.070377073523271,0.0561350952010118,0.095645177923346,0.0567994229576466
"2KG_5",0.00985749165822984,0.041873403647817,0.0243928089632419,0.00204520598493351,0.03092669849969,0.0214473715249118,0.0396012381785934,0.0110812573787472,0.0104703164297878,0.0188703051388927,0.0185810174906604,0.0249749312897241,0.0187716327024339,0.0414370465612174,0.0231335942462399
"Cit_0",0.141565292490264,0.0988558718777838,0.12845172188867,0.955916078230265,0.316808416054907,0.141086271232936,0.108949417063515,0.125407318821217,0.58690545379129,0.121535286017419,0.113489170772579,0.123722621909249,0.126656386475318,0.103292706440269,0.14943303618293
"Cit_1",0.0289317163924,0.0174808315349,0.0163781961077574,0.038209137783865,0,0.0196267299571159,0.0166178043182862,0.0222660580791691,0,0.0193588652743139,0.0260368239341395,0.0188393314707831,0.0179609825611751,0.0124725865469024,0.00979400302862189
"Cit_2",0.499539722216688,0.450661975033071,0.50963358312974,0.00579247043699869,0.371227626130585,0.488343942017671,0.439149789753222,0.518049039292203,0.267691257142278,0.505806583948246,0.486138925527446,0.477574463926941,0.499142035888097,0.432028806569888,0.492835558169884
"Cit_3",0.0681213050852088,0.0736336635223133,0.0559804457394256,0,0.03680962774219,0.0725293931268681,0.0819987319410741,0.0540994811755778,0.0103958143488469,0.0676473965492468,0.074110913231325,0.0746381433852475,0.0703163103176955,0.085001649089942,0.071171200937938
"Cit_4",0.17416828840037,0.185556566217635,0.180801748368158,0,0.162134156836089,0.170606842891379,0.187147924469642,0.186854301354841,0.0875840889812657,0.187178186844798,0.179464541847124,0.18099407638413,0.167857232139511,0.202833691988417,0.17976882377111
"Cit_5",0.074434607378452,0.134477282113909,0.0899173944511664,0,0.081074193645621,0.0935401393363944,0.136137746926282,0.0786763527397992,0.0375830649756963,0.0815673865347604,0.0958480791089813,0.102302676995794,0.103340997426772,0.133219987434472,0.0795961909619601
"Cit_6",0.0132390680366177,0.0393338097003877,0.0188369103150825,8.23135488709898e-05,0.0319459795906091,0.0142666814376355,0.0299985855279779,0.0146474485371928,0.0098403207606229,0.016906294831216,0.0249115455784045,0.0219286859278546,0.0147260551914314,0.0311505719301094,0.0174011869475561
"Fum_0",0.583560664345196,0.523729008330465,0.587671889235897,0.752282382880908,0.509818472122986,0.601790727094255,0.540211048972139,0.579178568843845,0.596962808940677,0.591693432304181,0.557161005821437,0.582078076721363,0.590125616992727,0.525421723077959,0.595554081130394
"Fum_1",0.0671596279915719,0.0587910135919834,0.0604140899087538,0.010063211760501,0.0396811609168883,0.0533534827815425,0.0550365582903737,0.0692090715221578,0.0406957445459019,0.050829802578007,0.0682860873650825,0.0508544592442526,0.0609650836152877,0.0589194984978924,0.0506971529228877
"Fum_2",0.21521301300944,0.220255121716172,0.209196532837275,0.23485368455142,0.253100686755537,0.203118467189961,0.206210693396366,0.204487592005442,0.243162787899182,0.202711713197333,0.211079782793391,0.200970408415423,0.199771055872668,0.209570317348706,0.208401573582007
"Fum_3",0.085236512887025,0.141351436199572,0.103668537732982,0,0.122411753160271,0.100184976663371,0.14854700506097,0.107493925434342,0.0704346551070439,0.118476936883037,0.120212346878127,0.128037258078351,0.109629606765126,0.148475740498886,0.100043025690893
"Fum_4",0.0488301817667668,0.0558734201618072,0.0390489502850916,0.0028007208071713,0.0749879270443176,0.041552346270871,0.0499946942801516,0.0396308421942127,0.0487440035071958,0.0362881150374424,0.0432607771419625,0.0380597975406105,0.0395086367541912,0.0576127205765568,0.0453041666738185
"2HG_0",0.523525276733213,0.594942207337684,0.595157653263074,0.840276206934504,0.74159980688013,0.537270288796082,0.604900103182626,0.590979113844634,0.738238671461931,0.595398894751134,0.532788090362979,0.554629507279017,0.563326386321438,0.619408975728817,0.570275221763272
"2HG_1",0.154116585757956,0.0555369005683555,0.0690244225231186,0.0861475773156616,0.0360389582172748,0.120089597162398,0.0546165830818917,0.0793517194533353,0.0727594193001922,0.075496891436947,0.103565196966983,0.0819143697351645,0.0891379809614952,0.0746178858513973,0.107533542305651
"2HG_2",0.219436968349974,0.200755939755619,0.206917555144516,0.0299892615612836,0.121992645282869,0.217291816561745,0.200030134871679,0.213464225447598,0.112241023237064,0.214403915177527,0.224927929166049,0.222525132494741,0.207625398331348,0.182599811788023,0.204023923313857
"2HG_3",0.0451311812461444,0.062776834736264,0.0567133193648339,0.042714426940439,0.0537522549089208,0.0520439249569218,0.0622945120216874,0.0514999399748418,0.0454788450531044,0.0520570623552537,0.058995744181932,0.0595910353284176,0.0597346984127825,0.0572446453139375,0.0545728075093446
"2HG_4",0.0459942227286339,0.0662730109192167,0.0572336344467902,0,0.0340170367141392,0.0573995165815945,0.0595969017510437,0.05154222405694,0.0232797024901332,0.0477545044835088,0.0587807783779225,0.0601223695720252,0.0609755202548805,0.0516576072288283,0.0502737545602138
"2HG_5",0.0117957651840788,0.0197151066828609,0.0149534152576668,0.000872527248112156,0.0125992979966665,0.0159048559412582,0.0185617650910722,0.01316277722265,0.0080023384575748,0.0148887317956293,0.0209422609441348,0.0212175855906348,0.0192000157180562,0.0144710740889969,0.0133207505476615
"Lactone_0",0.776389591829209,0.764510694644241,0.790191786966267,NA,NA,0.808211479707932,0.805839909712982,0.776307021947104,NA,0.789414645362723,0.750012406077913,0.804547662320309,0.766995713128341,0.79928700187454,0.796594685593294
"Lactone_1",0,0,0,NA,NA,0.0132071118681909,0,0,NA,0,0.00279777118380987,0,0,0,0
"Lactone_2",0.170005696723726,0.120583565252207,0.0981991447219518,NA,NA,0.111874182974048,0.0970735916565061,0.130933506229752,NA,0.146736772124421,0.194529538257664,0.117808992095328,0.17582803696694,0.0869969048573279,0.170455712791394
"Lactone_3",0.0117897330510223,0.00367065252882951,0.0171711301783299,NA,NA,0.0282399712151756,0.00834941204014285,0.0147664675405817,NA,0.0108431297756233,0.016750693586005,0.0258877495961972,0.0162746574113468,0.0181556615864815,0.0146875506931238
"Lactone_4",0.0371525368041257,0.104629282375867,0.0837315581584074,NA,NA,0.0240709109365783,0.0844866458674097,0.0668304699013253,NA,0.050656939760006,0.0204414286305302,0.0377916979154192,0.0294959344592837,0.0776167565328983,0.0105035203390841
"Lactone_5",0.0046624415919177,0.00660580519885441,0.0107063799750438,NA,NA,0.0143963432980757,0.00425044072295898,0.0111625343812367,NA,0.00234851297722689,0.0154681622640782,0.013963898072747,0.0114056580340892,0.017943675148752,0.00775853058310453
"Mal_0",0.584290395465665,0.481520011578146,0.545803154001168,0.911926333409012,0.52983595242007,0.54858589106902,0.479782330332847,0.55597268133256,0.633507679932211,0.53234823043821,0.535438018768556,0.522749604625227,0.545120640343295,0.465012666987021,0.557834928946789
"Mal_1",0.0754226621622842,0.0726018121292692,0.0763738152949801,0.0566513300430808,0.0644792452438427,0.0808357774173622,0.0747953841656905,0.0751161370365798,0.0664773590540632,0.0786836449509559,0.0763126825965445,0.0805619979947634,0.0774710239097348,0.0772659890899957,0.0787144061588774
"Mal_2",0.199438795882381,0.227965269272595,0.215044230232609,0.031422336547907,0.219591498940212,0.21709498660272,0.229883671738805,0.206840270988119,0.183207503778103,0.21934540608841,0.207664452824603,0.217693817424904,0.212737419669019,0.233635742211088,0.215666577693891
"Mal_3",0.110772930941919,0.154000328898582,0.11762235883644,0,0.132385845491599,0.116863812303464,0.15622440342397,0.120490346252435,0.0873232207792501,0.124354846014233,0.131989186516279,0.13080651813892,0.119585057990428,0.16029461751386,0.114288202984047
"Mal_4",0.0300752155477499,0.0639125781214079,0.0451564416348035,0,0.0537074579042768,0.0366195326074326,0.0593142103386879,0.0415805643903063,0.0294842364563726,0.0452678725081915,0.0485956592940166,0.0481880618161861,0.0450858580875235,0.063790984198036,0.0334958842163956
"Succ_0",0.806836403326073,0.626529596174471,0.683398615902287,0.957466688386382,0.858328642013393,0.740887582874692,0.648382960035625,0.718589950621328,0.95383162711319,0.763830889093075,0.752179669470294,0.713238744836929,0.70923765041238,0.703909649168397,0.73544251581935
"Succ_1",0.0361711924099305,0.0479789046894467,0.0172831009003605,0.0402400709253428,0,0.0250124533497018,0.032282675979946,0.0155870035213898,0,0.0179652145621898,0.0175648977739009,0.0232476251273675,0.0328669683440282,0.0244268415242068,0.00456732807660308
"Succ_2",0.0932249194315235,0.167868792387275,0.180433268610804,0,0.0752002053245827,0.133986084684311,0.162229608588445,0.153473366698242,0.0298773712756942,0.130085870292127,0.130883666003866,0.155116813025362,0.143643040310465,0.144348333643273,0.150987623039543
"Succ_3",0.0429523425471563,0.103084239858775,0.0893069401557063,0,0.0477675572306671,0.0704289782491263,0.106208493887394,0.0704727989416579,0.010313231667421,0.0624775263963362,0.065993952047815,0.0697298143870376,0.0783646761992073,0.081872802401331,0.0793666014793556
"Succ_4",0.0208151422853167,0.0545384668900324,0.0295780744308425,0.00229324068827515,0.0187035954313577,0.0296849008421693,0.0508962615085903,0.0418768802173821,0.00597776994369515,0.0256404996562723,0.0333778147041244,0.0386670026233045,0.0358876647339191,0.0454423732627925,0.0296359315851477
