"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",0,0,0,-747.64663453,0,0,0,0,-25.36570497,0,0,0,0,0,0
"2KG_1",0,0,0,1462.70676858,0,0,0,0,82.0304753,0,0,0,0,0,0
"2KG_2",0,0,0,1718.4233521,0,0,0,0,0,0,0,0,0,0,0
"2KG_3",0,0,0,947.50272236,0,0,0,0,0,0,0,0,0,0,0
"2KG_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2KG_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_0",0,0,0,1629.47629276,-130.83035427,0,0,0,-4128.48576554,0,0,0,0,0,0
"Cit_1",0,0,0,-1229.10258454,322.89806182,0,0,0,10189.37890492,0,0,0,0,0,0
"Cit_2",0,0,0,-13278.96343799,0,0,0,0,0,0,0,0,0,0,0
"Cit_3",0,0,0,24499.10767934,0,0,0,0,0,0,0,0,0,0,0
"Cit_4",0,0,0,17196.83943403,0,0,0,0,0,0,0,0,0,0,0
"Cit_5",0,0,0,3009.63009355,0,0,0,0,0,0,0,0,0,0,0
"Cit_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_0",0,0,0,35.19440237,0,0,0,0,0,0,0,0,0,0,0
"Fum_1",0,0,0,-118.23133579,0,0,0,0,0,0,0,0,0,0,0
"Fum_2",0,0,0,-422.90174907,0,0,0,0,0,0,0,0,0,0,0
"Fum_3",0,0,0,2202.38448467,0,0,0,0,0,0,0,0,0,0,0
"Fum_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_0",0,0,0,4.3001005,0,0,0,0,0,0,0,0,0,0,0
"2HG_1",0,0,0,70.90465257,0,0,0,0,0,0,0,0,0,0,0
"2HG_2",0,0,0,-155.92737469,0,0,0,0,0,0,0,0,0,0,0
"2HG_3",0,0,0,-636.90955682,0,0,0,0,0,0,0,0,0,0,0
"2HG_4",0,0,0,2299.26446565,0,0,0,0,0,0,0,0,0,0,0
"2HG_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactone_0",-272.44700092,-33.08091069,-78.67199302,0,0,0,-264.10577309,-0.96462096,0,-233.87594594,0,-635.35952812,-114.8874329,-215.77720988,-1042.04821578
"Lactone_1",1938.40305059,235.36371472,559.73466677,0,0,0,1879.05697076,6.86307504,0,1663.97811517,0,4520.44927408,817.39989673,1535.20941856,7413.95366254
"Lactone_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactone_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactone_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactone_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mal_0",0,0,0,565.55108931,0,0,0,0,0,0,0,0,0,0,0
"Mal_1",0,0,0,-1030.21642802,0,0,0,0,0,0,0,0,0,0,0
"Mal_2",0,0,0,-5392.71977098,0,0,0,0,0,0,0,0,0,0,0
"Mal_3",0,0,0,16268.98608865,0,0,0,0,0,0,0,0,0,0,0
"Mal_4",0,0,0,6158.84359333,0,0,0,0,0,0,0,0,0,0,0
"Succ_0",0,0,0,-44.50231615,-630.61665022,0,0,0,-204.61842198,0,0,0,0,0,0
"Succ_1",0,0,0,-308.89631203,2948.44042357,0,0,0,956.69092555,0,0,0,0,0,0
"Succ_2",0,0,0,1000.43389134,0,0,0,0,0,0,0,0,0,0,0
"Succ_3",0,0,0,1140.96048663,0,0,0,0,0,0,0,0,0,0,0
"Succ_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
