"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",0,0,0,-0.00869381,0,0,0,0,-0.00110348,0,0,0,0,0,0
"2KG_1",0,0,0,Inf,0,0,0,0,Inf,0,0,0,0,0,0
"2KG_2",0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,0
"2KG_3",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"2KG_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2KG_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_0",0,0,0,0.00038526,-0.00154158,0,0,0,-0.01216566,0,0,0,0,0,0
"Cit_1",0,0,0,-0.00734884,Inf,0,0,0,Inf,0,0,0,0,0,0
"Cit_2",0,0,0,-0.52938357,0,0,0,0,0,0,0,0,0,0,0
"Cit_3",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Cit_4",0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,0
"Cit_5",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Cit_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_0",0,0,0,6.702e-05,0,0,0,0,0,0,0,0,0,0,0
"Fum_1",0,0,0,-0.01701196,0,0,0,0,0,0,0,0,0,0,0
"Fum_2",0,0,0,-0.00263556,0,0,0,0,0,0,0,0,0,0,0
"Fum_3",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Fum_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_0",0,0,0,1.28e-06,0,0,0,0,0,0,0,0,0,0,0
"2HG_1",0,0,0,0.00020753,0,0,0,0,0,0,0,0,0,0,0
"2HG_2",0,0,0,-0.0013252,0,0,0,0,0,0,0,0,0,0,0
"2HG_3",0,0,0,-0.0038415,0,0,0,0,0,0,0,0,0,0,0
"2HG_4",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"2HG_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactone_0",-0.00217247,-0.0016098,-0.00278576,NA,NA,0,-0.00759286,-2.553e-05,NA,-0.00454032,0,-0.00573831,-0.00130607,-0.00467677,-0.00612257
"Lactone_1",Inf,Inf,Inf,NA,NA,0,Inf,Inf,NA,-Inf,0,Inf,Inf,Inf,Inf
"Lactone_2",0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0
"Lactone_3",0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0
"Lactone_4",0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0
"Lactone_5",0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0
"Mal_0",0,0,0,0.00036103,0,0,0,0,0,0,0,0,0,0,0
"Mal_1",0,0,0,-0.01070084,0,0,0,0,0,0,0,0,0,0,0
"Mal_2",0,0,0,-0.10208008,0,0,0,0,0,0,0,0,0,0,0
"Mal_3",0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,0
"Mal_4",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Succ_0",0,0,0,-2.936e-05,-0.00760754,0,0,0,-0.00079329,0,0,0,0,0,0
"Succ_1",0,0,0,-0.00490098,Inf,0,0,0,Inf,0,0,0,0,0,0
"Succ_2",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Succ_3",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Succ_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
