"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",0.59115415613898,0.495914548874267,0.579901662931144,0.997491539688204,0.57521042477223,0.568154730426602,0.498238706937456,0.569391019718073,0.685846103684914,0.57733829822425,0.558478623616081,0.568865383929066,0.586205235161046,0.477257507337017,0.598447336182026
"2KG_1",0.0785007854654327,0.0512082171829482,0.0377068424747252,0,0.024178074734104,0.0713494145001499,0.0522940112539425,0.06536728000532,0,0.0550902198727754,0.0659138667628358,0.0653883013276763,0.0475262842243755,0.0654349932577925,0.0602907523608395
"2KG_2",0.220983779974885,0.255651213497659,0.259013564062235,0,0.199727676453904,0.23649446935195,0.254630411966003,0.240379393771312,0.222539897316945,0.227203914924405,0.232078125714673,0.221022360228488,0.248218974221242,0.252954082210945,0.213832481561076
"2KG_3",0.0542013918360349,0.073408958954247,0.0365782994056534,0,0.0912591425431449,0.0406824460908764,0.0645211223259593,0.0546016300095952,0.0320711597626403,0.0541706304913622,0.0548729723389336,0.0497950371471333,0.0434879706691053,0.0677242464298792,0.0480400972726668
"2KG_4",0.0452348064105784,0.0814718008229598,0.0622067717962724,0.0002693810990821,0.0784005278368116,0.0616994341126638,0.0902699036956645,0.0590928250266625,0.0490269383051021,0.0671721657470769,0.0699168578549757,0.0697424898887802,0.0556452835581392,0.0947060736044089,0.0560820591755172
"2KG_5",0.00992508017408885,0.0423452606679193,0.0245928593299699,0.00223907921271434,0.0312241536598053,0.0216195055177575,0.0400458438209752,0.011167851469037,0.0105159009303981,0.0190247707401308,0.0187395537125,0.0251864274788552,0.018916252166092,0.041923097159958,0.0233072734478749
"Cit_0",0.144972421292921,0.101719195460164,0.131804932236236,0.956115106616039,0.320626628469037,0.144682678263436,0.112078319237296,0.128563529992486,0.591657446228719,0.124674371572219,0.116432734535834,0.127021763902923,0.129963544915125,0.106347441296519,0.153264073139224
"Cit_1",0.0193343515920164,0.00864682977808177,0.00625881372722685,0.0380923638818811,0,0.0100355326309311,0.00799685203316324,0.0121218271063933,0,0.00940147371485044,0.0166792647456681,0.00946325343876796,0.00810675917634067,0.00388119583885331,0
"Cit_2",0.509816726024377,0.461592964693623,0.521146586092419,0.00579033653116502,0.374749494092139,0.498572959828406,0.449292354615525,0.529616664335491,0.267633199797818,0.516879059548384,0.496896477960672,0.488074996359107,0.510008985281152,0.442101872251965,0.503053282517442
"Cit_3",0.0626256032230992,0.0681594663523951,0.0499934315914437,0,0.0303769046199605,0.0673562243136247,0.0766655428326502,0.0477824405478476,0.00681742986356232,0.0616832111717237,0.06869909652791,0.0691815653757156,0.065250544367843,0.0791370217256312,0.0655437231108845
"Cit_4",0.174411013345716,0.1838071948557,0.180618222130254,0,0.161270966585012,0.16990532508622,0.185262180758506,0.187315087838209,0.0867344128758087,0.187586430668867,0.179100324625334,0.180324810045082,0.16668030221133,0.201630845794934,0.179976235439899
"Cit_5",0.0753075748974907,0.135692746916251,0.0909014704400507,0,0.0805215939373611,0.0948538738419504,0.137920290062074,0.0796174802455761,0.0372630710647428,0.082474011028082,0.0966778760813156,0.103475012325027,0.104917779286526,0.134919214334511,0.0803679479168451
"Cit_6",0.0135323096243804,0.0403816019437861,0.0192765437823701,2.19297091445318e-06,0.0324544122964902,0.0145934060354317,0.0307844604607856,0.0149829699339974,0.00989444016934882,0.0173014422958729,0.0255142255232653,0.0224585985533784,0.0150720847616824,0.0319824087575859,0.0177947378757051
"Fum_0",0.588829505801669,0.529597092908381,0.593034637277699,0.756224190986016,0.516078951104133,0.607239155254348,0.546120923054406,0.584447547866142,0.602542275165379,0.597262495968271,0.562604331909669,0.587750841500887,0.595515026574126,0.531347727020144,0.601112471027995
"Fum_1",0.0634381213320069,0.055020484107523,0.0567550059214397,0.00533668987446208,0.0350344010772519,0.0497394123418095,0.0514927462591297,0.0657403545500725,0.0361406168662008,0.0472216104190243,0.0647228135538931,0.0473012899036102,0.0575061532444337,0.0553751945524497,0.0469617967847896
"Fum_2",0.214564666614937,0.218402959949085,0.207918999770696,0.235821337186895,0.25238367191071,0.201851875795328,0.203904582304852,0.203080089196753,0.243177583321121,0.200944787880928,0.209490837485895,0.198965096533027,0.198230153526929,0.207397753976698,0.207237404288179
"Fum_3",0.0839589947006744,0.14055341512512,0.102940765109926,0,0.120719804333361,0.0993051178629696,0.148010871258847,0.106789386172434,0.0690256943087727,0.117998485131958,0.119550610367207,0.127611343593578,0.108934277060899,0.147692447500813,0.0990329379788993
