"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",372016.403077029,260311.543537862,77276.6773909883,57129.6130559146,6064.20729782188,571731.889873978,247193.803901916,230262.839132814,15242.3193620625,128764.612509453,232826.327808728,241984.214351963,180440.306275853,289968.38969362,269434.762360828
"2KG_1",49584.9200785121,26979.9106525604,5043.45936967184,0,255.848738081626,72066.0098490603,26041.5209840157,26533.0960430315,0,12332.6082572352,27581.4184215476,27918.485626352,14683.5814667114,39904.5321440569,27245.367228065
"2KG_2",140074.321078325,135167.170415508,34765.8923099493,0,2120.91042147092,239708.572018375,127246.889685256,97914.5570416026,4981.60226893798,51040.950572367,97453.2951246899,94700.1195208617,76958.3283429056,154801.928478824,96970.1687595924
"2KG_3",34469.8729500323,38940.6812129592,4925.89895284684,0,972.28050061293,41371.4506381362,32349.6757312067,22314.4789994918,720.289274631799,12209.5019772637,23118.08844576,21405.8013665344,13527.6047876286,41582.4401486659,21857.4487657424
"2KG_4",28856.3948495963,43351.27624598,8403.10411946988,15.6396552662908,837.865427702475,62938.2936697742,45399.5020825918,24224.5650629744,1104.50363027394,15186.7030880869,29547.1386359091,30073.4304616209,17362.8181464388,58328.8902291734,25595.2652388855
"2KG_5",6349.69290510458,22596.8937906473,3331.65841590154,130.370363270839,334.653461763035,22117.1367074796,20198.304822911,4591.34816760679,237.590035846159,4313.63054137099,7942.2240349852,10891.8450639364,5919.38126644025,25894.5640412343,10667.8405737209
"Cit_0",323431.630321819,201088.835708693,120012.863814092,2466389.39574896,49103.8243330842,464105.972230403,291578.073228539,179299.578373398,197376.991415116,98856.7214254569,359202.020808689,332852.473631689,231668.918571748,437602.357359317,115500.527259285
"Cit_1",43337.1593112402,17174.167084763,5725.61173935373,98724.0855887415,0,32342.5885682524,20901.9133838745,16984.9118172617,0,7489.60101324116,51698.0672568256,24914.2519425982,14518.68308831,16045.449788836,0
"Cit_2",1147855.27443527,920916.344796752,478885.835055542,15074.0942663768,57920.5585700571,1614006.55933277,1179609.43561912,745416.631897829,90103.5980434721,413612.742629262,1547054.27180251,1290732.26436297,917487.185482588,1835908.01863953,382589.941366722
"Cit_3",141604.218228587,136564.681349236,46135.6088435126,0,4715.05125202406,218980.540425091,202143.899099388,67539.3659319583,2305.0165075354,49570.4841828454,214803.755773785,183734.708714428,117884.724527649,330034.605994431,50061.2721802783
"Cit_4",395966.861263521,369773.163211097,167357.638204797,0,25133.8926761745,554619.897520444,490464.820632725,265841.071271591,29444.5872858697,151362.493401352,562273.848807796,480858.138705855,302355.825117404,844301.221596305,138021.456237125
"Cit_5",171630.391891604,274031.26252531,84552.3105193535,0,12597.5626442186,310823.698649769,366538.711124179,113430.107312862,12698.8171306358,66804.3228128799,304683.69159972,276992.219699888,191052.949400771,567132.904498728,61870.6839917056
"Cit_6",30953.3996254444,81847.9709970611,17995.5298100127,5.7999422219388,5095.99284379649,47995.0683909133,82111.527236069,21423.9092052582,3384.20566475087,14065.3536108432,80702.2039013721,60338.6560770042,27546.0214713118,134928.318561734,13749.1082052262
"Fum_0",597312.192844335,630900.703652479,841616.539023358,396274.750720935,157716.855889807,943035.010024936,900419.226641616,855943.246817919,217949.846064005,996328.295885696,850360.613002278,1021934.09180813,973429.545678652,966063.508090222,605600.323143913
