"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",0.589238072996122,0.493624328277211,0.577783846973011,0.997450747618279,0.572864295811062,0.566108534106066,0.495945175993015,0.567372209052509,0.683932112342302,0.575232338524434,0.556377199233269,0.566742408370123,0.584153342999273,0.474983678345528,0.596396957916327
"2KG_1",0.0785377271407022,0.0511615431718732,0.0377090404898916,0,0.0241691287875206,0.0713571936725751,0.0522471295949961,0.065378075644477,0,0.0550936701447719,0.0659103825443158,0.0653868675867909,0.0475362926278157,0.0653657506615401,0.0603079349886201
"2KG_2",0.221864203690347,0.256315193689371,0.259938336901561,0,0.200354934355671,0.237350881980524,0.255295562038273,0.241263413307645,0.223527514528007,0.228016104627327,0.232880842591272,0.221793698212597,0.249143141579559,0.253573810171318,0.214644588360146
"2KG_3",0.0545969514932723,0.073842547837715,0.0368300623534323,0,0.0918479130016728,0.040964535456924,0.0649031867732261,0.0549833194599624,0.0323198165183813,0.0545437153712127,0.055244513892113,0.0501337471621888,0.043793960022355,0.0681142534097076,0.0483817152526268
"2KG_4",0.0457057440321271,0.0822062837707741,0.0628285012837295,0.000273059539587393,0.079150194683749,0.062319254530977,0.0910850664334621,0.0596898094580879,0.0495597476341538,0.067843816414973,0.0706077976418092,0.0704338853400593,0.0562099925092399,0.0955458312685,0.0566554151802057
"2KG_5",0.0100573006474294,0.0428501032530559,0.0249102119983756,0.00227619284213413,0.0316135333603245,0.0218996002529342,0.0405238791670276,0.0113131730773184,0.0106608089771555,0.0192703549172805,0.0189792640972219,0.0255093933282409,0.0191632702617568,0.0424166761434063,0.023613388302075
"Cit_0",0.143442723049346,0.100474265432488,0.130354485002412,0.955893236190778,0.317686580697341,0.143115620804567,0.110725217904012,0.127168631992544,0.5886346912948,0.12329937819855,0.1151134357417,0.125584674468041,0.128525425616469,0.105042560571013,0.151616684441349
"Cit_1",0.0192201366781666,0.00858109211371689,0.00621899308030329,0.0382622816275694,0,0.00997343261739851,0.00793739010761031,0.0120465871694187,0,0.00934143004716383,0.0165676744516654,0.00940010505461379,0.00805468396373493,0.00385156776006355,0
"Cit_2",0.509076635663986,0.460136898909031,0.520151877221391,0.0058422343105137,0.374728128696973,0.497708636696618,0.447950390625501,0.528688434199916,0.268714723223854,0.515879883995955,0.495784328008863,0.486991096916964,0.50900410697642,0.440693419510999,0.502222974968882
"Cit_3",0.0628018188504679,0.0682346983323507,0.0501111575871139,0,0.0305049256430117,0.0675266811078617,0.076763067359331,0.0479024482328916,0.0068742190800189,0.0618269530752614,0.0688381381643479,0.0693227943617868,0.0654001602243586,0.0792218769110392,0.0657150602425461
"Cit_4",0.175612276265084,0.184757581490519,0.181779003067541,0,0.162608524536612,0.171027256044011,0.186251399282156,0.18854838180733,0.0878121883561821,0.188787378843447,0.180191844183548,0.181426961187328,0.167741151253304,0.202667011998951,0.181179740673066
"Cit_5",0.0761185006749699,0.136920031938787,0.0918382625264888,0,0.0815023403149871,0.0958482097940979,0.139191120272167,0.0804505604787537,0.0378715079600128,0.0833219162544694,0.097641952223839,0.104508695283671,0.105992473174217,0.13613521835694,0.0812171874322483
