"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",0,0,0,-747.38694408,0,0,0,0,-53.17457045,0,0,0,0,0,0
"2KG_1",0,0,0,1462.7871413,0,0,0,0,173.69913292,0,0,0,0,0,0
"2KG_2",0,0,0,1718.47411138,0,0,0,0,-3.50364822,0,0,0,0,0,0
"2KG_3",0,0,0,948.27053165,0,0,0,0,0.05305912,0,0,0,0,0,0
"2KG_4",0,0,0,-39.37344951,0,0,0,0,-0.00071459,0,0,0,0,0,0
"2KG_5",0,0,0,0.9980564,0,0,0,0,8.95e-06,0,0,0,0,0,0
"Cit_0",0,0,0,1629.17832332,-530.30677024,0,0,0,-4711.883814,0,0,0,0,0,-37.68690384
"Cit_1",0,0,0,-1229.81770637,1323.53296974,0,0,0,11759.8603816,0,0,0,0,0,94.05850077
"Cit_2",0,0,0,-13276.03319945,-26.68393576,0,0,0,-237.09221167,0,0,0,0,0,-1.89632676
"Cit_3",0,0,0,24500.19593149,0.40403812,0,0,0,3.58996112,0,0,0,0,0,0.02871347
"Cit_4",0,0,0,17197.49583174,-0.00544077,0,0,0,-0.04834239,0,0,0,0,0,-0.00038666
"Cit_5",0,0,0,3010.13708417,6.793e-05,0,0,0,0.00060357,0,0,0,0,0,4.83e-06
"Cit_6",0,0,0,-206.63277003,3e-08,0,0,0,2.6e-07,0,0,0,0,0,0
"Fum_0",0,0,0,35.64458387,0,0,0,0,0,0,0,0,0,0,0
"Fum_1",0,0,0,-121.69303833,0,0,0,0,0,0,0,0,0,0,0
"Fum_2",0,0,0,-425.24699231,0,0,0,0,0,0,0,0,0,0,0
"Fum_3",0,0,0,2257.30139671,0,0,0,0,0,0,0,0,0,0,0
"Fum_4",0,0,0,-90.55099267,0,0,0,0,0,0,0,0,0,0,0
"2HG_0",0,0,0,4.68676846,0,0,0,0,0,0,0,0,0,0,0
"2HG_1",0,0,0,72.922314,0,0,0,0,0,0,0,0,0,0,0
"2HG_2",0,0,0,-164.55398375,0,0,0,0,0,0,0,0,0,0,0
"2HG_3",0,0,0,-648.91731917,0,0,0,0,0,0,0,0,0,0,0
"2HG_4",0,0,0,2405.16674439,0,0,0,0,0,0,0,0,0,0,0
"2HG_5",0,0,0,-119.87455198,0,0,0,0,0,0,0,0,0,0,0
"Lactone_0",-333.71114266,-40.28683819,-86.16505743,0,0,0,-271.80462239,-15.63418096,0,-254.20774262,-15.60563579,-667.93170788,-160.48919271,-225.72886756,-1118.23270772
"Lactone_1",2391.37114582,288.83308152,617.45805207,0,0,0,1947.74955998,112.03440476,0,1821.65047262,111.82985036,4786.39280921,1150.06415908,1617.57110164,8013.24585752
"Lactone_2",-48.27648219,-7.38026319,-12.46510928,0,0,0,-39.3207458,-2.26172627,0,-36.77508477,-2.25759677,-96.62666023,-23.21724588,-32.65517467,-161.76966992
"Lactone_3",0.73129753,13.25310518,0.18882286,0,0,0,0.59563503,0.03426088,0,0.55707308,0.03419833,1.4637114,0.35169742,0.49466422,2.45050497
"Lactone_4",-0.00984992,-0.5321611,-0.00254327,0,0,0,-0.00802267,-0.00046146,0,-0.00750327,-0.00046062,-0.01971487,-0.00473705,-0.00666268,-0.03300609
"Lactone_5",0.00012407,0.01339194,3.203e-05,0,0,0,0.00010105,5.81e-06,0,9.451e-05,5.8e-06,0.00024833,5.967e-05,8.392e-05,0.00041574
"Mal_0",0,0,0,565.55062901,0,0,0,0,0,0,0,0,0,0,0
"Mal_1",0,0,0,-1030.21571503,0,0,0,0,0,0,0,0,0,0,0
"Mal_2",0,0,0,-5392.71727033,0,0,0,0,0,0,0,0,0,0,0
"Mal_3",0,0,0,16268.98312421,0,0,0,0,0,0,0,0,0,0,0
"Mal_4",0,0,0,6158.83884961,0,0,0,0,0,0,0,0,0,0,0
"Succ_0",0,0,0,-43.83978063,-647.12588056,0,0,0,-227.53361557,0,0,0,0,0,0
"Succ_1",0,0,0,-318.15110731,3052.89817554,0,0,0,1073.41860479,0,0,0,0,0,0
"Succ_2",0,0,0,1000.22237277,-61.60868859,0,0,0,-21.66201057,0,0,0,0,0,0
"Succ_3",0,0,0,1248.25738319,0.93315288,0,0,0,0.32810255,0,0,0,0,0,0
"Succ_4",0,0,0,-50.82406934,-0.01254117,0,0,0,-0.00440956,0,0,0,0,0,0
