"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",0,0,0,-0.00869075,0,0,0,0,-0.00231753,0,0,0,0,0,0
"2KG_1",0,0,0,Inf,0,0,0,0,Inf,0,0,0,0,0,0
"2KG_2",0,0,0,Inf,0,0,0,0,-0.00047061,0,0,0,0,0,0
"2KG_3",0,0,0,Inf,0,0,0,0,4.945e-05,0,0,0,0,0,0
"2KG_4",0,0,0,-1.69534211,0,0,0,0,-4.4e-07,0,0,0,0,0,0
"2KG_5",0,0,0,0.00517019,0,0,0,0,3e-08,0,0,0,0,0,0
"Cit_0",0,0,0,0.00038535,-0.00630021,0,0,0,-0.01392648,0,0,0,0,0,-0.00019035
"Cit_1",0,0,0,-0.00730121,Inf,0,0,0,Inf,0,0,0,0,0,Inf
"Cit_2",0,0,0,-0.51850894,-0.00027123,0,0,0,-0.00154915,0,0,0,0,0,-2.92e-06
"Cit_3",0,0,0,Inf,5.066e-05,0,0,0,0.00092084,0,0,0,0,0,3.4e-07
"Cit_4",0,0,0,Inf,-1.3e-07,0,0,0,-9.7e-07,0,0,0,0,0,0
"Cit_5",0,0,0,Inf,0,0,0,0,3e-08,0,0,0,0,0,0
"Cit_6",0,0,0,-21.30875389,0,0,0,0,0,0,0,0,0,0,0
"Fum_0",0,0,0,6.788e-05,0,0,0,0,0,0,0,0,0,0,0
"Fum_1",0,0,0,-0.03283933,0,0,0,0,0,0,0,0,0,0,0
"Fum_2",0,0,0,-0.00259692,0,0,0,0,0,0,0,0,0,0,0
"Fum_3",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Fum_4",0,0,0,-0.04981501,0,0,0,0,0,0,0,0,0,0,0
"2HG_0",0,0,0,1.39e-06,0,0,0,0,0,0,0,0,0,0,0
"2HG_1",0,0,0,0.00021274,0,0,0,0,0,0,0,0,0,0,0
"2HG_2",0,0,0,-0.00143238,0,0,0,0,0,0,0,0,0,0,0
"2HG_3",0,0,0,-0.00379683,0,0,0,0,0,0,0,0,0,0,0
"2HG_4",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"2HG_5",0,0,0,-0.03670335,0,0,0,0,0,0,0,0,0,0,0
"Lactone_0",-0.00266259,-0.00196131,-0.00305209,NA,NA,0,-0.00781636,-0.00041398,NA,-0.00493745,-0.00017168,-0.0060347,-0.00182566,-0.00489378,-0.00657385
"Lactone_1",Inf,Inf,Inf,NA,NA,0,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf
"Lactone_2",-0.00177169,-0.00229285,-0.00359735,NA,NA,0,-0.00954616,-0.00035747,NA,-0.00388067,-9.617e-05,-0.0060644,-0.00116032,-0.00661653,-0.00449376
"Lactone_3",0.0004435,Inf,0.00038387,NA,NA,0,0.00275388,5.878e-05,NA,0.00097301,1.777e-05,0.00043654,0.00020469,0.00056969,0.00080477
"Lactone_4",-1.65e-06,-0.00019039,-8.6e-07,NA,NA,0,-2.21e-06,-1.4e-07,NA,-2.28e-06,-1.9e-07,-3.87e-06,-1.43e-06,-1.51e-06,-1.524e-05
"Lactone_5",1.7e-07,7.585e-05,8e-08,NA,NA,0,5.5e-07,1e-08,NA,6.2e-07,0,1.3e-07,5e-08,8e-08,2.5e-07
"Mal_0",0,0,0,0.00036125,0,0,0,0,0,0,0,0,0,0,0
"Mal_1",0,0,0,-0.01071272,0,0,0,0,0,0,0,0,0,0,0
"Mal_2",0,0,0,-0.10002677,0,0,0,0,0,0,0,0,0,0,0
"Mal_3",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Mal_4",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Succ_0",0,0,0,-2.893e-05,-0.00780883,0,0,0,-0.00088224,0,0,0,0,0,0
"Succ_1",0,0,0,-0.00499777,Inf,0,0,0,Inf,0,0,0,0,0,0
"Succ_2",0,0,0,Inf,-0.00879308,0,0,0,-0.00273236,0,0,0,0,0,0
"Succ_3",0,0,0,Inf,0.0002055,0,0,0,0.00012082,0,0,0,0,0,0
"Succ_4",0,0,0,-0.0144021,-6.94e-06,0,0,0,-2.73e-06,0,0,0,0,0,0
