"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",531408.1749624,371737.51421544,110311.45297833,82441.78237501,8654.47990094,816636.55227452,353010.62907624,328861.67733024,21819.50297755,183865.25998874,332533.44777115,345601.46991924,257617.34830889,414231.05332358,384749.90347807
"2KG_1",103277.59243788,62358.98762624,14135.65435517,1501.80303938,893.03551595,153528.90441828,59782.09289573,58330.41391353,1051.76504354,28948.25872905,60006.90174245,61113.31580925,37022.91462655,83600.06038305,62338.40871251
"2KG_2",203961.94008574,195624.90658968,49995.93713721,0,3078.17485826,347400.46201483,184024.32852413,141950.48769355,7189.55283402,73945.3702352,141403.77787154,137459.70894073,111015.41316042,224460.73090128,140701.13193714
"2KG_3",56949.77210219,63877.63762763,9063.14037802,0,1522.49514562,73297.05297775,54295.80516257,37511.25707926,1331.59888745,20518.53530342,38936.96303938,36421.2778636,23706.88273911,69393.05266011,36909.18574791
"2KG_4",42316.45627043,64070.21045519,12268.65883536,167.47166551,1237.52356811,91816.08931367,66585.68082407,35258.96017642,1593.35388604,22146.73819099,43036.12339971,43935.15156275,25386.46560696,85541.0538992,37611.83481573
"2KG_5",9387.60313843,32487.89322043,4820.56442332,168.65287593,484.19105607,32111.84749623,29140.50607352,6838.83991222,350.91294263,6308.08527127,11638.70957756,15799.93076814,8602.67869626,37360.54275526,15416.22847291
"Cit_0",520653.06063734,323584.18015899,193035.22701953,3964978.22434067,79773.13055595,746619.61302658,469105.86209357,288536.39199834,324778.20586413,159054.50893723,578337.51916485,535518.11820467,372683.86706221,703800.2120664,185736.08199566
"Cit_1",140193.38283962,78218.66551256,37139.79486855,415125.02742097,4572.73149408,152314.82129855,101993.96883722,69953.99753245,2013.4238773,35656.89300503,170213.74761698,116295.8348059,77034.9142253,130656.49395846,24226.56994981
"Cit_2",1843889.98729504,1478810.61151888,767539.08263745,42197.77279362,93528.06921575,2591212.10202074,1895549.30580127,1195200.78301548,150676.75401292,663603.58749029,2485539.96929746,2072471.64594269,1472227.38595574,2949523.27184716,613548.54525097
"Cit_3",330159.79095387,304918.85347881,117293.94533339,0,13333.78405059,495765.04251711,434963.24947697,176105.0874578,13626.98883702,117202.59556202,485014.27107544,412600.66367967,270516.48200315,706641.2985878,114981.68376405
"Cit_4",649981.56599446,616237.6436302,274973.59188804,0,41058.8486553,917109.8437273,818590.94673203,434789.28640193,46980.98964581,248299.60752587,928540.9263755,795345.01501446,501661.59588319,1402897.33534862,226742.0653251
"Cit_5",287711.28182193,453414.02926138,141037.22621018,0,21243.44567034,514685.972716,603735.45326584,190367.41106413,21341.27073835,112081.38986168,508367.02146351,459874.63233765,314842.95157767,937827.76558746,103800.67232962
"Cit_6",51727.22712465,133583.35789852,29801.21348546,372.58970288,8249.97819931,80958.41957399,135600.18268298,35709.08057966,5626.522469,23308.78834744,132338.85628643,99796.97075822,46678.03129897,222229.11584289,22724.9073137
