"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",0.560970454587263,0.47046022976606,0.549920130371395,0.978192526032858,0.54533928231602,0.539108432520055,0.472672970963014,0.5402230693527,0.65451924656425,0.547654451540239,0.529886557310442,0.539723281010407,0.555986622179434,0.452916215225337,0.567706580482603
"2KG_1",0.1090229332333,0.0789197283694573,0.0704684842416781,0.0178192715680569,0.056272283594765,0.101353199017274,0.0800468233303785,0.0958197242585281,0.0315497774889148,0.0862242424603414,0.0956200069265075,0.095440217108166,0.0799024032409962,0.0914074950139554,0.091981634103056
"2KG_2",0.215308359259797,0.247577215058276,0.249237694964779,0,0.193963090475766,0.229338887675211,0.246404269244222,0.23318292596591,0.215664889750161,0.220251020679918,0.225324584787652,0.214669819354539,0.239592112014555,0.245423185661328,0.207607481535387
"2KG_3",0.0601178925165518,0.0808416878200553,0.0451811956391698,0,0.0959360261443157,0.0483875712262887,0.0727008124491294,0.0616199692197235,0.0399439483766568,0.0611157714007077,0.062045407568324,0.0568788425342271,0.0511639054708291,0.075873690592671,0.05446028040534
"2KG_4",0.0446705241450694,0.081085402412304,0.0611612147611608,0.00198709351987293,0.0779792919051053,0.0606130448755305,0.089156668344711,0.0579201074546691,0.0477958084597131,0.0659654779708504,0.0685773519058258,0.0686132039851512,0.0547887607513309,0.0935297584948269,0.0554970538936903
"2KG_5",0.00990983625801862,0.041115736573847,0.0240312800218179,0.00200110887921172,0.0305100255640284,0.0211988646856406,0.039018455668545,0.0112342037484692,0.0105263293603043,0.0187890359479436,0.0185460915012484,0.0246746360075104,0.0185661963428552,0.040849655011882,0.0227469695799238
"Cit_0",0.136142782199034,0.0954872812305969,0.123675514759597,0.896511605911429,0.304756778199076,0.135781958417278,0.105191560241113,0.120693091455837,0.574783762887736,0.117020045919746,0.109360625980089,0.119218543326133,0.12196568621462,0.0997792130730051,0.143785228196299
"Cit_1",0.0366584173390171,0.0230817455526103,0.0237950519154157,0.0938629127147569,0.0174691767515363,0.0277003233923331,0.022870967054832,0.0292613495421192,0.0035633036071597,0.0262335930284803,0.0321865370531215,0.0258901044598402,0.0252106866069541,0.0185234416337786,0.0187546913406326
"Cit_2",0.482148923953305,0.436385996001143,0.491753720856824,0.00954123602012586,0.357304681999172,0.471243786994384,0.425054993133771,0.499945523036154,0.266663680282437,0.488228361456058,0.470002719749921,0.461379442291006,0.48180573204709,0.418160020357679,0.474970811489819
"Cit_3",0.086331716663086,0.0899792823627424,0.0751489212164545,0,0.0509389695520348,0.0901609698075287,0.0975354745213149,0.073663731909785,0.0241166795651561,0.0862286344865177,0.0917136836819465,0.0918543153389368,0.0885300687147044,0.100181999790766,0.0890116097032507
"Cit_4",0.169960200875893,0.18184713836531,0.176172510308743,0,0.156856855755166,0.166787703527182,0.183559545603837,0.181869824961379,0.083145696125021,0.182679709419611,0.175582274349404,0.177061934803643,0.164175340541912,0.198891659512735,0.175529489231024
"Cit_5",0.0752320832020838,0.133799102615915,0.0903609761862016,0,0.0811561990261776,0.0936019736502585,0.135380687886696,0.0796295787669864,0.0377692088887469,0.0824608461338169,0.0961295676876807,0.102378578644059,0.103036487577814,0.13295778381991,0.080355971750241
"Cit_6",0.0135258757675805,0.0394194538716823,0.0190933047567635,8.42453536880538e-05,0.0315173387168369,0.014723284211036,0.0304067715584365,0.0149369003277394,0.00995766864374257,0.0171488095557699,0.0250245914978373,0.0222170811363818,0.0152759982969053,0.031505881812126,0.0175921982887335
"Fum_0",0.564664546929845,0.507845810584088,0.568627226383095,0.726223461344537,0.49470681762729,0.582164953590585,0.52363812208146,0.560488337849894,0.577538242028777,0.572584042120406,0.539555901327809,0.56347358635178,0.571009477274839,0.509525075924624,0.576269945581255
"Fum_1",0.0894139838084279,0.0789789400845529,0.0830567228811056,0.0413644802153507,0.0599074199802572,0.0767996553853155,0.0760022235060165,0.0912240365185269,0.064357532936032,0.0739598518947444,0.0894711521393365,0.0736065481709512,0.0836937543724568,0.0791804267399783,0.0739866876938617
