"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",372529.999999997,260597.000000001,77330.9999999993,57793.6859746942,6067.00000000052,572482,247469.000000001,230540.000000003,15296.0000000033,128894.000000002,233114.000000001,242274.999999997,180596.000000001,290386.000000001,269719.000000002
"2KG_1",72400.093418972,43715.1605017117,9909.43603248866,1052.80030044666,626.039523724659,107627.48007591,41908.6948898028,40891.0327673162,737.312766589781,20293.4304220968,42066.2913356507,42841.9143910058,25953.9597538266,58605.6669088709,43700.7341848182
"2KG_2",142982.259438362,137137.797055925,35048.3627073342,0,2157.87512118858,243536.137026008,129005.510895545,99510.7295521365,5040.05064929037,51837.495303244,99127.4727269893,96362.584891196,77824.4931357655,157352.408228514,98634.9009106815
"2KG_3",39923.1694219416,44779.7709305179,6353.48089114861,0,1067.30596803097,51383.0092051802,38062.6743249541,26296.2996395857,933.48306803305,14383.9901543175,27295.7540445938,25532.1978128899,16619.0989203835,48646.2104375788,25874.2330556764
"2KG_4",29664.860642271,44914.7691462604,8600.62695922962,117.401693259337,867.533990911289,64365.3021605123,46678.1747931253,24717.3849658053,1116.97966108345,15525.3998094275,30169.3647283996,30799.605242861,17796.5271859619,59966.3503696071,26366.8070685875
"2KG_5",6580.93714385698,22774.7999214785,3379.33240252928,118.229750369662,339.429656178169,22511.1827619455,20428.2004663109,4794.19239773562,245.998471000569,4422.12054090525,8159.01727374664,11076.1341025129,6030.68610102671,26190.6452485449,10807.1495012651
"Cit_0",323984.000000002,201354.999999999,120118.999999998,2467265.82853908,49640.0000000029,464595,291907.999999999,179545.999999998,202098,98973.9999999995,359879.000000001,333233.999999999,231907.999999999,437949.999999998,115577.000000001
"Cit_1",87237.3877727941,48672.7113375658,23110.7818437924,258317.634240583,2845.44921058277,94780.1305598445,63467.2423884494,43529.9005230279,1252.88252538966,22188.0244191792,105917.999868154,72366.7881595331,47936.1047447184,81302.9188512219,15075.3383241638
"Cit_2",1147387.57688762,920211.583075778,477612.446654614,26258.1827599993,58199.2122349248,1612419.7188689,1179533.34517799,743731.209436242,93760.8191765255,412937.061056117,1546663.68507874,1289625.8650956,916115.074455936,1835384.09730344,381789.57719227
"Cit_3",205446.770218655,189740.2268308,72987.8770680329,0,8297.14260501662,308497.065854654,270662.258752582,109583.972453914,8479.59358189258,72931.0333335674,301807.240713715,256746.811894201,168332.846825147,439717.907739602,71549.0384076705
