"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",0,0,0,-83.31402531,0,0,0,0,0,0,0,0,0,0,0
"2KG_1",0,0,0,-404.47006923,0,0,0,0,0,0,0,0,0,0,0
"2KG_2",0,0,0,1224.18843796,0,0,0,0,0,0,0,0,0,0,0
"2KG_3",0,0,0,663.49509385,0,0,0,0,0,0,0,0,0,0,0
"2KG_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2KG_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_0",0,0,0,1510.82853908,0,0,0,0,0,0,0,0,0,0,0
"Cit_1",0,0,0,-1695.58546606,0,0,0,0,0,0,0,0,0,0,0
"Cit_2",0,0,0,-11803.90217652,0,0,0,0,0,0,0,0,0,0,0
"Cit_3",0,0,0,24142.76553497,0,0,0,0,0,0,0,0,0,0,0
"Cit_4",0,0,0,17210.88941458,0,0,0,0,0,0,0,0,0,0,0
"Cit_5",0,0,0,2913.22609787,0,0,0,0,0,0,0,0,0,0,0
"Cit_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactone_0",0,0,0,0,0,0,-28.1710727,0,0,0,0,0,0,0,0
"Lactone_1",0,0,0,0,0,0,325.77636021,0,0,0,0,0,0,0,0
"Lactone_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactone_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactone_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactone_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mal_0",0,0,0,517.82379966,0,0,0,0,0,0,0,0,0,0,0
"Mal_1",0,0,0,-1087.22357737,0,0,0,0,0,0,0,0,0,0,0
"Mal_2",0,0,0,-4817.42887849,0,0,0,0,0,0,0,0,0,0,0
"Mal_3",0,0,0,15600.66070966,0,0,0,0,0,0,0,0,0,0,0
"Mal_4",0,0,0,6028.21487206,0,0,0,0,0,0,0,0,0,0,0
"Succ_0",0,0,0,13.83609557,-58.07913756,0,0,0,0,0,0,0,0,0,0
"Succ_1",0,0,0,-53.88880939,340.40348661,0,0,0,0,0,0,0,0,0,0
"Succ_2",0,0,0,-159.40192304,0,0,0,0,0,0,0,0,0,0,0
"Succ_3",0,0,0,934.25923056,0,0,0,0,0,0,0,0,0,0,0
"Succ_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
