"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",0,0,0,-0.00101058,0,0,0,0,0,0,0,0,0,0,0
"2KG_1",0,0,0,-0.26932298,0,0,0,0,0,0,0,0,0,0,0
"2KG_2",0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,0
"2KG_3",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"2KG_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2KG_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_0",0,0,0,0.00038104,0,0,0,0,0,0,0,0,0,0,0
"Cit_1",0,0,0,-0.00408452,0,0,0,0,0,0,0,0,0,0,0
"Cit_2",0,0,0,-0.27972809,0,0,0,0,0,0,0,0,0,0,0
"Cit_3",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Cit_4",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Cit_5",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Cit_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactone_0",0,0,0,NA,NA,0,-0.00084778,0,NA,0,0,0,0,0,0
"Lactone_1",0,0,0,NA,NA,0,Inf,0,NA,0,0,0,0,0,0
"Lactone_2",0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0
"Lactone_3",0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0
"Lactone_4",0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0
"Lactone_5",0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0
"Mal_0",0,0,0,0.00034511,0,0,0,0,0,0,0,0,0,0,0
"Mal_1",0,0,0,-0.00687811,0,0,0,0,0,0,0,0,0,0,0
"Mal_2",0,0,0,-0.08507139,0,0,0,0,0,0,0,0,0,0,0
"Mal_3",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Mal_4",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Succ_0",0,0,0,9.53e-06,-0.00072482,0,0,0,0,0,0,0,0,0,0
"Succ_1",0,0,0,-0.00043404,Inf,0,0,0,0,0,0,0,0,0,0
"Succ_2",0,0,0,-0.10864044,0,0,0,0,0,0,0,0,0,0,0
"Succ_3",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Succ_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
