"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",530385.71945755,371127.5206208,110173.76060853,82426.6618743,8645.77186394,815121.12702061,352425.49103942,328286.92656501,21809.61130177,183580.37732115,331941.70569442,344998.15213727,257254.68251217,413409.44032933,384134.54110966
"2KG_1",100176.16902309,59016.42377631,13260.96897156,1517.21091108,839.70820016,148012.901336,56647.24890026,56034.40841449,916.08343239,27737.98235157,57739.39534166,58936.68695149,35138.71855734,79885.24279233,60108.18696062
"2KG_2",206368.73816586,197661.57698177,50738.45323395,0,3094.36925602,352244.89373091,186123.32039722,143694.82604739,7295.35070682,74826.13025573,143097.74289053,139151.8919044,112552.26652615,226925.7184025,142440.09791245
"2KG_3",56940.80659222,63199.1802347,8834.75936798,0,1518.07680413,71751.17882579,53215.77948014,37198.47075862,1306.38014794,20231.04037447,38349.01768926,35723.26624641,23384.4935151,67994.48541183,36489.01385078
"2KG_4",43558.74041704,64990.30149166,12518.47773173,122.45104731,1262.83030866,93894.10992114,67784.95112696,36345.74321052,1640.26448087,22723.55286186,44189.5670206,44906.68978425,25975.53525273,87085.7013817,38344.16226154
"2KG_5",9871.43211621,34162.21114688,5069.00248477,188.61634219,509.1447266,33766.80731301,30642.3120375,7191.30590623,368.99837797,6633.18844791,12238.54111803,16614.21359138,9046.03959308,39285.98198157,16210.7369659
"Cit_0",519424.77179879,322944.67459579,192738.27465963,3960788.92867329,79736.47115678,745344.96975144,468268.59206978,287951.56022909,324454.98641793,158761.93035716,576871.3082059,534554.4589862,372055.68003767,702780.69095702,185553.85593244
"Cit_1",104082.29929794,48923.75900015,21887.60790603,418456.31611885,2714.33212877,101126.36374062,64474.58688499,46323.88866646,0,22510.72470299,121359.06943507,75303.79954101,47852.22151761,72000.73846477,11985.77375011
"Cit_2",1871523.43770455,1499789.07358868,779666.98929566,43058.9819544,95040.23505763,2629063.46835159,1921093.32134387,1214292.92396148,153036.37683532,673607.6486324,2521585.37291209,2102286.29888339,1494065.71779419,2988428.89242463,622591.57449282
"Cit_3",313501.80101944,289065.84508213,109581.91643805,0,12054.37689342,473290.90265258,414822.80987632,163590.18881209,12019.83751016,110568.18175271,461727.3084756,392593.17488603,258237.58402232,670835.49351574,109168.26341296
