"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",0.559891080333735,0.469688201191797,0.549233672888354,0.978300639739519,0.544790530012787,0.538107974800033,0.471889446645846,0.539278883104586,0.654222489313736,0.546805871354939,0.528943587014678,0.538781045559119,0.55520388195175,0.452017833800095,0.566798561971912
"2KG_1",0.105748969929651,0.0746894702874652,0.0661080338374553,0.0180073822132075,0.0529119993703809,0.0977117632483819,0.075849334447159,0.0920480553440751,0.0274797370418343,0.0826193508843538,0.0920067661283625,0.0920409852075956,0.0758359488711046,0.0873457422037051,0.0886908889619807
"2KG_2",0.217849032355104,0.250154745684194,0.2529392377317,0,0.194983524151674,0.23253695692076,0.249214750076939,0.23604834377527,0.218838494358914,0.222874404942673,0.22802387322761,0.217312473551892,0.242908913017862,0.248118358361908,0.21017334819903
"2KG_3",0.0601084240175209,0.079983045265894,0.0440426768584385,0,0.0956576092611828,0.0473670479730857,0.0712546775707032,0.0611061487394768,0.0391874600858196,0.0602594450551036,0.0611085218490745,0.0557887589246259,0.0504681254011571,0.0743445045224988,0.0538403042815438
"2KG_4",0.0459819134176843,0.0822498362597031,0.0624065972296203,0.00145333967427714,0.0795739239940541,0.0619848604832431,0.0907624558708184,0.0597053681340974,0.04920298197706,0.0676835525900069,0.0704153400658223,0.0701304430898239,0.0560600797126714,0.095218653115806,0.0565776146218891
"2KG_5",0.0104205799463051,0.0432347013109465,0.0252697814544316,0.00223863837299637,0.0320824132099207,0.0222913965744963,0.0410293353885342,0.0118132009024951,0.0110688372226364,0.0197573751729242,0.0195019117144527,0.0259462936669429,0.0195230510454543,0.042954907995987,0.0239192819636442
"Cit_0",0.135821572568959,0.0952985467949422,0.123485232531369,0.895628720448986,0.304616675846914,0.135550118397581,0.105003789102106,0.12044843190003,0.573839463080957,0.116804762239539,0.109083348153591,0.119003984050566,0.121760076022439,0.0996346516435003,0.143644128094495
"Cit_1",0.0272159171736912,0.0144370336569131,0.0140231428168826,0.0946229404592027,0.0103695438011629,0.0183910687459649,0.0144576767230805,0.0193770082195339,0,0.0165616520336916,0.022948365492389,0.0167643389908693,0.0156602638864077,0.0102076915136117,0.00927863240146998
"Cit_2",0.489374535466252,0.442576485866589,0.499523821307572,0.00973666145965849,0.363081536653919,0.478127415991895,0.430782848510576,0.507931536964415,0.270664085901631,0.495588464213292,0.476818609661542,0.468016758585306,0.488952501310345,0.423675657981772,0.481971249951074
"Cit_3",0.0819758893481416,0.0853011587785383,0.0702078943919275,0,0.04605125064363,0.0860737517453827,0.0930191936436885,0.0684288069179752,0.0212585948494746,0.081347525517165,0.0873102198462732,0.0874001724933782,0.0845116189577459,0.0951057158606881,0.0845112053034043
"Cit_4",0.172998136421436,0.182334665462413,0.178678717278074,0,0.159074478871064,0.168731580297783,0.18401980171767,0.185167337153034,0.0846147061294278,0.185865107941875,0.177770425388653,0.178977755455911,0.165516902303553,0.200109980589206,0.178532958051368
"Cit_5",0.078247263840517,0.138182380227329,0.0938010234168295,0,0.0833300883703518,0.0974875450858388,0.140419845680076,0.0827814637653803,0.0390603626045424,0.085617677580749,0.0994889040290447,0.106238881326931,0.107373047921116,0.137802029997899,0.0833760693502793
"Cit_6",0.0143666851810031,0.0418697292132756,0.0202801682573454,1.16776321524537e-05,0.0334764258129583,0.0156385197355553,0.0322968446228025,0.0158654150796311,0.0105627874339681,0.0182148104736888,0.0265801274285077,0.0235981090970391,0.0162255895983939,0.033464272413323,0.0186857568479089
"Fum_0",0.563782773276916,0.507069898548436,0.567809033189283,0.725828917107461,0.494126770652022,0.581409340927975,0.522890863136187,0.559587208436205,0.57691224933542,0.571857053561153,0.538673125943093,0.562749991391496,0.570183915492252,0.508746066880794,0.575543264237647
"Fum_1",0.0860432890438197,0.0754170296494361,0.0797505014216476,0.0371236965870682,0.0555063261733398,0.0735543306549114,0.0726938945278436,0.0880883121385088,0.0601951734420288,0.0706998076645056,0.0861893654087215,0.0703789101251862,0.0805813491365593,0.0758336191502506,0.070609432251881
"Fum_2",0.21236820852907,0.215816290679975,0.205656266884573,0.232920409364089,0.2484230673381,0.199506739050227,0.201529025894791,0.201200579985282,0.23950929889813,0.198532428042999,0.207426237226115,0.196591303473365,0.196201257310005,0.205060143951733,0.2046841546143
"Fum_3",0.0876644257167272,0.143726027238893,0.106296642636492,0.000611915365352194,0.124826377362827,0.102568198308681,0.150791730258119,0.110003271288633,0.0734949477512185,0.121039207562596,0.122763187198826,0.130505818727856,0.112018476986651,0.150552712967088,0.102413122876181
"Fum_4",0.0501413034334679,0.0579707538832593,0.0404875558680038,0.00351506157602933,0.0771174584737111,0.042961391058206,0.05209448618306,0.0411206281513705,0.0498883305732027,0.0378715031687459,0.0449480842232447,0.0397739762820972,0.0410150010745319,0.0598074570501349,0.0467500260199907
"2HG_0",0.499534525216504,0.56904689406193,0.568808719854831,0.797710465674587,0.706841038359305,0.51327904312798,0.57836542224609,0.564569323454731,0.702736179612296,0.568792750047716,0.509420207087617,0.530449610357006,0.538541959189599,0.591537394436558,0.544575429728862
"2HG_1",0.172025324752445,0.0808993790127182,0.0937749955152861,0.125698647866926,0.0709772637460614,0.139978014266095,0.0805134733425211,0.103379052518806,0.106265191487797,0.099861073014355,0.123686322201772,0.103912556068196,0.111610784187642,0.100850433942361,0.129723727002679
"2HG_2",0.219967441986061,0.197217160459833,0.203864707388943,0.0324306245072691,0.119436572040269,0.216364750509878,0.196415421041412,0.21078227018283,0.111645854127529,0.21150698328836,0.223031840750601,0.219733965862226,0.205427981029895,0.180252333407728,0.202678655056276
"2HG_3",0.0498120088802652,0.0657691638422667,0.0603174847929476,0.0430914781732927,0.0553950328737754,0.0561137491551024,0.0655094288482638,0.0556058513909045,0.047366250312425,0.0563308790885566,0.0631881578128915,0.0636183085000159,0.0632323392043709,0.0602463405629259,0.058411223669041
"2HG_4",0.0462776677910172,0.0664800806496308,0.0575507516680263,0,0.0343339599205362,0.057610666643006,0.0598508759568613,0.0518488024694323,0.0237063169467365,0.0479988791873955,0.0589177012065488,0.0602419012540971,0.0611732698043404,0.0519871115712953,0.0506485741719059
"2HG_5",0.0123830313737087,0.0205873219736209,0.0156833407799663,0.00106878377792507,0.0130161330600537,0.0166537762979384,0.0193453785648515,0.0138146999832961,0.00828020751321577,0.0155094353736171,0.0217557709405698,0.0220436579584588,0.0200136665841535,0.0151263860791317,0.013962390371236
