"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",371813.233929832,260169.379717668,77234.4743142113,57783.0861375165,6060.89545517706,571419.650197273,247058.804065639,230137.085794579,15289.0656957304,128694.29035089,232699.174473729,241852.059624017,180341.762493659,289810.02939366,269287.616077238
"2KG_1",69702.8387258849,41063.7810247111,9227.01667060714,1055.67929458139,584.271147752363,102987.761378612,39415.3029893745,38988.8869868372,637.413232808068,19300.160200649,40175.2213213722,41008.2999347958,24449.6116843117,55584.3595261513,41823.4326854297
"2KG_2",142523.418536489,136510.034974937,35041.24641371,0,2137.04889849998,243269.144652146,128541.426032532,99239.2453251338,5038.35189089015,51676.7993771038,98826.8847446381,96101.7812402166,77731.4138367428,156720.583883103,98372.6986537972
"2KG_3",39032.415704195,43322.4750880541,6056.14884887569,0,1040.62812657442,49184.7939431355,36478.9428004942,25499.2203501589,895.511954498182,13868.197963542,26287.9100223221,24487.9807977998,16029.862001255,46609.6140715716,25012.8939595031
"2KG_4",29637.3823565957,44219.4240774065,8517.57666786598,83.3157358166482,859.230187808941,63885.5855362714,46120.9046758149,24729.6565109911,1116.03653182014,15461.11338894,30066.5970003485,30554.5275818903,17673.763355683,59253.1419625734,26089.3815387748
"2KG_5",6666.69498815095,23071.5299620072,3423.36279704017,127.382492059745,343.852093304057,22804.4930491739,20694.3577872863,4856.66542391527,249.203925842617,4479.73948060948,8265.32764175817,11220.448378492,6109.26419873468,26531.8806934851,10947.9594867833
"Cit_0",323219.679262923,200957.058287845,119934.21704059,2464658.97789301,49617.1881514254,463801.834535175,291386.996452924,179182.079857674,201896.871961053,98791.9386892116,358966.628735453,332634.348923609,231517.101414462,437315.588043028,115463.607160643
"Cit_1",64339.458191721,30242.6845679252,13530.0319390107,258672.731459567,1677.8900898176,62512.2186563683,39855.5759749382,28635.5501198332,0,13915.2174833059,75019.2571337478,46549.7562498838,29580.3035336497,44507.9377903289,7409.11945923828
"Cit_2",1149277.47437706,921000.380687945,478783.054628427,26441.9440509365,58362.9353021643,1614472.66008597,1179717.67594035,745681.019371071,93977.5891200341,413653.434172768,1548471.80132618,1290985.85640027,917485.744557862,1835154.15337449,382325.14639472
"Cit_3",191250.441654961,176343.39056283,66849.9825137352,0,7353.7214052527,288729.104168585,253060.892599078,99797.4995964714,7332.65080125143,67451.6494783406,281674.78267418,239499.798226105,157536.740891374,409240.342465379,66597.6352433746
"Cit_4",400953.637071691,374463.871570179,169014.746554327,0,25234.9631835497,562279.988068226,497340.064448649,268275.79849919,28994.0391769904,153102.583318156,569742.767139728,487223.628966684,306509.689187246,855415.259347848,139765.292022603
"Cit_5",180161.482525179,281924.878690691,88145.3494072716,0,13132.3988100727,322734.535658546,377013.961934219,119148.96410888,13296.5568864331,70062.906232259,316762.680944583,287311.38010037,197531.878399953,585199.455080663,64842.8965998141
"Cit_6",32861.9250847795,84864.2005492485,18932.4587803235,30.8880862511367,5241.13013618064,51432.2577330635,86145.5157947864,22685.7032866876,3572.11230742404,14807.8839022988,84073.68073526,63400.1350640762,29654.1881339514,141180.047564982,14436.9456784291
"Fum_0",597051.210722131,630625.045795038,841248.813617243,396064.716125579,157647.945060153,942622.972099239,900025.808734407,855569.261680127,217854.617782299,995892.972661875,849989.06707357,1021487.58071036,973004.227546724,965641.408393062,605335.719711155
"Fum_1",90364.6975650437,93015.3925006487,117175.71284125,20089.3144664729,17562.0184242169,118262.28798331,124086.307482209,133563.471298954,22542.4281634321,122102.74640197,134872.599451735,126689.944381916,136369.20669342,142744.246930304,73648.3565331287
"Fum_2",221185.095340414,263969.76280104,299661.320364294,124998.846673612,77948.618688642,318112.077533431,341152.131484671,302540.274250406,88950.0020460308,340034.680022318,321898.01061865,350952.604097959,329282.101353061,382791.818774628,211723.528308314
"Fum_3",90547.5799937781,174338.168895335,153601.475950929,325.669374754822,38842.7501388347,162189.380622749,253148.354340667,164038.832245849,27068.7480019641,205591.393944313,188933.886856015,231047.430565246,186441.720814874,278712.903654078,105057.632355089
"Fum_4",51361.6187351795,69735.7755004224,58021.2430994953,1855.27429253467,23798.3002988786,67371.7225183824,86731.9220012011,60812.1609897282,18222.1359544615,63794.1757254392,68602.9068106119,69832.8723679625,67699.5518946579,109802.810079356,47560.1794384038
"2HG_0",5482730.07844528,569749.195865932,1254599.54225284,2233709.36226532,184146.963287878,6377745.49957801,700773.584557605,1672198.41853599,680390.283301785,2515831.23685357,4336542.55337428,4256881.12431718,3975657.48113452,2680770.62829831,5375746.74309117
"2HG_1",1874035.32851803,80396.0817627119,205295.751935571,349354.234945296,18353.3813946652,1726344.6857164,96827.3388906534,303918.481678575,102120.010369995,438407.235114412,1045064.63609184,827693.314179652,817804.70778604,453637.820607632,1271025.33348506
