"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",0,0,0,-83.27784657,0,0,0,0,0,0,0,0,0,0,0
"2KG_1",0,0,0,-404.29521668,0,0,0,0,0,0,0,0,0,0,0
"2KG_2",0,0,0,1224.28749092,0,0,0,0,0,0,0,0,0,0,0
"2KG_3",0,0,0,666.99212319,0,0,0,0,0,0,0,0,0,0,0
"2KG_4",0,0,0,-27.69801295,0,0,0,0,0,0,0,0,0,0,0
"2KG_5",0,0,0,0.70210701,0,0,0,0,0,0,0,0,0,0,0
"Cit_0",0,0,0,1510.563076,0,0,0,0,-191.59764652,0,0,0,0,0,0
"Cit_1",0,0,0,-1696.11550315,0,0,0,0,569.79711735,0,0,0,0,0,0
"Cit_2",0,0,0,-11801.40726311,0,0,0,0,-11.49150542,0,0,0,0,0,0
"Cit_3",0,0,0,24143.57553641,0,0,0,0,0.17401896,0,0,0,0,0,0
"Cit_4",0,0,0,17211.426083,0,0,0,0,-0.00234322,0,0,0,0,0,0
"Cit_5",0,0,0,2915.17154302,0,0,0,0,2.926e-05,0,0,0,0,0,0
"Cit_6",0,0,0,-200.96044078,0,0,0,0,1e-08,0,0,0,0,0,0
"Fum_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_0",0,0,0,0.31531228,0,0,0,0,0,0,0,0,0,0,0
"2HG_1",0,0,0,3.49844519,0,0,0,0,0,0,0,0,0,0,0
"2HG_2",0,0,0,-9.00310126,0,0,0,0,0,0,0,0,0,0,0
"2HG_3",0,0,0,-30.139203,0,0,0,0,0,0,0,0,0,0,0
"2HG_4",0,0,0,121.30985388,0,0,0,0,0,0,0,0,0,0,0
"2HG_5",0,0,0,-6.04874415,0,0,0,0,0,0,0,0,0,0,0
"Lactone_0",0,0,0,0,0,0,-34.13929617,0,0,0,0,0,0,0,-36.77878599
"Lactone_1",0,0,0,0,0,0,398.88687629,0,0,0,0,0,0,0,429.72693358
"Lactone_2",0,0,0,0,0,0,-8.05483781,0,0,0,0,0,0,0,-8.67759999
"Lactone_3",0,0,0,0,0,0,0.12202667,0,0,0,0,0,0,0,0.1314612
"Lactone_4",0,0,0,0,0,0,-0.00164349,0,0,0,0,0,0,0,-0.00177055
"Lactone_5",0,0,0,0,0,0,2.07e-05,0,0,0,0,0,0,0,2.23e-05
"Mal_0",0,0,0,517.823291,0,0,0,0,0,0,0,0,0,0,0
"Mal_1",0,0,0,-1087.22273932,0,0,0,0,0,0,0,0,0,0,0
"Mal_2",0,0,0,-4817.42554455,0,0,0,0,0,0,0,0,0,0,0
"Mal_3",0,0,0,15600.65587844,0,0,0,0,0,0,0,0,0,0,0
"Mal_4",0,0,0,6028.20762803,0,0,0,0,0,0,0,0,0,0,0
"Succ_0",0,0,0,15.26988716,-76.90200762,0,0,0,0,0,0,0,0,0,0
"Succ_1",0,0,0,-60.41769113,455.39271726,0,0,0,0,0,0,0,0,0,0
"Succ_2",0,0,0,-174.46324777,-9.19200727,0,0,0,0,0,0,0,0,0,0
"Succ_3",0,0,0,1043.8413873,0.13923638,0,0,0,0,0,0,0,0,0,0
"Succ_4",0,0,0,-41.88663853,-0.00187114,0,0,0,0,0,0,0,0,0,0
