"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2KG_0",0,0,0,-0.00101033,0,0,0,0,0,0,0,0,0,0,0
"2KG_1",0,0,0,-0.26647265,0,0,0,0,0,0,0,0,0,0,0
"2KG_2",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"2KG_3",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"2KG_4",0,0,0,-0.22619662,0,0,0,0,0,0,0,0,0,0,0
"2KG_5",0,0,0,0.00372241,0,0,0,0,0,0,0,0,0,0,0
"Cit_0",0,0,0,0.00038138,0,0,0,0,-0.00059052,0,0,0,0,0,0
"Cit_1",0,0,0,-0.00405327,0,0,0,0,Inf,0,0,0,0,0,0
"Cit_2",0,0,0,-0.27407539,0,0,0,0,-7.509e-05,0,0,0,0,0,0
"Cit_3",0,0,0,Inf,0,0,0,0,1.448e-05,0,0,0,0,0,0
"Cit_4",0,0,0,-Inf,0,0,0,0,-5e-08,0,0,0,0,0,0
"Cit_5",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Cit_6",0,0,0,-3.89136615,0,0,0,0,0,0,0,0,0,0,0
"Fum_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fum_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2HG_0",0,0,0,1e-07,0,0,0,0,0,0,0,0,0,0,0
"2HG_1",0,0,0,6.97e-06,0,0,0,0,0,0,0,0,0,0,0
"2HG_2",0,0,0,-6.948e-05,0,0,0,0,0,0,0,0,0,0,0
"2HG_3",0,0,0,-0.00017506,0,0,0,0,0,0,0,0,0,0,0
"2HG_4",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"2HG_5",0,0,0,-0.00141653,0,0,0,0,0,0,0,0,0,0,0
"Lactone_0",0,0,0,NA,NA,0,-0.00102761,0,NA,0,0,0,0,0,-0.00022644
"Lactone_1",0,0,0,NA,NA,0,Inf,0,NA,0,0,0,0,0,-Inf
"Lactone_2",0,0,0,NA,NA,0,-0.00191545,0,NA,0,0,0,0,0,-0.00024161
"Lactone_3",0,0,0,NA,NA,0,0.00029995,0,NA,0,0,0,0,0,2.963e-05
"Lactone_4",0,0,0,NA,NA,0,-4.6e-07,0,NA,0,0,0,0,0,-8.2e-07
"Lactone_5",0,0,0,NA,NA,0,9e-08,0,NA,0,0,0,0,0,1e-08
"Mal_0",0,0,0,0.00034548,0,0,0,0,0,0,0,0,0,0,0
"Mal_1",0,0,0,-0.00685896,0,0,0,0,0,0,0,0,0,0,0
"Mal_2",0,0,0,-0.0833784,0,0,0,0,0,0,0,0,0,0,0
"Mal_3",0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,0
"Mal_4",0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0
"Succ_0",0,0,0,1.052e-05,-0.00096002,0,0,0,0,0,0,0,0,0,0
"Succ_1",0,0,0,-0.00048191,Inf,0,0,0,0,0,0,0,0,0,0
"Succ_2",0,0,0,-0.11814785,-0.00122459,0,0,0,0,0,0,0,0,0,0
"Succ_3",0,0,0,Inf,2.878e-05,0,0,0,0,0,0,0,0,0,0
"Succ_4",0,0,0,-0.01137696,-1.04e-06,0,0,0,0,0,0,0,0,0,0
