"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",0.975121579697252,0.979795973429292,0.989697541958878,0.985664049196204,0.998821308072049,0.977940024929466,1,0.977770830422342,0.965597402516422,1,0.978338708631979,0.962546082750058,0.984768936338534,0.945577912133173,0.950025753121101,0.997895818102229,0.984907361767183,0.987033872160502,1,0.967070854925853,0.961923078507543,0.995949543160573,1,1
"Pyr_1",0.017827440229044,0.0121981893523653,0,0,0.00117869192795053,0,0,0,0.00392497463820526,0,0.0216612913680209,0,0,0.00469882467155416,0.0310222251532595,0.0021041818977713,0,0.00951363111211262,0,0.0104995712360293,0.0187343874932409,0.00405045683942714,0,0
"Pyr_2",0.00705098007370399,0.00800583721834249,0.0103024580411223,0.014335950803796,0,0.0220599750705341,0,0.0222291695776576,0.0304776228453727,0,0,0.0374539172499415,0.0152310636614659,0.0202210158867601,0.0189520217256395,0,0.015092638232817,0.00345249672738501,0,0.0224295738381175,0.0193425339992164,0,0,0
"Pyr_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295022473085132,0,0,0,0,0,0,0,0,0,0
"Lac_0",0.959896270528206,0.985469462287964,0.977964618102188,0.98660589436875,0.981325968546235,0.970818559419753,0.98364381241556,0.981925159295556,0.957915278323279,0.983723923319203,0.959221764593324,0.975741716122186,0.96833653140094,0.974734331282933,0.962017190137094,0.965301961405158,0.976590493665352,0.976958286199901,0.990459116060943,0.968701599424401,0.966630012013836,0.978961695005869,0.961120742892135,0.964613961513352
"Lac_1",0.0074924975501954,0,0.00510175291684107,0.00343909676833075,0.00592873219667372,0.00113692593638004,0,0,0.0102751795500442,0.0122739925570029,0.0100294839875585,0.0007314534745598,0.00556311067012336,0.00161858051215855,0.0106321450349375,0.00800599220238707,0.00488839055506008,0.000708160454557951,0,0.00354225306156217,0,0.00583575067828135,0.0120478934467584,0.0153815816796408
"Lac_2",0.00815095982097478,0.00294977766810563,0.00158897854846516,0.00126929934632288,0.00748073884776408,0.00444353824138567,0.00658133689677242,0.00405515318141105,0.00525942673706618,2.25690374638676e-05,0.00770538583331439,0.00266606183962348,0.0062068072852354,0.00381942345031899,0.00558842563739739,0.00535036060143378,0.000846683788598136,0.00316239403737981,0.00686455267563497,0.00713626278279036,0.000902383953509132,0.00744891939710088,0.00541729834679608,0.00517851497111536
"Lac_3",0.0244602721006233,0.0115807600439302,0.0153446504325059,0.00868570951659586,0.00526456040932707,0.0236009764024816,0.00977485068766739,0.0140196875230327,0.0265501153896101,0.0039795150863303,0.0230433655858031,0.020860768563631,0.0198935506437013,0.0198276647545891,0.021762239190571,0.0213416857910215,0.0176744319909893,0.0191711593081608,0.00267633126342225,0.0206198847312462,0.0324676040326552,0.00775363491874896,0.0214140653143105,0.0148259418358914
"Cit_0",0.150087264335253,0.265684353783106,0.228943093582172,0.586529018232907,0.715000539973738,0.164660266916045,0.711516833818545,0.264985789533867,0.10937713144596,0.766028396319697,0.225689615267251,0.168145442288129,0.150464502387326,0.195794503902998,0.273098347448503,0.301799463152314,0.220879119601715,0.197718604487495,0.813862254835369,0.112075789149757,0.246547481562538,0.715444423794742,0.326006711704511,0.303979356171361
"Cit_1",0.10111340335014,0.147985468795317,0.138115587393411,0.0224578842091991,0.0286115787268196,0.0869640706101259,0.00659768187816085,0.142025058170713,0.0994365574981723,0.0499754387808149,0.0474011898775753,0.0892830900600334,0.0926320858696247,0.136764822127853,0.0275672240718423,0.040352613367364,0.113450722333534,0.128101019464323,0,0.102322449011037,0.0165368618563766,0,0.0203630006724303,0.0142075062324651
"Cit_2",0.184947011300278,0.176325173911344,0.184261391595907,0.046982071749207,0.0152476558350331,0.166116297783282,0.0355536502838427,0.175035376900613,0.202711479526673,0,0.100360418465683,0.160040216613967,0.189381203179756,0.189043178376352,0.118290449791023,0.0970264721699502,0.187171369672275,0.184974198057845,0.0228360455252723,0.159544530917884,0.108657546915149,0.0418560858603956,0.124850263030704,0.0962447673493875
"Cit_3",0.0531682155181668,0.0448878781908339,0.0656985895813236,0.0327676802589889,0.0121354737224634,0.0762458390909531,0.0168587385144771,0.0437066818324989,0.0605676400026166,0.00544362505571279,0.07973641900411,0.0798885283212137,0.0713197936426279,0.0636159381072034,0.0643311693283458,0.0417539513109063,0.0617492012872361,0.0704583542664939,0.00243118535653701,0.0747387774105207,0.0637798626159753,0.00011811052359808,0.0378314556633625,0.0672903773919835
"Cit_4",0.443064784632269,0.347914803810766,0.365309019776265,0.302625758842115,0.212206781120881,0.482590326465671,0.219863010040072,0.370458881750146,0.496709707878827,0.169221592637603,0.487703385364126,0.452252801743489,0.437880869164291,0.380887761567804,0.487653868494469,0.467076981633788,0.385492852433355,0.383096268526251,0.158530005110804,0.514983696207193,0.512594116328747,0.223303246228345,0.431436872117608,0.496162759272183
"Cit_5",0.034241258571148,0.0172023215086339,0.00726978586682892,0,0.00960796390625524,0.00895307866152896,0.00499026625878775,0.00378821181216141,0.00620363491170764,0.0093309472061719,0.0153038887180304,0.0106767036550185,0.0245657169380091,0.0214101374110337,0.000629291283223988,0,0.00514872830841436,0.0223939648628699,0.00234050917201769,0.0129862771024779,0.0207870547006588,0.0102702208649422,0.0353121087968109,0.00758354625497545
"Cit_6",0.0333780622927456,0,0.0104025322040921,0.0086375867075823,0.0071900067148092,0.0144701204723938,0.00461981920611418,0,0.0249938487360429,0,0.0438050833032247,0.0397132173181502,0.0337558288183653,0.0124836585067562,0.0284296495825927,0.0519905183656772,0.0261080063634701,0.0132575903347214,0,0.023348480201131,0.0310970760205556,0.00900791272797671,0.0241995880145724,0.0145316873276443
"Mal_0",0.135489111291243,0.225191221177644,0.162911388305892,0.575589835087053,0.725209451492631,0.121497720483263,0.597341360885669,0.211235184020344,0.103853641872904,0.764921932767785,0.259442026851186,0.13264617677417,0.11211202852674,0.152791280449622,0.258809315474444,0.273072839399345,0.162347643208825,0.144440379471277,0.777774297775843,0.10829632488805,0.240271588729882,0.659623445226466,0.277298236880708,0.239972099675541
