"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",0.974784143989993,0.979496201805398,0.989475837672315,0.985356830193184,0.998808574849194,0.977471063668114,1,0.977298355840618,0.96491685427585,1,0.978109554541467,0.961762665368405,0.984442837854994,0.944201028708793,0.94931594503176,0.997873108246899,0.984584180590369,0.986858227920628,1,0.966489638334141,0.961323889250991,0.995905913876284,1,1
"Pyr_1",0.0180140211633213,0.012326349215014,0,0,0.00119142515080583,0,0,0,0.00396462987529244,0,0.0218904454585326,0,0,0.00474272978536372,0.0313343242868617,0.00212689175310124,0,0.00961481668492632,0,0.0106067531766209,0.0189252175272566,0.0040940861237161,0,0
"Pyr_2",0.00720183484668573,0.00817744897958786,0.0105241623276854,0.0146431698068162,0,0.0225289363318857,0,0.0227016441593821,0.0311185158488573,0,0,0.0382373346315945,0.0155571621450058,0.0206307065904542,0.0193497306813786,0,0.015415819409631,0.00352695539444563,0,0.0229036084892381,0.0197508932217524,0,0,0
"Pyr_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304255349153887,0,0,0,0,0,0,0,0,0,0
"Lac_0",0.958879293260785,0.985032113035608,0.977384997378697,0.986261011135891,0.980934092928241,0.969962049639013,0.983187865995547,0.981387329164769,0.956866222394933,0.983464516184579,0.958232997880096,0.975010346856514,0.967516412461766,0.974002944752282,0.961103831940937,0.964431131313724,0.975955150628251,0.976269782939222,0.990224358302956,0.967859721892086,0.965582795904868,0.978492571673584,0.960208072040847,0.963876336388499
"Lac_1",0.00756551046730603,0,0.00515387567624836,0.00347507791294039,0.00599046260954088,0.00114820871069667,0,0,0.0103749385835155,0.0124034730778785,0.0101275099422447,0.000738810484243329,0.00561851720627531,0.00163485901060987,0.0107369358795275,0.00808528225828527,0.00493804740928357,0.000715315257599152,0,0.00357745331680841,0,0.00589604180472852,0.0121666358890629,0.0155360554190367
"Lac_2",0.00831940697826047,0.00301259314455174,0.00162257410902034,0.00129645126972126,0.00764038094867995,0.0045361726548039,0.00672135370452911,0.00414107698688683,0.00536792594463944,2.3053797873688e-05,0.00786485046749524,0.00272200270309326,0.00633642454555853,0.00389956172713239,0.00570454400372098,0.00546179087248177,0.000864535028296796,0.00322889402237628,0.00701218354837269,0.0072851284869745,0.000921010518123419,0.00760727455637518,0.00552986002414578,0.00528709352424628
"Lac_3",0.0252357892936485,0.0119552938198398,0.0158385528360342,0.00896745968144695,0.00543506351353831,0.0243535689954863,0.0100907802999244,0.014471593848344,0.0273909130769117,0.0041089569396693,0.0237746417101638,0.0215288399561496,0.0205286457864004,0.0204626345099753,0.0224546881758144,0.0220217955555089,0.0182422669341687,0.0197860077808024,0.00276345814867171,0.0212776963041311,0.0334961935770087,0.00800411196531248,0.0220954320459446,0.0153005146682181
"Cit_0",0.145650885692826,0.25967138992577,0.223399654109673,0.577166360061543,0.706955285694682,0.159905765438789,0.703324029354286,0.258958587526339,0.106055448010469,0.759439982319296,0.219005285737098,0.16321790260524,0.146036440365202,0.190751000726634,0.265568626685151,0.293602126958156,0.215219197394081,0.192579514329286,0.807662418203281,0.108606245973293,0.239274789587355,0.707030103992564,0.317525140480893,0.295798141116305
"Cit_1",0.0991859157859874,0.146200610671391,0.136229020858354,0.0223384140367985,0.0285956115574165,0.0853664376121957,0.0065922495332832,0.140295809668468,0.0974595776820983,0.0500814847207675,0.0464947862062096,0.0876039919090145,0.090878389008387,0.134682982247919,0.0270970943044652,0.0396811629558187,0.111739211184078,0.12612091925383,0,0.100227272934507,0.0162226374208144,0,0.0200477363444577,0.013974658241419
