"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",9825.25726296522,25143.3160804619,30828.9942260463,11607.5248695465,11016.8763805428,13631.9156470251,9082.82915303664,13017.2961176742,18263.3931716314,6771.21127957354,6768.30960121144,8935.13345179791,13522.3874400616,29899.3830707365,11885.3118235269,7254.8276423258,29573.2230480641,54311.9722389061,10281.3384554537,11338.6471032884,14456.9122152899,6489.53985647487,10065.7609122946,6380.94062913053
"Pyr_1",180.359528996985,312.595710091486,0,0,13.1577878187844,0,0,0,63.2202482276394,0,151.69803675566,0,0,137.456146471129,388.012656277532,15.4824998002108,0,525.930204124113,0,119.166712814695,279.004534357202,26.7119199384134,0,0
"Pyr_2",72.7670797430253,210.410804227566,327.535986375984,170.9724786095,0,313.221699709543,0,298.426228624538,590.34051114867,0,0,346.008682073324,207.477170131001,625.53353416649,242.881373748806,0,451.126719697933,194.562404987889,0,269.333632546669,297.751228886061,0,0,0
"Pyr_3",0,0,0,0,0,0,0,0,0,0,0,0,0,966.452478841695,0,0,0,0,0,0,0,0,0,0
"Lac_0",74837.3628894528,371751.173796456,624851.276251285,106305.433950407,84553.6336773135,143501.035345668,87107.3090985222,345266.796608532,190983.201458513,62610.1606239626,56913.6664403845,143460.226434235,143373.228221741,267216.518477166,85502.3026732968,67777.0037154147,433132.82734561,610750.197359513,68447.6274577292,159985.244526693,103828.51918571,76251.742142185,76056.4510986985,58014.3517052677
"Lac_1",579.110668937976,0,3283.57320790368,372.77102335388,504.201331017102,157.721893128434,0,0,2054.97510982954,790.149689518161,593.720270465012,101.781511615264,816.172974270136,429.460960611783,947.478653408278,562.057290506625,2190.59119720412,411.27228168379,0,569.211618972346,0,448.57151628431,957.354095841248,930.892992640233
"Lac_2",591.815142995624,971.037902165128,733.163655348968,110.854451736776,646.776647249863,563.972540702109,559.335796155039,1267.65930569214,909.123853308636,0,425.930288345654,305.622647138349,849.927418811846,903.009221710152,448.635568647896,338.194704723158,138.837425450478,1650.87748729405,475.48797533967,1101.67990742121,0,576.048441435133,386.427842285195,291.422277312101
"Lac_3",1979.91239424525,4539.48078111529,10178.6424720127,971.602756155395,470.938110303923,3621.66440959025,899.691272029421,5122.6118221307,5495.89077100031,261.785297518936,1419.53382163374,3184.0980068884,3057.98622008131,5643.02630875106,2008.18443005821,1555.7532422981,8138.27786858734,12442.146797753,192.127881953148,3535.47942072651,3618.37116944495,627.00614696143,1759.41728392872,925.829373546674
"Cit_0",2155.53344867164,4119.61130688025,8357.17179096281,9639.01770902702,9773.54730296602,2666.63687424081,10778.4150105888,5186.82124332861,2794.10947600585,10530.3977147798,2524.96468759743,2358.28441490413,1801.5611824465,6462.81455810915,4353.22089213003,2824.45092281024,6124.7173669252,8154.08029589356,10332.5446622752,1869.17778210265,6742.03763011647,5192.38745784109,4713.03249629582,4374.13255424668
"Cit_1",1428.5324517603,2285.03119941315,5008.21103708078,358.878480514902,392.783000302715,1381.16670069151,90.3401657555545,2765.41833041296,2493.64077097417,693.160636869248,516.254588283014,1231.16033520383,1085.50591477165,4484.15631791926,407.603614748696,365.128205252743,3101.45608714243,5238.27644270674,0,1692.57429928681,398.088116594241,0,261.647381390721,179.125973374298
"Cit_2",2733.48093757483,2812.50358773936,6900.6454002286,781.801075405212,211.331168143334,2750.6920593899,548.707778811486,3524.55436493898,5339.99958203142,0,1133.88826379581,2292.1691415679,2325.5769547732,6412.11353383834,1916.9368959977,927.990038929246,5324.41168043118,7824.41648701127,278.03802896664,2731.09524880967,3015.45156478044,285.463427235975,1846.37726239376,1400.70285071891
"Cit_3",530.21388689033,499.945411003084,1948.17821360515,349.552597077865,49.6734990160413,961.557212246668,124.749991112096,587.484960330829,1084.78945560796,0,700.64616550862,904.691242781896,672.72264671454,1669.4421367923,738.776285511734,219.368049401477,1339.46176944775,2377.56150327134,0,944.43209475097,1225.10914992339,0,305.899746743232,707.213734698882
"Cit_4",6760.75626810152,5732.62198943735,14199.007280168,5269.39547842643,3067.18818573219,8315.83956007429,3524.61997398016,7719.44657473226,13557.6239308071,2450.58870918814,5783.85584129987,6748.18789913109,5573.14298320161,13375.1327455416,8236.97342220427,4629.27710635177,11375.8457688545,16797.3966506757,2113.76090073341,9171.64935968402,14829.4104078928,1691.79236866582,6584.32629583718,7561.13106357691
"Cit_5",500.073080415855,288.138049685945,261.655105843516,0,134.662336892458,141.071934447628,76.6035195247664,80.0842359253699,129.387424199374,136.83651176566,151.982058346097,124.858947690534,291.143805539524,737.195463794191,0,0,106.261994869798,962.340838637,28.6245565348269,208.937493992924,554.992379537603,70.505952208301,525.658605014216,103.502806135409
"Cit_6",525.574699199777,0,416.044951543948,143.889164498253,107.07108840184,256.549672379189,76.2175088782513,0,701.676409845381,0,534.811502869287,609.795913480707,442.859397708548,451.907875866282,487.765818594039,511.737024018171,792.448666304932,599.313548847785,0,427.977797568741,926.63374511579,74.1757539680252,381.208037444486,227.812663192305
"Mal_0",2489.24383285955,3647.1796759103,7395.84708259733,12410.4826068556,11563.6699431687,2978.80785835134,8960.36923671858,4075.41772903318,4315.64567588884,9111.89339718569,3335.08890048975,2648.8841910057,2823.37197514807,5208.5412860716,4310.84576516286,3622.07143801197,6511.21250373564,11236.2153943007,9255.23680766689,3320.34225513154,5568.28344710742,10652.5825460822,4286.1344287896,4183.73049113468
"Mal_1",1045.55166467551,1860.68615368256,5039.61958443201,659.913515890606,62.0705308877484,1716.4714686693,358.664240908841,1890.14381328189,3109.66746558532,151.13117142268,366.320899946873,1454.64341100401,1609.22973221976,3449.91062609063,531.177009908901,125.685750580804,3998.63978096232,7601.5407778209,101.179264823537,1930.69371373118,350.562242216925,0,362.148692879996,375.8287789098
"Mal_2",3126.83460734399,2978.00026722861,8905.77331968569,138.424831249332,508.220116165694,3504.47179370315,528.664409356714,3476.22928520856,7460.81676288886,0,1364.66972125651,2690.93945160049,3893.74025927574,5662.71232527341,1500.18076359626,1797.52334736423,7252.00273269518,14191.9529070063,87.050245326535,5089.2885203399,2302.23523266072,258.295447848038,1489.0540873231,1683.75427666348
"Mal_3",796.753703847434,514.082270192736,1851.14609098561,245.010439633759,207.115383200331,1361.29224698605,6.12560825581237,745.293010286828,1823.08044874368,145.411812299283,325.185648355673,935.54872026153,1448.61613494444,1723.41435713766,388.091427950128,389.175197993257,1858.34453659685,4466.1973710749,0,1432.38319691907,792.398473656106,53.0410063064008,633.47616376216,590.680746478677
"Mal_4",11167.6767118314,7405.77976798769,22908.1192434916,8228.69307663312,3657.03280253569,15338.4296527554,5223.62160775549,9353.57404441836,25556.8522246491,2541.2863618544,7587.91379438109,12542.9848077921,15802.4589577419,18577.8329775172,10090.7266120294,7445.45293472371,21086.6644471918,41526.5055282754,2517.26492569802,19371.3844626268,14383.448612232,5258.32547561215,8828.75390199122,10771.3207107039
"Succ_0",932.05440628864,1301.75435901748,2815.9252356295,1769.00686214217,1952.91397111217,1379.23068691805,1892.16059430716,1652.07625527856,2950.43328367642,1974.77184617676,1216.21754352952,1031.75325561547,1556.40864609445,1782.03981549775,1122.27516630603,1134.68003679463,2753.70144015284,4778.13490265082,1911.57949936051,1962.16235627092,2008.31430902781,1586.79546674125,1615.20830014804,1572.18482742795
"Succ_1",0,624.876734105986,1583.26910797425,0,0,0,0,919.040079572005,654.767922134649,0,0,0,593.635199461334,0,0,0,1124.25524113611,2369.35501312385,0,775.844884252453,409.892319253203,0,0,137.320020432844
"Succ_2",577.281291393724,571.161855209096,2299.7369332628,0,0,788.596375524513,205.693843835609,865.352298547327,1661.22765651304,35.2991783067894,0,530.599177420957,1056.08241416945,1232.01113615739,340.824282424702,0,2263.45580088084,5094.22955519637,0,975.86875226635,674.231483477345,0,341.951764792071,529.66040594346
"Succ_3",0,0,63.3394497701061,0,0,151.961705718438,0,68.7008137745462,151.697165234438,0,0,0,0,0,0,0,0,719.557166357635,0,0,0,0,0,20.9628721560018
"Succ_4",1881.56331700336,1633.62620968636,6076.2369322878,1008.97823494769,651.137396335687,2981.54144114325,908.796704203698,2690.61121177003,5421.5119848425,696.884563167872,948.343080747914,2206.62390933914,3951.67133588146,4137.68880931015,1232.9644462311,1211.77951749484,6247.27551708363,15440.4997364913,604.783497289719,3693.36591674306,2106.21143233791,762.88782521581,1140.32288417985,1388.41079145954
"Fum_0",5031.03157430312,6319.13103647056,14100.6621664263,21995.1705727729,20459.8292840156,8327.89824368331,19635.6412896631,8308.00048576925,8779.93620835658,18769.9886443902,7465.66299128121,6122.23999045798,6326.23144921077,9803.9706374906,8571.6452902816,7422.23932550845,12062.9400931541,18557.9685814614,19960.3339235712,6940.86964880023,11870.389336148,17829.3198009178,9261.52652826185,8845.96381981287
"Fum_1",2397.30447469024,2365.05883683182,9089.53248441403,0,0,2558.53362590043,25.4238069400574,2481.38987101678,4994.05827533776,0,424.156839440224,2193.47960028458,2749.5067917509,5263.39071843828,756.234684203613,449.743092967027,6385.77862249701,11954.5153374805,191.986177704622,3067.97038246268,645.738099293958,0,544.174639704544,722.411132665504
"Fum_2",4518.68866324288,4703.64865120059,13996.7109509046,781.932280409748,0,6421.75844572397,977.347617796674,4859.03154895495,12229.2099423069,652.317116413602,2078.64952892455,5475.94082680946,6414.96482010172,9343.11279450126,2566.14866301137,2017.21852409394,12329.7850800361,22341.6514487307,65.796943675159,8137.65398327283,4240.79846047048,157.444921931454,2354.53244782504,2246.29724774697
"Fum_3",1214.24331979528,853.330926200068,2436.53927271324,398.911238884967,199.735260579561,2363.44855518236,347.382735247015,1042.94848982108,2449.76965443569,0,444.599525239134,1244.3855706801,2136.60144925539,2456.19218403267,1323.75690110913,508.680722138241,2587.9851133444,5030.90095923398,93.9036846391914,1810.73400001893,789.789750972117,0,324.072078314417,521.960592836606
"Fum_4",16346.1825649239,10884.42806326,38016.5757210723,11883.6160781357,6513.84863971291,28018.5714450889,9245.3804851282,13736.3474034892,41736.3209175124,5436.19045833008,12970.1215473123,24054.7403719119,26547.1073544878,29020.6642058021,15248.7823967436,12274.793673263,32718.4920014568,64858.9509007783,4941.81437550339,31101.4595003886,27930.6197866232,8043.8906631323,13334.6249564745,15121.0723022202
