"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",0.974884206440017,0.979622849654925,0.989487404915025,0.985484355639281,0.998807094554927,0.977539002168173,1,0.97758843111448,0.965451057196633,1,0.978078342583994,0.962719170002733,0.984888622282774,0.945320695697951,0.949593827601738,0.997870448509411,0.984974638145792,0.986907862275445,1,0.966871709675135,0.96163572562153,0.995900723168018,1,1
"Pyr_1",0.0178956796340472,0.0121792169071798,0,0,0.00119290544507342,0,0,0,0.00334198880317682,0,0.0219216574160061,0,0,0.00434591375021459,0.0310008209210924,0.00212955149058928,0,0.00955672629922288,0,0.0101616111962859,0.0185586468156405,0.00409927683198213,0,0
"Pyr_2",0.00722011392593576,0.00819793343789544,0.0105125950849749,0.0145156443607186,0,0.0224609978318274,0,0.0224115688855205,0.03120695400019,0,0,0.0372808299972669,0.0151113777172265,0.0197773243113975,0.0194053514771694,0,0.0150253618542081,0.00353541142533245,0,0.0229666791285788,0.0198056275628293,0,0,0
"Pyr_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305560662404375,0,0,0,0,0,0,0,0,0,0
"Lac_0",0.959598526932104,0.985393378672879,0.977786630739447,0.986495737852901,0.981178929603847,0.97062209313215,0.983526166585031,0.981828116895368,0.957581957631401,0.983476274587867,0.958903669382155,0.975576606954316,0.96810147018243,0.974559811700275,0.961709270162582,0.965030613465907,0.97640285416092,0.97680257126078,0.990340541025807,0.968482837750652,0.966324095955827,0.978799041147398,0.960798219680342,0.964294290066588
"Lac_1",0.00742561901418718,0,0.00513823705859136,0.00345924956108284,0.0058508629464724,0.00106681010121163,0,0,0.0103035611170328,0.0124116192207414,0.0100032308853588,0.000692147672008726,0.00551105855754366,0.00156627814512224,0.0106570112824397,0.00800275111213324,0.00493820685529153,0.000657767814032384,0,0.00344576579955162,0,0.00575805034337981,0.0120939657004808,0.0154729781697184
"Lac_2",0.00758852152865946,0.002573910687254,0.00114727719633558,0.00102870982316263,0.00750533821956437,0.00381463594744624,0.00631544467530206,0.00360481680022006,0.0045583098017644,0,0.00717623976700679,0.00207833427086014,0.00573897926346151,0.00329334616770204,0.00504614462772932,0.00481532415832781,0.000312978490466695,0.00264032886341604,0.00687963975142838,0.00666910305502676,0,0.00739439711527888,0.0048816264437677,0.00484391930186379
"Lac_3",0.0253873325250498,0.0120327106398673,0.0159278550056258,0.00901630276285379,0.00546486923011613,0.0244964608191925,0.0101583887396668,0.0145670663044123,0.0275561714498017,0.00411210619139129,0.0239168599654792,0.0216529111028149,0.0206484919965651,0.0205805639869006,0.0225875739272493,0.0221513112636322,0.0183459604933218,0.0198993320617712,0.00277981922276456,0.0214022933947697,0.0336759040441727,0.00804851139394291,0.02222618817541,0.0153888124618295
"Cit_0",0.147294600147281,0.26176452963233,0.225315877647558,0.582680828390773,0.711514614262618,0.161874198307681,0.708190544078965,0.261119156855588,0.107048970177149,0.762465443494493,0.22253437178553,0.165271565779351,0.147759629160606,0.192387111144574,0.269694951101334,0.298002260137649,0.217461517007654,0.194360482397562,0.810207046857742,0.109655923974626,0.243467610577602,0.709892913740387,0.322409645042568,0.300552856234647
"Cit_1",0.0976162612596516,0.145193338048814,0.135025280500311,0.0216942863505905,0.028594617316119,0.0838416563437625,0.0059357568877945,0.139218929844402,0.0955373004590101,0.050189085608956,0.0454994048230723,0.086281279322638,0.0890305325076388,0.133485785824184,0.0252522533710869,0.038523958595485,0.110118933697215,0.124859444522394,0,0.0992954230791338,0.0143757077405787,0,0.0178988028253147,0.012307999873298
