"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",0.25223678,0.62349937,-1.63861531,-9.0095401,-15.92152812,-5.65282346,-67.17978522,-23.68800381,0.64887637,-24.87152995,-10.27813211,-55.70322368,-37.34490115,0,0.42795351,-10.50821195,-71.45490853,1.17249592,-38.06270886,0.36953234,0.47651225,-9.44421347,-20.96897761,-14.59771073
"Pyr_1",-1.5716736,-3.88499044,14.99412721,75.07317783,-57.36285818,47.55231516,396.63605201,196.59892754,-4.04311318,88.8561898,-37.29893374,461.15422446,309.40985834,0,-2.6665549,-37.8722394,592.20803853,-7.30575795,137.36344319,-2.30253576,-2.96912175,-34.06150665,0.79020036,11.20698646
"Pyr_2",-4.76306163,-11.77372254,-13.83314944,-7.09330929,501.84219922,-8.65685098,412.53383114,-11.30753264,-12.25292404,307.54225182,324.30877069,-15.77544108,-12.8223414,0,-8.08117241,331.23233037,-26.31277953,-22.14058653,466.96903253,-6.97798813,-8.9981214,297.72455028,457.17769678,289.81651418
"Pyr_3",47.50852593,117.43543241,134.07017644,55.28829957,36.67932908,76.27772592,29.76071949,72.77065444,122.21516409,22.18649234,28.88149551,64.19727524,65.24671213,0,80.6045813,24.45537667,142.4287679,220.83834092,33.68774471,69.60101625,89.75056734,22.44414154,32.98138519,20.9077349
"Lac_0",0,-271.86236973,0,0,0,0,-85.62622723,-326.06827456,0,-0.33504873,0,0,0,0,0,0,0,0,-33.44624443,0,-7.27984757,0,0,0
"Lac_1",0,1433.65695482,0,0,0,0,451.54699531,1719.50994922,0,-1.10485628,0,0,0,0,0,0,0,0,176.37763179,0,33.3586887,0,0,0
"Lac_2",0,-28.93536854,0,0,0,0,-9.11353213,-34.70471365,0,6.20750056,0,0,0,0,0,0,0,0,-3.55981378,0,10.16336684,0,0,0
"Lac_3",0,0.4373419,0,0,0,0,0.13774594,0.52454232,0,-0.18716352,0,0,0,0,0,0,0,0,0.05380459,0,-0.31714892,0,0,0
"Cit_0",0,0.00125084,0,-0.51957724,0,0,0,0.03083279,0,-6.20715121,0,0,0,0,-0.06389506,-0.63873674,0,0,-2.60881972,0,0,-52.98777705,0,0
"Cit_1",0,-0.02462668,0,0.23963344,0,0,0,-0.60704059,0,-41.81973249,0,0,0,0,0.02946895,0.29459082,0,0,8.78445437,0,0,139.23419753,0,0
"Cit_2",0,0.01325752,0,6.38633777,0,0,0,0.32679401,0,97.72070887,0,0,0,0,0.78536053,7.8509763,0,0,-16.86980111,0,0,-23.99738621,0,0
"Cit_3",0,0.30034097,0,-10.87499704,0,0,0,7.40331859,0,21.74426253,0,0,0,0,-1.33735386,-13.36906174,0,0,53.02759127,0,0,58.04902924,0,0
