"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",2.192e-05,2.118e-05,-4.539e-05,-0.00066287,-0.00123423,-0.00035414,-0.00631664,-0.00155409,3.034e-05,-0.00313693,-0.00129689,-0.00532412,-0.00235856,0,3.075e-05,-0.001237,-0.00206349,1.844e-05,-0.00316168,2.783e-05,2.815e-05,-0.00124285,-0.00177909,-0.00195375
"Pyr_1",-0.00745566,-0.01063334,-Inf,-Inf,-3.73001475,Inf,Inf,-Inf,-0.05471701,-Inf,-0.21036772,-Inf,-Inf,0,-0.00587986,-2.09287143,-Inf,-0.01188502,-Inf,-0.01653157,-0.00910499,-1.09099157,-Inf,-Inf
"Pyr_2",-0.05609378,-0.04795228,-0.03619308,-0.03555381,Inf,-0.0236849,-Inf,-0.0324709,-0.01778691,Inf,Inf,-0.03907131,-0.05296153,0,-0.02851305,Inf,-0.04998407,-0.09751999,Inf,-0.02220256,-0.02589773,Inf,Inf,Inf
"Pyr_3",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Lac_0",0,-0.00056538,0,0,0,0,-0.00075997,-0.00073013,0,-4.14e-06,0,0,0,0,0,0,0,0,-0.00037778,0,-5.421e-05,0,0,0
"Lac_1",0,Inf,0,0,0,0,Inf,Inf,0,-0.00108378,0,0,0,0,0,0,0,0,Inf,0,-Inf,0,0,0
"Lac_2",0,-0.02314967,0,0,0,0,-0.01265803,-0.02126855,0,Inf,0,0,0,0,0,0,0,0,-0.0058162,0,Inf,0,0,0
"Lac_3",0,7.5e-05,0,0,0,0,0.00011919,7.972e-05,0,-0.0005566,0,0,0,0,0,0,0,0,0.00021802,0,-6.824e-05,0,0,0
"Cit_0",0,1.8e-07,0,-3.18e-05,0,0,0,3.51e-06,0,-0.00034775,0,0,0,0,-8.66e-06,-0.00013341,0,0,-0.00014895,0,0,-0.00602038,0,0
"Cit_1",0,-6.39e-06,0,0.00039573,0,0,0,-0.00013009,0,-0.03575582,0,0,0,0,4.285e-05,0.00047816,0,0,Inf,0,0,Inf,0,0
