"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",11141.38848424,28509.65974059,34954.85674175,13170.49873389,12489.2977467,15461.9675846,10344.640276,14785.54497753,20706.74529709,7693.62582322,7674.62103455,10176.44378266,15373.60544276,33899.93459528,13479.33731914,8224.52730375,33610.23374839,61581.88805137,11682.26899142,12856.48937587,16393.62997833,7357.10289792,11418.41710106,7239.93711461
"Pyr_1",567.37430534,1283.78379544,1119.32127843,342.88447669,432.99773539,451.35018714,0,257.91468326,757.05680949,116.08973605,429.41290682,0,145.53428981,1270.23710453,882.29090436,292.89443024,414.92092686,2597.9617997,173.49225561,558.2810851,854.68171959,276.63239222,321.70678595,191.77783328
"Pyr_2",91.34174522,257.45450875,387.31883046,208.40980486,0,367.31206251,0,368.55021403,679.0266403,0,0,435.97876081,279.45672109,756.2907252,290.35432351,0,597.8217677,257.6115794,0,313.37578641,350.97209672,0,0,0
"Pyr_3",0,0,0,0,0,0,0,0,0,0,0,0,0,1100.45129946,0,0,0,0,0,0,0,0,0,0
"Lac_0",93732.44160274,465915.50551841,782594.76886983,133139.85501065,105899.99442287,179720.3444805,109199.0340076,432814.84329094,239210.21204224,78422.3065987,71285.26910292,179668.49625092,179568.63114399,334663.00609638,107093.66561191,84889.91867188,542475.937227,764898.66585745,85764.60251421,200370.15440667,130042.20808435,95502.13422157,95263.95687053,72667.98858309
"Lac_1",3780.89821637,13283.20124905,29519.71912207,4789.13004681,4082.87696306,6044.166191,2971.61003139,11845.88699696,10355.36383998,3533.64669476,3066.41625208,5965.88005316,6869.27934221,11420.60259177,4671.28088829,3466.11121856,20346.58649194,25379.25154733,2565.97081386,7242.06600407,4177.36083077,3674.23667313,4298.12088572,3529.15666355
"Lac_2",862.13118229,1849.08436967,1663.11017272,231.88561394,875.99671218,908.16215391,865.64980208,2289.98223918,1481.99908637,50.75473552,626.39944071,567.59058647,1261.5992934,1469.46942587,699.10783554,525.93651478,730.2938912,2810.36635187,668.0807812,1594.53471125,175.68025207,788.44336479,608.16997267,449.44009448
"Lac_3",2475.85167408,5773.29186287,12697.49610175,1212.67435758,595.89122812,4521.71705905,1161.08702831,6524.34026131,6862.66686446,327.88656659,1775.15951725,3972.86141785,3823.13415809,7045.84948247,2509.22644845,1943.76453707,10146.00570646,15530.55565234,258.51212361,4421.64538428,4514.86659341,789.43023698,2198.32279258,1158.06737832
"Cit_0",3448.65541237,6583.49145942,13361.63196268,15323.96537535,15537.52500969,4260.09944283,17129.58555227,8287.18857141,4480.87203952,16748.01552146,4020.87690917,3767.62201665,2880.60537303,10342.8374597,6924.66157864,4495.05821697,9783.28036719,13042.72591918,16423.74208719,2997.82791665,10720.67036846,8335.507368,7493.99325389,6954.05449015
"Cit_1",2572.27731211,4133.90189916,9015.01257964,1587.0428316,1636.77474123,2550.73039666,1272.16910339,5027.5587492,4408.47750538,2223.4935818,1114.56378057,2266.69430717,1979.53406135,7973.92788665,1155.92416458,898.78391622,5714.24096844,9388.12100178,1058.211315,2961.0876141,1422.56393654,295.60748231,959.46979801,779.81564872
"Cit_2",4475.12829945,4676.23871782,11451.86237238,1305.19020857,399.80064232,4521.70456984,913.30038983,5850.59175077,8715.66871365,0,1880.12233024,3779.96763675,3806.50416694,10616.45376512,3114.95551359,1510.09408194,8762.43340189,12952.21286088,501.64413491,4515.21574949,4885.65175574,570.22191776,2971.11678657,2279.61987842
"Cit_3",1452.43734957,1346.15693091,4445.31343946,954.69026091,288.13805372,2230.08386702,457.63940189,1658.81021751,2934.69128823,147.16934808,1547.31244498,2009.7450407,1572.62163147,3920.96479129,1818.26305582,719.96473297,3197.38281647,5350.00843901,71.90166969,2256.65288246,3074.29066342,45.69826454,1025.77069644,1687.76157263
"Cit_4",10672.25354489,9041.1534531,22394.01306129,8336.52098739,4823.27023264,13103.81132236,5540.10520966,12144.34848706,21332.68703802,3874.06714353,9119.85298622,10641.75197238,8800.10459881,21124.94405658,12965.42365043,7331.20708018,17922.85465391,26547.16469226,3340.22254594,14450.66759623,23365.61911012,2679.31629271,10384.82281369,11902.83798606
"Cit_5",1060.63214341,646.65185481,930.6400514,0,324.56212585,527.12966459,246.46339302,390.6617633,728.66088857,296.49015872,484.46284262,481.96269856,686.12049303,1649.13028517,296.67680643,0,627.27175434,2131.31832652,124.77643319,678.37507955,1458.21568496,182.27106805,1080.87884858,439.9689443
"Cit_6",828.31128205,0,655.04678239,289.49707733,169.60964797,403.50436114,120.65592696,0,1097.58682456,0,836.6395912,953.15217457,695.72881569,718.78838514,770.61798143,868.62912592,1238.18214792,952.81597193,0,671.82036106,1455.40028997,113.34318759,603.84895058,357.97144297
"Mal_0",3526.56170904,5171.47352899,10505.25661463,17515.27351431,16312.34184527,4226.71459005,12644.41605243,5776.02426156,6132.78263997,12855.97319528,4709.78310243,3757.49629721,4005.99321611,7396.85283332,6088.52008533,5111.23556131,9242.38847849,15959.53356564,13054.11814302,4711.74414008,7859.77536022,15038.02565883,6051.26008587,5907.03416195
"Mal_1",1712.1523062,2925.43534976,7795.99534651,1690.00031665,807.53432037,2697.0547781,1066.5082012,3007.25244581,4851.41889588,776.89689686,757.84530485,2285.24124493,2547.74336031,5333.6128503,1053.24415736,449.05591228,6230.3534326,11786.32752254,716.31267294,3064.30921966,898.76941327,613.21690947,813.67770321,832.18982673
"Mal_2",4482.48531585,4296.72279306,12835.97037295,254.13732144,739.55232883,5071.17543958,772.02329375,5009.29862165,10717.70115334,0,1955.80946591,3896.54102011,5616.61989801,8200.03102541,2159.31765857,2555.27243081,10465.02778558,20503.45486393,158.82107685,7312.26713187,3298.93437166,389.86871125,2145.29001737,2418.94744953
"Mal_3",1841.24618412,1229.06013156,4157.52371617,812.03373624,511.90933021,2878.85639065,319.64392562,1677.85236418,4222.8673851,355.06809342,925.1422806,2100.1664891,3039.07200029,3635.07467079,1158.66127549,1019.72065127,4014.09766418,9031.45196131,54.32047528,3254.19531416,1991.27072348,382.20896513,1430.60423878,1486.22215253
"Mal_4",15610.39606867,10351.8774526,32025.11083824,11496.69379693,5110.97234853,21444.26839327,7295.9775665,13075.93073571,35723.91321906,3552.71269459,10603.13593386,17533.31010957,22093.76066181,25974.56051249,14099.77271886,10405.20110762,29480.93299277,58069.74687982,3538.35650402,27078.40598426,20101.64083518,7343.90794777,12340.89657673,15053.45074732
