"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",0.94417710041319,0.948712404471462,0.95867859964549,0.959823451575922,0.966492196685169,0.949715566413299,1,0.959352160920068,0.935144535226,0.985135215851465,0.94701244961131,0.958918073698614,0.973099445121814,0.915548480425376,0.919966787831774,0.965612313281241,0.970749404048819,0.955684576708826,0.985366417896324,0.93650585768808,0.931494154513424,0.963761856849122,0.972597666852055,0.974194673150852
"Pyr_1",0.0480821422951586,0.0427203138331169,0.030698719885669,0.0249883143044193,0.0335078033148309,0.0277231404273121,0,0.0167346559828889,0.0341897062089085,0.0148647841485345,0.0529875503886904,0,0.00921184930806209,0.0343057786015403,0.0602164861669213,0.0343876867187593,0.011983976234501,0.0403175690355723,0.0146335821036765,0.0406668952267716,0.0485634375559249,0.0362381431508777,0.0274023331479454,0.025805326849148
"Pyr_2",0.00774075729165124,0.00856728169542079,0.010622680468841,0.0151882341196587,0,0.0225612931593884,0,0.0239131830970426,0.030665758565092,0,0,0.0410819263013858,0.0176887055701242,0.0204254324523999,0.019816726001305,0,0.0172666197166804,0.00399785425560209,0,0.0228272470851487,0.0199424079306506,0,0,0
"Pyr_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297203085206841,0,0,0,0,0,0,0,0,0,0
"Lac_0",0.929412119902015,0.95705695950397,0.946906657319794,0.955273506051426,0.950161258819813,0.939987541418481,0.956230634855828,0.954440251188215,0.927494039562357,0.952483059932617,0.928759034761522,0.944754349716345,0.937584337037509,0.943778957158055,0.931465683865538,0.934646138172215,0.945576171990213,0.945932284259547,0.960870775243328,0.937937811320125,0.936160821494576,0.947872069299433,0.930597705772614,0.933979987612404
"Lac_1",0.0374898228011962,0.0272855915918703,0.0357176148765542,0.0343618298997431,0.0366325941372261,0.0316126754276238,0.0260217003994948,0.0261224667688341,0.0401510376880776,0.0429181283046012,0.0399516174140697,0.0313705031639904,0.0358666693450872,0.0322070985075451,0.0406292736575744,0.0381622166163721,0.0354656235379998,0.0313859266077444,0.0287480649695415,0.0339002959667689,0.0300724019118185,0.0364673140222765,0.0419867236967745,0.0453591981995727
"Lac_2",0.00854853619584317,0.00379828325896477,0.00201229315227736,0.0016637706523988,0.00785966178093788,0.00474994143112049,0.00758029470982472,0.00504985274294372,0.00574618160115303,0.000616444834268132,0.00816121124673072,0.00298457262466701,0.0065872069613369,0.00414403234615012,0.00608061134527645,0.00579061141951256,0.0012729569270826,0.00347551431515504,0.00748489795717822,0.00746405771644206,0.00126470452571482,0.00782541091673437,0.00594098334646833,0.00577651951099455
"Lac_3",0.0245495211009459,0.0118591656451945,0.0153634346513746,0.00870089339643222,0.00534648526202292,0.0236498417227749,0.0101673700348527,0.0143874293000072,0.0266087411484121,0.00398236692851393,0.0231281365776777,0.0208905744949976,0.0199617866560667,0.0198699119882497,0.0218244311316116,0.0214010337919004,0.0176852475447049,0.0192062748175532,0.00289626182995233,0.0206978349966639,0.0325020720678903,0.00783520576155636,0.0214745871841426,0.0148842946770283
"Cit_0",0.140705764147139,0.249114292466208,0.214632552652203,0.551283116429092,0.670307989832429,0.15436785234851,0.667042040420713,0.248423182294488,0.10254029870973,0.719131177109507,0.211582440061795,0.157635179902999,0.141059422223352,0.183555981694657,0.256027794863369,0.284070581631022,0.207072633621707,0.185359812587602,0.763167373975357,0.105070271466778,0.23113654401066,0.68201037818217,0.305629015742366,0.284978524353218
"Cit_1",0.104949379256786,0.156423692972282,0.144811290085239,0.0570942244178045,0.0706124808113351,0.0924276014061536,0.0495394516052958,0.150709994455485,0.100883621819564,0.0954730161747472,0.0586494263874839,0.0948372111949676,0.096935155915426,0.141514566665045,0.0427383651209167,0.0567997248350047,0.12094746159501,0.133421522481021,0.0491722499106617,0.103782567946085,0.0306703312969492,0.0241865746022483,0.0391302473948861,0.031956999065013
"Cit_2",0.182586043468423,0.176945304292298,0.183955257895955,0.0469545126270407,0.0172478927448291,0.163847307502512,0.035564769135264,0.175381869075156,0.199449407497131,0,0.0989338592632924,0.158151713683956,0.186399457387163,0.188411893792737,0.115170276869844,0.0954322020913489,0.185465415828141,0.184073464654879,0.0233100614389218,0.15825289433562,0.105334146396628,0.0466555002125289,0.121171646193257,0.0934192721610931
"Cit_3",0.059259706381232,0.0509375509118789,0.0714066196042025,0.0343451978236375,0.0124306309700437,0.0808087373848367,0.0178209052100018,0.0497257796785397,0.0671574904754886,0.00631920040816771,0.0814210805359943,0.0840865988280836,0.0770091942436967,0.0695859858824753,0.0672272392486443,0.0454990326213112,0.0676757136311533,0.0760329219322683,0.00334107830909985,0.07909297583409,0.0662813886450283,0.00373902742871335,0.0418342101078865,0.0691648020747375
"Cit_4",0.43542987357319,0.342110346680064,0.359722839313065,0.299908225941154,0.208081825904911,0.474826289517094,0.215736864848274,0.364048394947454,0.4881773194742,0.166345825364098,0.479895503249212,0.445244899630559,0.430929443454966,0.37490774264403,0.479374881933352,0.463304402034643,0.379354631157341,0.377281367605316,0.155211209196141,0.506478560286662,0.503760330666556,0.219221390778908,0.423526292015198,0.487780647920929
"Cit_5",0.043273983153615,0.0244688126772699,0.0149491956065145,0,0.0140020103599881,0.0191009330472092,0.00959751443299143,0.0117107795488778,0.016674679507266,0.0127307809434793,0.0254929043281686,0.0201650474379575,0.0335984099830412,0.029267377507985,0.0109691293465778,0,0.0132768160875063,0.0302897391248031,0.00579802716981878,0.0237762325745054,0.031438979304445,0.0149134005363222,0.0440816968252233,0.0180300140997533
"Cit_6",0.0337952500196148,0,0.0105222448428207,0.0104147227612716,0.0073171693764646,0.014621278793685,0.00469845434745999,0,0.0251171825166208,0,0.0440247861740536,0.0398793493214779,0.0340689167923545,0.0127564518130711,0.0284923126172952,0.0548940567866703,0.026207328079142,0.0135411716141102,0,0.0235464975562586,0.0313782796797343,0.00927372825910848,0.0246268917211832,0.0146697403252563
"Mal_0",0.129782588182904,0.215706629544647,0.156049895234174,0.551347174843011,0.69466512131673,0.116380486010792,0.572182571180459,0.202338391985942,0.0994795397460101,0.732924523902847,0.248514861696306,0.127059392226514,0.107390100118465,0.146356025526033,0.24790879882198,0.261571572446241,0.155509893922188,0.138356847338277,0.745016044654678,0.103735106078676,0.230151843016634,0.632721053421242,0.265619004873801,0.229864967825388
"Mal_1",0.0630096893221398,0.122022436295973,0.115805286981259,0.0531979645825976,0.0343890492210295,0.0742620631664875,0.0482614145419857,0.105346272215388,0.0786946068709195,0.0442912239784204,0.0399882153861441,0.0772752228358457,0.0682982720588644,0.105532230538392,0.04288537941207,0.0229807958726238,0.104830218255407,0.102178369499836,0.0408809257341621,0.0674647078680077,0.0263179833304141,0.0258009434042796,0.0357162407081643,0.0323836433820046
"Mal_2",0.164961964026213,0.179220020480245,0.190671385327064,0.00799975484731299,0.0314940192585364,0.139632295895648,0.0349354427596669,0.175479427056338,0.173851258141893,0,0.103199597169172,0.131761176762429,0.150566748527937,0.162247915040714,0.0879218331398778,0.130768112668279,0.176081687608761,0.177749140527733,0.00906413203758626,0.160988963757117,0.0966001941316576,0.0164036255339967,0.0941671307287056,0.0941303643102623
