"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",11135.66675009,28496.71849521,34943.58998399,13167.05651827,12484.92403153,15457.44596851,10344.640276,14782.97738179,20699.16753949,7692.45319918,7670.28353005,10175.79631672,15372.16391232,33887.1799479,13470.45491443,8221.5687737,33606.10362347,61555.67229631,11680.51654372,12850.88214657,16385.0326391,7354.30863093,11415.16753694,7237.99996438
"Pyr_1",571.24143293,1291.49767352,1122.72389735,342.09512998,437.37145908,448.41388177,0,252.99921788,750.84757785,117.26236471,433.75041723,0,141.30171772,1267.97509971,885.27794162,295.85296592,406.91285034,2618.94700018,175.24471031,557.52551776,856.15290517,279.42666431,324.95635756,193.71498821
"Pyr_2",93.19636456,262.68190656,395.18300112,212.64137962,0,374.7700028,0,376.03329074,692.81366254,0,0,439.93212706,285.13083486,737.62244325,296.24971471,0,609.95999499,262.84218863,0,319.73860199,358.09827555,0,0,0
"Pyr_3",0,0,0,0,0,0,0,0,0,0,0,0,0,1134.13633927,0,0,0,0,0,0,0,0,0,0
"Lac_0",93694.33612355,465781.51448105,782296.74649003,133091.50236923,105858.84200558,179659.38029663,109169.10487059,432695.41479029,239105.75654351,78386.61803834,71254.35728362,179608.28865314,179499.36926517,334547.78914305,107046.54970061,84854.95910565,542270.48020661,764642.58051759,85738.75151522,200297.16035871,130000.02579191,95465.1003514,95220.60129419,72632.38519899
"Lac_1",3802.26188702,13381.42745351,29787.88642925,4833.14816279,4106.42672509,6088.08439572,2984.32076564,11920.83009165,10431.84352143,3568.40576814,3085.15665007,6015.78752144,6914.10376382,11508.15457933,4704.97530996,3490.99112442,20540.3421341,25583.06088976,2578.33672818,7284.04709158,4217.36738327,3695.50521584,4329.80557281,3555.99145755
"Lac_2",803.08688081,1708.12807558,1304.29336119,199.10004171,875.35910019,786.79782033,847.32721348,2134.75683317,1299.90783882,41.64758702,584.2330228,456.2809375,1169.01016801,1281.46008639,635.72160768,476.51731237,431.4247821,2387.25014961,673.65280569,1490.20059175,39.6553434,780.0441657,552.54994274,422.76011506
"Lac_3",2551.63794325,5950.01340415,13086.16875483,1249.7945565,614.13161191,4660.12761175,1196.62813652,6724.05151606,7072.73431383,337.92325529,1829.4974753,4094.47140097,3940.16099443,7261.52418872,2586.03432657,2003.26352154,10456.5767334,16005.94871234,266.42526125,4556.99275759,4653.06741523,813.59487474,2265.61385467,1193.51604596
"Cit_0",3423.1281371,6542.21079315,13271.73555188,15308.00902094,15521.03252661,4234.79381479,17116.82818727,8237.00062173,4437.22864606,16725.6087856,4009.80911369,3745.10993615,2860.99702068,10263.37233245,6913.30179295,4485.9564283,9726.45187352,12949.21297121,16415.7753633,2968.37660473,10706.79683801,8335.22225398,7484.60394248,6946.40866305
"Cit_1",2507.34476898,4080.61338255,8873.66691266,1576.75681108,1645.21847453,2484.86005463,1266.50085264,4959.41687259,4275.97351153,2243.57951917,1087.89652979,2213.03298232,1922.30314772,7838.95682798,1104.54433959,877.40173284,5594.06763714,9220.19032194,1053.1461968,2899.49731957,1338.0895705,281.48426904,908.80652793,741.64675747
"Cit_2",4527.73980613,4735.20497699,11560.91830493,1308.10619502,402.01882335,4552.74261887,921.15257173,5925.6764651,8815.2139147,0,1876.14771642,3801.2206209,3840.65853144,10723.95924927,3130.07968154,1525.29799184,8852.67737879,13066.34197652,492.89019915,4546.14031119,4904.37813744,563.46731161,3006.20277699,2281.15294462
"Cit_3",1053.59335365,1011.56227138,3649.84574747,635.25013193,96.45087827,1753.23973936,241.21002348,1204.29725072,2136.95564775,0,1215.40961551,1628.61924531,1255.023251,3163.04586854,1334.3253748,432.20607525,2549.56683154,4410.54930582,0,1724.69120355,2196.93454702,0,625.86116355,1244.23554722
