"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",0.944243601168151,0.948803377792222,0.958826785737122,0.960060191991496,0.966451584177461,0.950072499574987,1,0.95975344737359,0.93562178774245,0.985119751244232,0.94693871766861,0.959278996720257,0.973405889961318,0.916580433263423,0.920204048516524,0.965570355625571,0.971044094705998,0.955702079164433,0.985351224966494,0.936839325790666,0.931762008064023,0.963717023696208,0.972565995299988,0.974165226951378
"Pyr_1",0.0479970896554267,0.042609101638189,0.0305262167449518,0.024716332786488,0.0335484158225394,0.0273102350950968,0,0.0162758742801032,0.0336299801248374,0.0148802487557675,0.0530612823313896,0,0.00886612365536758,0.0339839031750383,0.0599251182535824,0.0344296443744288,0.0116506343964035,0.0402910458987323,0.0146487750335058,0.0402739569442777,0.0482432327511395,0.0362829763037917,0.027434004700012,0.0258347730486218
"Pyr_2",0.00775930917642233,0.00858752056958876,0.0106469975179258,0.0152234752220165,0,0.0226172653299159,0,0.0239706783463067,0.0307482321327128,0,0,0.040721003279743,0.0177279863833146,0.0195895985464405,0.0198708332298939,0,0.0173052708975985,0.00400687493683436,0,0.0228867172650565,0.019994759184837,0,0,0
"Pyr_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.029846065015098,0,0,0,0,0,0,0,0,0,0
"Lac_0",0.930041522406275,0.957351839118892,0.94723321701416,0.955442300568101,0.950342415885031,0.940558557821142,0.956548237857073,0.954817232066764,0.928119448844521,0.952502607107379,0.929342766508619,0.945236031031739,0.938085919426708,0.944252366319973,0.931987053919786,0.935161385565822,0.945945874708901,0.946382559295201,0.961007792196122,0.93847538696013,0.936885506326382,0.94811130290609,0.931104781701512,0.934324883894881
"Lac_1",0.0374251024113423,0.0272724241316061,0.0357649033375097,0.0344045765906507,0.0365551881087345,0.0316044747669844,0.0259289301984223,0.0260841341034928,0.0401519716925911,0.0429962371354653,0.0399000727344394,0.0313933999309774,0.035830061569837,0.0322082831471189,0.04061874732591,0.0381496056448023,0.035529571409438,0.0313973305237172,0.0286563821466427,0.0338417498290505,0.030138142914177,0.0363932198723913,0.0419824716625032,0.0453586676564678
"Lac_2",0.00783823002951027,0.00345204327560859,0.00155284158217922,0.00140537415234149,0.00772690723766897,0.00405009829228916,0.00730003184531072,0.00463183244824368,0.00496127016769553,0.000497600219426823,0.00749233297706357,0.00236109081390586,0.00600709433725812,0.00355632526113635,0.00544215180718902,0.00516362261376113,0.000739983244362676,0.00290517736478047,0.00742424593712605,0.00686529651719829,0.000281003203012213,0.00761728766204446,0.0053125820288076,0.00534722045911023
"Lac_3",0.0246951451528723,0.0119236934738935,0.0154490380661512,0.00874774868890629,0.00537548876856556,0.0237868691195846,0.0102228000991938,0.0144668013814995,0.0267673092951925,0.004003555537729,0.0232648277798784,0.0210094782233772,0.0200769246661965,0.0199830252717718,0.0219520469471146,0.0215253861756144,0.0177845706372982,0.0193149328163015,0.00291157972010974,0.0208175666936209,0.032695347556429,0.00787818955947452,0.0216001646071772,0.0149692279895411
"Cit_0",0.142343657126283,0.251183145003862,0.216535611321618,0.556282495721504,0.674516255121833,0.156328147851439,0.671555563402222,0.250560100743772,0.10354652201928,0.722104881190697,0.215050101119654,0.15967288612579,0.142775761899717,0.185188678801219,0.26017143339484,0.288194378664319,0.209288751383307,0.187132992964891,0.766007007273691,0.106132181389901,0.235250249376049,0.686059299058916,0.310379648842261,0.28962443358857
"Cit_1",0.103563114973558,0.155620747254287,0.143807262717023,0.0569137873439569,0.071018496691043,0.0911135426790233,0.049356031486561,0.149847505492192,0.09911395365505,0.0962134747267385,0.0579534947414123,0.0937196325860451,0.095287305023034,0.140494300930199,0.0412889020479868,0.0559892987963631,0.119562570654926,0.132349700250843,0.04881306655261,0.102973835266858,0.0292032914237924,0.0230130767533065,0.0374344914436582,0.0307148257841869
"Cit_2",0.185760121025754,0.179374541760395,0.186101555735819,0.0469003137349532,0.0172374992298211,0.165818916049084,0.0356571221975942,0.177843015072082,0.202961014103866,0,0.0992748048736879,0.159898997782224,0.189103182405555,0.190913027350022,0.116221251476512,0.096681017743447,0.187941263681374,0.186301808627175,0.0226922513333612,0.160371424436218,0.106318915702462,0.0457582342950339,0.122998197088825,0.0938394238761456
"Cit_3",0.0429366216552735,0.0380626015038366,0.0583600971012809,0.0226235801966078,0.0041078812663919,0.0634287427105636,0.00927457239194779,0.0359018142568181,0.0488718862354739,0,0.0638820000727383,0.0680496744174339,0.0613802619023677,0.0559332073091477,0.0492125334886222,0.0272120466149185,0.0537647622759603,0.062465404416898,0,0.0604337193573462,0.0473072315152283,0,0.0254356184201875,0.0508413831558486
"Cit_4",0.447532297448573,0.350513675676065,0.36951096492259,0.306842575160483,0.211711845076632,0.489245218801285,0.219786530874343,0.373764182463864,0.503663478212755,0.168686217618172,0.494407395750084,0.458808714653037,0.443354313273739,0.384781102119328,0.493952219900986,0.476396543022491,0.390178268731106,0.387232088995648,0.156768996269417,0.522399624615421,0.51868667438754,0.221167606760725,0.434170345738211,0.502019602083968
"Cit_5",0.0427233340326096,0.0252452888015547,0.0147806691787402,0,0.0138878719823235,0.0188684299363293,0.00954056738985641,0.0120833819712717,0.0157115034340993,0.0129954264643925,0.0236540945703277,0.0183897904139735,0.0326765417599184,0.0294575309205198,0.00956556760315636,0,0.0120824736074453,0.0304697950798799,0.00571867857092091,0.0231824837729981,0.0306081780973365,0.0142507444139405,0.0440337224063837,0.0177328677250578
"Cit_6",0.0351408537379484,0,0.0109038390229293,0.0104372478424952,0.00752015063195495,0.0151970019722767,0.00482961225747503,0,0.026131642339476,0,0.0457781088720958,0.0414603040214961,0.0354226337356691,0.0132321525695654,0.0295880920878964,0.0555267151584617,0.0271819096658811,0.0140482096646648,0,0.024506731161257,0.0326254594975915,0.00975103871807815,0.025547976060473,0.0152274637862223
"Mal_0",0.132048669314259,0.21838912325626,0.157985505030533,0.557513073220624,0.699779553291466,0.118281943030956,0.578165335038188,0.205111747458399,0.100951120794096,0.737456057401183,0.253147900137003,0.129144600761069,0.109174465039344,0.148333434572029,0.252547994713361,0.266525456534618,0.157616778396255,0.140209202491395,0.747898896940711,0.10544996042464,0.234766145925812,0.638934497205178,0.270534345626605,0.234389427116396
"Mal_1",0.0611795536499396,0.120864061428106,0.114482304343552,0.0538203781608843,0.0341077963939533,0.0732728822261344,0.0482151460428911,0.104004931892628,0.077103854950352,0.0446174399617212,0.0387794082292406,0.0765062931987895,0.0669476927221403,0.104662066049099,0.0420659483121709,0.0208067457013554,0.103610427077949,0.100915357275222,0.040596909334279,0.0658769096085442,0.0249597473499534,0.0257972801051273,0.0345875222989173,0.0312173185823591
"Mal_2",0.167732506534413,0.18205848341937,0.193811130886861,0.00757457654501563,0.0313643147593839,0.14142492937213,0.0352651158135523,0.17815592895069,0.176921832245111,0,0.104644907144236,0.133564246271745,0.152631795918844,0.164532863472034,0.0890582989734995,0.132728594920471,0.178770360570426,0.180237433311662,0.00797083736691746,0.163663109305568,0.0976905573670984,0.0163506801387695,0.0949007781973086,0.0951604120961768
"Mal_3",0.0458828083232411,0.0346895979941424,0.043706793991923,0.0111546945259933,0.0132054316661336,0.0570959300961931,0.00114600569307072,0.0413380299640228,0.0464556738781846,0.0119688289180117,0.0269401540707863,0.0484824761137983,0.0593024812782105,0.0526131323332443,0.0246540099997824,0.0315095683238869,0.0488263095387671,0.0596047852977958,0,0.0490175292268027,0.0355196691617946,0.00366059348601349,0.0420314632708827,0.0351463398562937
"Mal_4",0.593156462178147,0.443998733902122,0.490014265747131,0.369937277547483,0.221542903889064,0.609924315274586,0.337208397412298,0.471389361734261,0.598567518132256,0.205957673719084,0.576487630418734,0.612302383654598,0.611943565041461,0.529858503573593,0.591673748001186,0.54842963451967,0.511176124416604,0.519033221623925,0.203533356358092,0.615992491434445,0.607063880195341,0.315256949064912,0.557945890606286,0.604086502348775
"Succ_0",0.276787400371124,0.308502312462532,0.215496696925237,0.640375950474789,0.752714204961661,0.26166079688818,0.62925357907119,0.261440873509272,0.267472344004334,0.728228063397368,0.565765634056648,0.27572979053385,0.214371235615606,0.251066143679497,0.417959638849163,0.487579666584635,0.219004877861784,0.165827125613753,0.762331634982713,0.260540315364485,0.378046387374719,0.678673134749001,0.522432586066314,0.420986538573748
"Succ_1",0,0.161409022029666,0.130476817139591,0,0,0,0,0.156736431724502,0.070936757197167,0,0,0,0.0911706097635507,0,0,0,0.0991013663975119,0.0893980142547098,0,0.114433738809904,0.0934917010445653,0,0,0.0550068093597955
"Succ_2",0.172543856202101,0.142176600527977,0.180044803764964,0,0,0.149014701819032,0.0729197048372214,0.141822435131053,0.15268361101415,0.0187035161380827,0,0.143194487893624,0.149204348733263,0.174479050788659,0.129458332282895,0,0.183946125299468,0.179547823087396,0,0.13378078634731,0.13128327652598,0,0.114001385034501,0.143288617114513
"Succ_3",0,0,0.00870375992916314,0,0,0.0322177077114753,0,0.0138911799690185,0.0170370311822216,0,0,0,0,0,0,0,0,0.0288325209786876,0,0,0,0,0,0.00870094815580743
"Succ_4",0.550668743426775,0.387912064979825,0.465277922241045,0.359624049525211,0.247285795038339,0.557106793581313,0.297826716091588,0.426109079666154,0.491870256602127,0.253068420464549,0.434234365943352,0.581075721572525,0.545253805887581,0.574454805531844,0.452582028867942,0.512420333415365,0.497947630441236,0.536394516065453,0.237668365017287,0.491245159478302,0.397178635054736,0.321326865250999,0.363566028899186,0.372017086796136
"Fum_0",0.168121232808616,0.246874390651405,0.178709823520707,0.611487347832629,0.73042574412853,0.172360119643786,0.630848384806242,0.268028422436169,0.123578422375042,0.731882390903333,0.313931569092839,0.154703166620123,0.141476201405571,0.172812947965095,0.296134152305455,0.321745683758613,0.17968741643892,0.149040668893057,0.763480150983832,0.134322378886507,0.257305348690815,0.668751761548919,0.352085838987877,0.316700732660841
"Fum_1",0.0873788113906151,0.103076294224319,0.122919144487534,0.023931340681904,0.0295844452178058,0.0604112995858295,0.0281558208860679,0.091651472017635,0.0756320611657204,0.0296533939229304,0.0314368427253185,0.0621194597812074,0.067606170270045,0.100245917009801,0.0389544060593259,0.0334351572339409,0.102887845755001,0.102445841390721,0.0404289226332607,0.0651807591465803,0.0251450091006502,0.0224976025206396,0.0359412220841366,0.0395828433289799
"Fum_2",0.153689203201329,0.186897576461667,0.181223194663723,0.0225534746513755,0,0.134722567476441,0.0318639737311125,0.159515683193142,0.174461103844269,0.0264286442442015,0.0881890329584995,0.140251848229044,0.145527173399641,0.167790282333202,0.0896938936314327,0.0882852801126661,0.186839996278494,0.182613599323735,0.00329252638201904,0.159472757174455,0.0925406375581846,0.00749386679049478,0.0904105907505186,0.0814673441048264
"Fum_3",0.0438765882743992,0.0373525930414517,0.0347649161326854,0.0117013554694873,0.00740542673181888,0.0518145587888946,0.0118443782838896,0.0370727148709874,0.0382351433868519,0,0.0205969397179395,0.0344624813099227,0.050912099663804,0.046896338288013,0.0476647049462451,0.0239536630854044,0.0425635022789178,0.0443253612337097,0.00365280024993743,0.0384753827931276,0.0191173918066356,0,0.0142681545438416,0.0204400853291089
"Fum_4",0.546934164325041,0.425799145621157,0.48238292119535,0.330326481364605,0.232584383921845,0.580691454505049,0.297287442292688,0.443731707482066,0.588093269228117,0.212035570929535,0.545845615505404,0.608463044059703,0.594478355260939,0.512254514403889,0.527552843057541,0.532580215809375,0.488021239248667,0.521574529158777,0.189145599750951,0.60254872199933,0.605891612843714,0.301256769139947,0.507294193633626,0.541808994576244
