"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Pyr_0",2.078e-05,2.002e-05,1.842e-05,1.917e-05,-0.00135905,2.285e-05,-0.00248466,2.115e-05,2.774e-05,-0.00130738,-0.00141524,-0.00151859,1.704e-05,0,2.868e-05,-0.00136154,1.742e-05,1.76e-05,-0.00130675,2.572e-05,2.617e-05,-0.00136679,-0.00134191,-0.00133746
"Pyr_1",-0.0027956,-0.00304827,-0.00395664,-0.00509199,-0.105519,-0.00543607,-Inf,-0.00852536,-0.00527768,-0.23136686,-0.06862993,Inf,-0.01278971,0,-0.00301115,-0.1029515,-0.00992475,-0.00285484,-0.23494055,-0.00409098,-0.00345586,-0.0979587,-0.12787632,-0.13546985
"Pyr_2",-0.04485761,-0.03923351,-0.02942671,-0.02144506,Inf,-0.01702705,Inf,-0.01501571,-0.01497335,Inf,Inf,-0.0185309,-0.01659221,0,-0.02355559,Inf,-0.01733245,-0.07446537,Inf,-0.01867399,-0.02162946,Inf,Inf,Inf
"Pyr_3",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,0,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Lac_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lac_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lac_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lac_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_0",0,7e-08,0,-8.67e-06,0,0,0,2.93e-06,0,-0.00025694,0,0,0,0,0,-6.646e-05,0,0,0.00010154,0,0,0.00019524,0,0
"Cit_1",0,-2.79e-06,0,6.17e-05,0,0,0,-0.0001208,0,-0.0078847,0,0,0,0,0,0.00024905,0,0,-0.00348144,0,0,-0.01099829,0,0
"Cit_2",0,1.62e-06,0,0.00121402,0,0,0,6.816e-05,0,Inf,0,0,0,0,0,0.00233866,0,0,-0.02215405,0,0,-0.01980408,0,0
"Cit_3",0,0.00013552,0,-0.00481153,0,0,0,0.0059874,0,Inf,0,0,0,0,0,-0.01588511,0,0,Inf,0,0,Inf,0,0
"Cit_4",0,-2.715e-05,0,-0.00125004,0,0,0,-0.00106116,0,-0.00081717,0,0,0,0,0,-0.00319727,0,0,-0.00388581,0,0,-0.00050614,0,0
"Cit_5",0,-0.00139447,0,Inf,0,0,0,-0.12141199,0,-0.03603486,0,0,0,0,0,Inf,0,0,-0.35223837,0,0,0.00019672,0,0
"Cit_6",0,Inf,0,-0.00679017,0,0,0,Inf,0,Inf,0,0,0,0,0,-0.00506841,0,0,Inf,0,0,-5.73e-06,0,0
"Mal_0",0,0,0,0,0,0,0,0,0,-0.00037863,0,0,0,0,0,0,0,0,0.00012579,0,0,0,0,0
"Mal_1",0,0,0,0,0,0,0,0,0,-0.01936005,0,0,0,0,0,0,0,0,-0.00630394,0,0,0,0,0
"Mal_2",0,0,0,0,0,0,0,0,0,Inf,0,0,0,0,0,0,0,0,-0.09864769,0,0,0,0,0
"Mal_3",0,0,0,0,0,0,0,0,0,-0.00896246,0,0,0,0,0,0,0,0,Inf,0,0,0,0,0
"Mal_4",0,0,0,0,0,0,0,0,0,1.039e-05,0,0,0,0,0,0,0,0,-0.00063855,0,0,0,0,0
"Succ_0",-0.02089926,0.00198132,0,-0.0262217,-0.02614626,-0.02145362,-0.02013151,0,0,-0.01997415,-0.02628837,-0.02067944,0.00074351,-0.0209952,-0.02042036,-0.02638012,0.00022903,0,-0.02614083,0.0002474,0.00142456,-0.02619318,-0.02029842,0
"Succ_1",Inf,-0.01605737,0,Inf,Inf,Inf,Inf,0,0,Inf,Inf,Inf,-0.00741286,Inf,Inf,Inf,-0.00214614,0,Inf,-0.00238839,-0.02442535,Inf,Inf,0
"Succ_2",-0.04166602,-0.04714519,0,-Inf,Inf,-0.00474341,-0.07142168,0,0,-0.22749063,-Inf,-0.04711622,-0.01171447,-0.0415701,-0.0490317,-Inf,-0.00299026,0,Inf,-0.00528359,-0.04498499,-Inf,-0.05239541,0
"Succ_3",-Inf,Inf,0,Inf,Inf,0.00032954,-Inf,0,0,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,0,Inf,-Inf,Inf,-Inf,Inf,0
"Succ_4",-0.00293677,-0.0043744,0,-0.00180928,-0.00220792,-2.5e-07,-0.00303729,0,0,-0.00239812,-0.00165851,-0.002597,-0.00081151,-0.00287115,-0.00291644,-0.00154762,-0.00027964,0,-0.00225956,-0.00036426,-0.00376424,-0.00191387,-0.0031935,0
"Fum_0",0,0,0,0,-0.00012735,0,0,0,0,2.505e-05,0,0,0,0,0,0,0,0,0,0,0,3e-07,0,0
"Fum_1",0,0,0,0,-0.00816506,0,0,0,0,-0.0026254,0,0,0,0,0,0,0,0,0,0,0,-3.733e-05,0,0
"Fum_2",0,0,0,0,Inf,0,0,0,0,-0.00760247,0,0,0,0,0,0,0,0,0,0,0,-0.00028927,0,0
"Fum_3",0,0,0,0,-0.00619877,0,0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0,Inf,0,0
"Fum_4",0,0,0,0,3.94e-06,0,0,0,0,-0.00024024,0,0,0,0,0,0,0,0,0,0,0,-1.82e-06,0,0
