"Measurements/Samples","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",755000,889000,960000,534000,617000,581000,711000,989000,561000
"2-KG_1.0",21500,23500,24300,13200,10400,11700,16200,24800,19700
"2-KG_1.1",288000,463000,388000,229000,183000,201000,328000,425000,248000
"2-KG_2.1",35700,69500,39600,30100,7960,9520,33800,34900,21700
"2-KG_2.2",0,566000,0,0,0,0,0,0,0
"2-KG_3.2",79800,194000,111000,79200,30100,30000,116000,103000,43600
"2-KG_3.3",335000,908000,477000,374000,123000,115000,491000,496000,163000
"2-KG_4.3",35900,122000,65400,54900,9470,9930,75900,46000,9030
"2-KG_4.4",0,1270,0,0,0,0,6950,0,0
"2-KG_5.4",820000,2680000,1290000,1220000,183000,171000,1770000,1040000,286000
"Cit_0.0",1290000,1320000,1610000,1270000,2640000,1040000,1210000,1940000,1410000
"Cit_1.0",77100,90200,94200,85500,65800,43400,76300,118000,64300
"Cit_1.1",629000,782000,723000,604000,413000,277000,603000,830000,427000
"Cit_2.1",182000,3e+05,273000,244000,78500,67500,239000,278000,95400
"Cit_2.2",466000,756000,638000,669000,194000,157000,605000,731000,233000
"Cit_3.2",250000,362000,293000,325000,91500,71800,401000,363000,95200
"Cit_3.3",326000,521000,390000,402000,115000,76100,442000,430000,106000
"Cit_4.3",380000,895000,584000,792000,105000,96400,685000,601000,164000
"Cit_4.4",309000,730000,424000,630000,83600,77100,538000,507000,109000
"Cit_5.4",564000,817000,624000,553000,159000,131000,873000,606000,160000
"Cit_5.5",8810,17400,10000,18300,2410,1890,18500,12000,3160
"Cit_6.5",49000,110000,44000,89400,8220,7370,102000,59500,9960
"Fum_0.0",318000,290000,399000,202000,269000,238000,248000,335000,243000
"Fum_1.0",35200,40900,42400,22000,19800,14600,33000,30800,16000
"Fum_1.1",118000,121000,127000,65400,61500,48800,114000,24800,63400
"Fum_2.1",90700,141000,124000,79300,30100,28700,116000,95500,24800
"Fum_2.2",197000,232000,209000,116000,75800,61800,116000,226000,88500
"Fum_3.2",32800,83900,51700,36800,7240,9130,68100,47200,9930
"Fum_3.3",49900,67000,61600,51200,0,0,51300,43100,0
"Fum_4.3",282000,570000,423000,362000,75700,74800,498000,310000,103000
"Lac_0.0",245000,336000,221000,120000,46600,77200,198000,248000,58400
"Lac_1.0",3630,3610,2620,2020,601,1210,2910,3530,881
"Lac_1.1",7270,9520,8520,4840,1500,3010,7770,9090,1820
"Lac_2.1",675,2070,1250,492,0,688,1480,1430,0
"Lac_2.2",0,0,0,0,0,0,0,0,0
"Lac_3.2",3250,5900,3990,4760,0,1250,5820,2660,0
"Mal_0.0",671000,531000,655000,372000,471000,653000,519000,568000,506000
"Mal_1.1",273000,282000,328000,170000,131000,181000,289000,237000,141000
"Mal_2.2",357000,427000,436000,296000,110000,137000,474000,309000,148000
"Mal_3.3",122000,222000,169000,155000,29700,43100,236000,142000,31400
"Mal_4.4",541000,918000,713000,655000,144000,179000,1100000,488000,180000
"Suc_0.0",303000,655000,609000,131000,395000,1650000,415000,251000,161000
"Suc_1.0",35600,36400,49200,0,10300,30200,0,15400,8020
"Suc_1.1",73200,186000,177000,99900,39100,103000,0,69800,29300
"Suc_2.1",60300,154000,99400,0,13800,18000,0,55900,20500
"Suc_2.2",59800,105000,81500,25200,14100,22800,51800,54000,0
"Suc_3.2",9160,25900,14600,7400,1550,2560,12100,10300,1590
"Suc_3.3",3700,7190,4660,2390,1370,1650,6500,4100,1270
"Suc_4.3",226000,491000,278000,159000,41600,49200,107000,203000,30900
