"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",806856.83683307,950155.55082925,1025932.86629007,570672.54763303,659388.70768447,620909.80678422,759823.55586023,1056919.60392074,599525.33927096
"2-KG_1.0",13491.6353772,13965.04484122,13942.99819035,7420.77328359,3444.05122652,5259.33841053,8426.35928427,14116.76287721,13963.10916078
"2-KG_1.1",268110.67259133,447275.03641599,363933.90259683,216352.57556887,163807.36900619,184536.89405537,312457.67114614,401625.84230714,235130.05429715
"2-KG_2.1",33261.2010108,66471.19661698,36111.48652528,28386.72109347,5960.9499249,7294.17726179,31015.15961163,30739.8546936,19079.06687801
"2-KG_2.2",0,570400.84949346,0,0,0,0,0,0,0
"2-KG_3.2",81198.45066604,191638.75211905,113332.17667898,80821.96336298,30809.33418392,30643.42232074,118756.79384047,105216.76236542,44241.97953094
"2-KG_3.3",344674.78538665,923155.89704011,490923.92702974,385424.94315799,126032.67153162,117632.28375663,505893.69859322,510331.98755297,166977.49794762
"2-KG_4.3",30690.19184262,109282.09111147,58448.00748166,49721.44813542,7486.52566249,8047.03213639,68939.79736298,38583.56060474,6164.48600682
"2-KG_4.4",0,0,0,0,0,0,766.20455584,0,0
"2-KG_5.4",829573.93658596,2711634.14475164,1305035.37720254,1234464.28601678,185043.21427187,172884.2853103,1791016.35861282,1052124.79716184,289288.29618941
"Cit_0.0",1400772.54919033,1433348.65498546,1748251.01100499,1379055.14532691,2866697.30997091,1129305.00089763,1313902.93373667,2106588.17475135,1531076.97237083
"Cit_1.0",65087.45808612,78747.65529694,79057.20050947,74386.16695896,34386.10220477,32322.65229877,65328.0460331,100086.92856134,49687.05681621
"Cit_1.1",598700.99506334,761270.68619314,680579.07477211,573038.55739881,286078.03158472,235487.59466355,575545.84668089,775825.49900421,374539.13454999
"Cit_2.1",181287.65013767,303860.81731472,275951.92657239,247007.47828549,75918.21531442,66191.29384328,242205.23865399,278654.17385018,92847.2459391
"Cit_2.2",458571.92088241,759337.70540301,635219.12171383,675605.32524023,172702.40438979,148230.56766741,607950.77294228,727237.87087016,219927.85324449
"Cit_3.2",248076.92827007,356403.81135601,286679.50043468,321221.98930754,89980.44213939,70211.67223527,402266.88979395,358752.68657691,92485.19916737
"Cit_3.3",322813.58125962,516622.30744369,383497.03796363,395614.21360523,112186.0622722,73048.57654331,439946.28295807,421693.95596665,100996.61923684
"Cit_4.3",381330.69620387,909931.40816962,590723.29512036,805950.05727522,104135.52448466,96438.61840807,691437.88381023,605427.8833307,165419.1424621
"Cit_4.4",310882.64959511,742369.77540338,427946.33868366,641713.94114609,83146.45442237,77485.49907598,545442.80262745,512779.93301647,109520.44072396
"Cit_5.4",565923.59913796,807897.66769211,621086.18337323,540176.91302256,159529.73972336,131108.91607135,872770.42760321,600670.34440857,158801.56003523
"Cit_5.5",3182.74171552,5508.54678193,2570.01230509,8427.80415925,732.76875977,515.52259227,9545.08416049,3338.9289626,1242.61706818
"Cit_6.5",40468.60923475,96218.14458328,33388.14190301,79145.09529887,5731.66049483,5270.80336883,88612.40649662,49284.01061669,7122.49705118
"Fum_0.0",335344.66651935,305817.46317802,420762.6476139,213017.68124814,283672.11953984,250981.27607196,261526.65816603,353271.89711944,256254.01046128
"Fum_1.0",32881.79266949,39166.56677311,39414.90822273,20511.86555879,17407.44024839,12356.92263908,31432.11134752,28086.11834435,13757.09343717
"Fum_1.1",111972.82321368,116082.75822348,118526.70359534,61158.03058445,54739.22815122,42575.90483084,110250.17802197,14145.95497724,57630.90101558
"Fum_2.1",91109.63595478,142779.61856131,125154.03942563,80382.88309749,29753.44305125,28627.90444201,117317.59614439,97336.55525776,24381.80926186
"Fum_2.2",199328.13410177,235489.0239715,211189.88950424,117409.82942045,75738.98386466,61709.79513532,116091.98391492,231380.6445361,88900.27181374
"Fum_3.2",28967.49283611,79539.57631076,47328.95338777,34304.97806827,5750.60278682,7893.41037764,65385.02454591,43208.8721362,8484.0296842
"Fum_3.3",48088.75270649,65109.08492349,59856.48080184,50610.1299253,0,0,50517.03201725,41172.1802416,0
"Fum_4.3",283547.30348872,573451.79395801,425479.39107244,364325.6529707,76259.44426738,75332.9377666,501180.13299437,311717.16016214,103824.65655037
"Lac_0.0",255034.97708968,349757.87321287,230051.91343805,124915.06116483,48508.69606538,80362.0250875,206109.85592937,258157.81423182,60792.01593239
"Lac_1.0",759.13493072,0,10.84511267,621.08130369,51.84570333,307.35858156,589.16797244,619.67370926,196.55147041
"Lac_1.1",1839.300136,2058.91187953,3679.5411202,2218.04266146,470.30959798,1320.12773867,3437.35763417,3644.19228843,527.7701287
"Lac_2.1",583.5251358,1994.51174056,1170.84802484,429.33179467,0,657.95667714,1401.3968777,1333.91819096,0
"Lac_2.2",0,0,0,0,0,0,0,0,0
"Lac_3.2",3260.77840336,5914.84263004,4001.90366917,4787.97530595,0,1249.52425186,5843.13015092,2657.52610545,0
"Mal_0.0",709485.16185449,561455.47085653,692567.48288329,393336.03608028,498014.17471455,690452.77301189,548767.21162813,600577.60347742,535021.59746404
"Mal_1.1",253891.63463981,269915.34596335,312179.25588735,160265.0493844,114795.69340626,158505.61306332,277804.14950135,221096.7360673,123603.7707395
"Mal_2.2",354569.32237904,427769.24792218,434492.65653037,297408.12107145,105547.43574006,130308.58955283,476251.13200208,306969.68112926,144246.53205195
"Mal_3.3",114255.04175668,214849.06432465,160028.02856489,150274.21041558,26801.87959324,39505.75424803,227992.72519014,136153.74739244,27554.76000768
"Mal_4.4",543504.37507662,923475.53846866,716464.49848289,659017.8085169,144598.07965786,179666.63215034,1107244.74651101,489952.60492793,180729.33101951
"Suc_0.0",319600.0256514,690884.54389988,642364.40799241,138158.38998114,416640.29746634,1740396.17928978,437178.36197685,264751.17636469,169815.46984427
"Suc_1.0",33487.97448266,30070.19267159,43982.71950577,0,5975.9706216,11579.70577121,0,13037.50969462,6423.84948828
"Suc_1.1",65702.28519706,170999.71419431,163229.88967194,99614.00026999,26875.61770669,49311.84689249,0,63987.57921205,24868.35203687
"Suc_2.1",60255.59832179,155751.3398269,99028.4824528,0,13579.15508377,16963.93785383,0,56437.47361147,20598.3012911
"Suc_2.2",58831.48239678,101463.30087668,77593.93619347,23142.16599477,12108.20262323,14743.08587445,51547.32044547,53124.74401093,0
"Suc_3.2",7131.10236147,21538.17251072,11503.03312763,7259.56489909,1081.37460075,1908.38754769,11745.09869627,8540.87659137,1112.42900876
"Suc_3.3",2754.71717541,5317.81510697,3059.82958125,1729.05828076,1085.54044234,1068.1498413,5959.78530225,3246.36945916,1170.5736497
"Suc_4.3",227956.84813043,495090.88073747,280268.84426441,160532.0295296,41944.580907,49595.24459221,107891.29651088,204715.59559374,31105.22154069
