"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",0.335093238019726,0.158783247765864,0.301066609608944,0.221769810089713,0.557871293297924,0.541235955558258,0.211232516616859,0.329293407010621,0.436218350037777
"2-KG_1.0",0.005603169705387,0.00233373911582118,0.00409166265248145,0.00288379647601138,0.00291381591697262,0.00458447107635504,0.00234254527094657,0.00439821243408986,0.01015964470646
"2-KG_1.1",0.111348221053573,0.0747454275931383,0.106798748511484,0.0840770592441083,0.138588100970243,0.16085750474307,0.0868638774139071,0.125130370811767,0.171082083794025
"2-KG_2.1",0.0138136073691594,0.0111081943083066,0.0105971483840067,0.0110314010584169,0.00504322079698006,0.00635820365077307,0.00862227837964436,0.00957729561029701,0.0138820472274058
"2-KG_2.2",0,0.0953213390501527,0,0,0,0,0,0,0
"2-KG_3.2",0.0337222794847528,0.0320253072591148,0.0332580574357925,0.0314083295936143,0.0260660258608129,0.0267113222888823,0.0330146337722733,0.032781288212849,0.032190738321186
"2-KG_3.3",0.143145827892219,0.154271257372868,0.144064789366991,0.14978049461554,0.106629077273768,0.102537954478863,0.140639492248268,0.158998809620359,0.121493861688517
"2-KG_4.3",0.0127458494376218,0.0182624469584798,0.0171519443709159,0.0193223174237361,0.00633392368563269,0.00701445375827448,0.0191654059415832,0.0120210771746537,0.00448531819855348
"2-KG_4.4",0,0,0,0,0,0,0.000213006447780039,0,0
"2-KG_5.4",0.344527807037561,0.453149040576254,0.382971039669383,0.47972679149886,0.156554542197666,0.150700134445525,0.497906243908738,0.327799539125364,0.210487956026076
"Cit_0.0",0.306039356647023,0.211673191805079,0.30325525138292,0.240197323257403,0.718250039555637,0.546715656994594,0.224408730728505,0.322091519578916,0.527290946615619
"Cit_1.0",0.014220241401775,0.0116292483938868,0.0137134261975043,0.0129562318457432,0.00861542625474848,0.0156479428261486,0.0111577373905152,0.0153030152246599,0.0171118341506986
"Cit_1.1",0.130803582251112,0.112422469867095,0.118054659832473,0.0998091541711694,0.0716767538683074,0.114003528655435,0.0983006503854923,0.118621578198042,0.12898835157559
"Cit_2.1",0.0396075407447498,0.0448733731613675,0.0478671943190842,0.043022597979337,0.0190212831200964,0.0320443252018605,0.04136756893263,0.0426054543399332,0.031975866063789
"Cit_2.2",0.100188325166967,0.1121370123044,0.110186428165043,0.117673750212999,0.0432705288950018,0.0717609256352844,0.103835266516524,0.111192663915696,0.0757414343087259
"Cit_3.2",0.0541995940530285,0.0526327855116221,0.0497280215617737,0.0559489316033109,0.0225445692857285,0.0339906583998864,0.068705381375498,0.0548522959340235,0.0318511799843628
"Cit_3.3",0.0705279817074656,0.0762934352322114,0.066522192705847,0.068906218487755,0.0281081798850317,0.0353640517713565,0.0751408528075719,0.0644758423608709,0.0347824465545369
"Cit_4.3",0.083312741246571,0.134376297644698,0.102468089668938,0.140376581090793,0.026091120370505,0.0466875667607163,0.118094490771991,0.092568252909921,0.0569690602048052
"Cit_4.4",0.0679213239364257,0.109631232647194,0.0742324607273132,0.111770708722247,0.0208323159791098,0.0375120410351556,0.0931591854160179,0.0784026369341717,0.0377179840760545
"Cit_5.4",0.123642410248301,0.119308220911543,0.107734899327205,0.0940854678894719,0.0399701222267399,0.0634720444262823,0.149065276320529,0.091840838335373,0.0546900165217381
"Cit_5.5",0.000695362161083465,0.00081348782481018,0.000445799672204532,0.00146791519312999,0.000183594964441948,0.000249573208747349,0.00163025758307775,0.000510513025858425,0.000427947609418204
"Cit_6.5",0.00884154043549853,0.0142092446960939,0.00579157643969296,0.0137851195466401,0.00143606559465216,0.00255168508453318,0.0151346017716482,0.00753538924253517,0.00245293233466125
"Fum_0.0",0.296439737114756,0.19635958433137,0.290639542267189,0.226200403028618,0.522107525376136,0.523446741860106,0.208603739782536,0.315331415800777,0.463193836892642
"Fum_1.0",0.0290670195413503,0.0251481085852114,0.027225636470634,0.021781254162007,0.0320389454062772,0.0257716073329282,0.0250714631630063,0.0250697424111201,0.024866736259787
