"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",754924.805028456,889000.329689067,959900.361130053,533942.134577325,616948.222860075,580945.954014158,710918.744910488,988892.687645025,560937.86307271
"2-KG_1.0",12759.7979842712,13207.5279262578,13186.6771692171,7018.24243973428,3257.23284607451,4974.05197910176,7969.28164778846,13351.0162014504,13205.6972444549
"2-KG_1.1",253567.334429582,423013.144701515,344192.74957657,204616.79258697,154921.837006222,174526.914118254,295508.783849747,379840.13574531,222375.709762548
"2-KG_2.1",31797.2177444605,63545.4838771056,34522.0486700899,27137.2868155679,5698.58023660439,6973.12591281715,29650.0352837523,29386.8478413662,18239.3066228794
"2-KG_2.2",0,545294.80180465,0,0,0,0,0,0,0
"2-KG_3.2",78464.0873355767,185185.304150624,109515.707946748,78100.2782679686,29771.8277667719,29611.5029968313,114757.650757601,101673.580760326,42752.1278711582
"2-KG_3.3",333067.838623924,892068.559628349,474392.030508239,372445.732069941,121788.512774284,113671.008627063,488857.693999548,493146.523277715,161354.519385155
"2-KG_4.3",29977.4563346726,106744.171924868,57090.6366801161,48566.7391073889,7312.66188548337,7860.15140372433,67338.769850892,37687.5129747005,6021.3246969189
"2-KG_4.4",0,0,0,0,0,0,748.410558458079,0,0
"2-KG_5.4",819072.350748818,2677307.5374727,1288514.91961608,1218837.18867107,182700.750131478,170695.741189024,1768343.86229127,1038805.93746592,285626.19237909
"Cit_0.0",1290000,1320000,1610000,1270000,2640000,1040000,1210000,1940000,1410000
"Cit_1.0",60588.665902993,73304.6813891143,73592.831088232,69244.6555789187,32009.3627782227,30088.5368520239,60812.6246066894,93169.0014355154,46252.7278474617
"Cit_1.1",557319.269062342,708652.275319606,633538.002473152,533430.59822417,266304.550639208,219210.883585142,535764.585709641,722201.071303061,348651.2940914
"Cit_2.1",170582.427127535,285917.522165128,259656.680250919,232421.431534874,71435.1662768536,62282.6295664602,227902.769114311,262199.357035544,87364.5201555171
"Cit_2.2",431492.77525112,714498.029505779,597708.776397506,635710.132886866,162504.149009596,139477.399524993,572050.651789025,684293.72336111,206940.886325703
"Cit_3.2",235952.420290232,338984.936956992,272668.330936111,305522.590738646,85582.7393930842,66780.1480454528,382606.504004177,341219.013286443,87965.0789645717
"Cit_3.3",307036.39525012,491372.916729112,364754.009623758,376278.970609267,106703.082388778,69478.401535939,418444.355085849,401084.092043307,96060.5120203695
"Cit_4.3",366616.340460803,874820.008602564,567929.13562403,774850.97196174,100117.261155712,92717.3545477183,664757.464169484,582066.319887779,159036.136496068
