"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",0.326294401094409,0.153398456212452,0.29253525574991,0.214377390927774,0.549668949311522,0.533340782332822,0.204046992240742,0.320779078276252,0.428029309070079
"2-KG_1.0",0.0055150534379467,0.00227898047572085,0.00401871708189283,0.00281781939595352,0.00290202595586506,0.00456645709565196,0.0022873330632959,0.00433083055892705,0.010076740828957
"2-KG_1.1",0.109597142620963,0.0729916077505645,0.104894755853733,0.0821534980930627,0.138027342031804,0.160225439682973,0.084816554573832,0.123213337664445,0.169686034175401
"2-KG_2.1",0.0137434272278365,0.0109648768402938,0.0105207964760286,0.0108956015411397,0.00507714017993397,0.00640171844549336,0.00851011534411474,0.00953256716504485,0.013917687369049
"2-KG_2.2",0,0.0940915070377581,0,0,0,0,0,0,0
"2-KG_3.2",0.0339138311710613,0.0319540261361597,0.0333755532658811,0.0313572067113118,0.0265251583216841,0.0271850110414847,0.0329375946848192,0.0329810887761876,0.032622443515808
"2-KG_3.3",0.14395893498758,0.153927884290566,0.144573749099408,0.149536699077971,0.108507264263628,0.10435632480236,0.140311312380591,0.159967900631244,0.123123197762834
"2-KG_4.3",0.0129568880183863,0.0184188808891424,0.0173987058224267,0.0194995115415529,0.00651520342603483,0.00721605731127029,0.0193274879128361,0.0122251542817438,0.00459463270243664
"2-KG_4.4",0,0,0,0,0,0,0.000214807844789369,0,0
"2-KG_5.4",0.354020321441818,0.461973780367343,0.39268246665072,0.489362272711235,0.162776916509528,0.156708209287944,0.50754780195498,0.336970042646156,0.217949954575436
"Cit_0.0",0.299214230437366,0.206048163295971,0.296492446942861,0.234088526167118,0.712364162978485,0.539524668291744,0.218363261873649,0.315210265122014,0.520276981868286
"Cit_1.0",0.0140534814274347,0.0114426476978964,0.0135526202278277,0.0127632908420621,0.00863724353143308,0.0156091421773771,0.0109745810514169,0.0151380544554856,0.0170668295373422
"Cit_1.1",0.129269655969305,0.110618560412966,0.116670330797862,0.0983228209060947,0.0718582645126747,0.113720845434821,0.0966870268859018,0.117342882039608,0.128649108520812
"Cit_2.1",0.0395664260923282,0.044630894163833,0.0478175431631398,0.0428403073682287,0.0192757016788029,0.0323105914011366,0.0411285884742462,0.0426020251783481,0.0322367013254492
"Cit_2.2",0.100084324562827,0.111531065650194,0.11007213520082,0.117175155966133,0.0438492924582392,0.0723572093393435,0.103235410150081,0.111183714413394,0.0763592764274358
"Cit_3.2",0.0547289316720743,0.0529145633674154,0.050213727107499,0.0563144354147791,0.0230932108004395,0.0346437857910543,0.0690472762218391,0.0554411008467482,0.0324583019812005
"Cit_3.3",0.071216789706223,0.0767018840798615,0.06717193095998,0.0693563698091368,0.0287922166564796,0.0360435687904982,0.0755147721398027,0.0651679499944293,0.0354454420359432
"Cit_4.3",0.0850362993618161,0.136556860596305,0.10458801187038,0.14282182836668,0.0270151321753361,0.0480993268819671,0.119965791926367,0.0945738551600112,0.0586828660313241
"Cit_4.4",0.0693264673432709,0.111410250289737,0.0757682270529267,0.11371766468102,0.0215700882791614,0.0386463473885275,0.0946353668201638,0.0801013241201683,0.0388526578909586
"Cit_5.4",0.127565249035511,0.1225556149142,0.111153122907361,0.0967596898410699,0.041833272115557,0.0660985962847437,0.153065131113121,0.0948455274194405,0.0569445685369217
"Cit_5.5",0.000717424119040923,0.000835629764932497,0.000459944048456533,0.00150963822560897,0.000192152980243025,0.000259900857418235,0.00167400213424212,0.000527215104627236,0.000445589405975776
"Cit_6.5",0.00922072027280182,0.0147538657666889,0.00603995972088574,0.0143302724120691,0.00151926183314789,0.00268601736136886,0.0157087912091695,0.00786608614572527,0.00258167643835044
"Fum_0.0",0.290563383022343,0.19145891053639,0.284498983063929,0.220581288558785,0.515826003536069,0.51683896384803,0.2033410690566,0.308696426977327,0.45652685298898
"Fum_1.0",0.0287989701318333,0.0247856776418142,0.0269386637681577,0.0214699072698645,0.0319958374799437,0.0257214971002207,0.0247032835519782,0.0248076841915773,0.0247738974105313
"Fum_1.1",0.0980695311755287,0.0734603531059347,0.0810087136993922,0.0640145208485432,0.1006137273897,0.0886236844424606,0.0866483762169445,0.0124947270876339,0.103782244116979
"Fum_2.1",0.080659917417899,0.0913321121192504,0.0864634165241199,0.0850473091381744,0.055279968799045,0.0602347989106116,0.0932000779630569,0.0869045402813259,0.0443818670630148
"Fum_2.2",0.176466415074828,0.150635715075695,0.145901798021778,0.124222840408335,0.140718123199993,0.129841047510848,0.0922264204803508,0.206582496063868,0.161823923857663
"Fum_3.2",0.0259224688242751,0.0514295291092491,0.0330511376348294,0.0366881772180247,0.0107998051833679,0.0167878306353027,0.0525053311657637,0.0389952236230952,0.0156103920032591
"Fum_3.3",0.0430337274918842,0.0420989114307894,0.0417994619299852,0.0541260633378479,0,0,0.0405660701972332,0.0371571461182965,0
