"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",-75.19497154,0.32968907,-99.63886995,-57.86542268,-51.77713992,-54.04598585,-81.25508951,-107.31235498,-62.13692729
"2-KG_1.0",0,0,0,0,0,0,0,0,0
"2-KG_1.1",-475.57692721,1.05183878,-630.2062537,-366.08640519,-327.36536151,-341.69752893,-513.5533708,-678.72331282,-392.88094633
"2-KG_2.1",0,0,0,0,0,0,0,0,0
"2-KG_2.2",13904.12838583,-81.14244686,18423.37143814,10697.58068346,9576.01297218,9995.87866889,15031.55131091,19842.54183948,11491.72985056
"2-KG_3.2",0,0,0,0,0,0,0,0,0
"2-KG_3.3",-53.15406228,-168.72198282,-75.63809035,-59.16290033,-19.67420904,-18.44283687,0,-78.68445883,-26.05515369
"2-KG_4.3",0,0,0,0,0,0,0,0,0
"2-KG_4.4",4240.93506127,13461.60466078,6034.83940062,4720.35452394,1569.72090797,1471.47499489,0,6277.89609925,2078.82916283
"2-KG_5.4",0,0,0,0,0,0,0,0,0
"Cit_0.0",0,0,0,0,0,0,0,0,0
"Cit_1.0",0,0,0,0,0,0,0,0,0
"Cit_1.1",0,0,0,0,0,0,0,0,0
"Cit_2.1",0,0,0,0,0,0,0,0,0
"Cit_2.2",0,0,0,0,0,0,0,0,0
"Cit_3.2",0,0,0,0,0,0,0,0,0
"Cit_3.3",0,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0
"Fum_0.0",0,0,0,0,0.05582306,0.04520507,0,0,0.06370307
"Fum_1.0",0,0,0,0,0,0,0,0,0
"Fum_1.1",0,0,0,0,-4.51803874,-3.658672,0,0,-5.15580772
"Fum_2.1",0,0,0,0,0,0,0,0,0
"Fum_2.2",0,0,0,0,-13.53350889,-10.95932834,0,0,-15.44390688
"Fum_3.2",0,0,0,0,0,0,0,0,0
"Fum_3.3",0,0,0,0,1135.11205698,919.20475587,0,0,1295.34513577
"Fum_4.3",0,0,0,0,0,0,0,0,0
"Lac_0.0",-1.07419623,-5.68186209,-1.01266657,-0.55462458,-0.20194963,-0.35449832,-0.9103202,-1.12589888,-0.25118577
"Lac_1.0",0,357.28854174,0,0,-0.42377172,0,0,0,-0.57973868
"Lac_1.1",-6.42450297,-8.75067833,-6.05650925,-3.31707295,-1.45995309,-2.1201671,-5.44440079,-6.73372378,-1.84709088
"Lac_2.1",0,0,0,0,18.81973639,0,0,0,25.73514923
"Lac_2.2",556.63433677,758.17974489,524.75047808,287.3991508,107.22425556,183.69635925,471.71593433,583.42596817,133.68474396
"Lac_3.2",0,0,0,0,1.37620718,0,0,0,1.99606743
"Mal_0.0",0,0,0,0,0,0,0,0,0
"Mal_1.1",0,0,0,0,0,0,0,0,0
"Mal_2.2",0,0,0,0,0,0,0,0,0
"Mal_3.3",0,0,0,0,0,0,0,0,0
"Mal_4.4",0,0,0,0,0,0,0,0,0
"Suc_0.0",0,0,0,-17.55693241,0,0,-528.68258067,0,-4.74582897
"Suc_1.0",0,0,0,1516.45965969,0,0,4798.57466577,0,0
"Suc_1.1",0,0,0,-13.38883624,0,0,14002.54139203,0,-29.2309835
"Suc_2.1",0,0,0,1156.44519086,0,0,162.11553745,0,0
"Suc_2.2",0,0,0,0,0,0,0,0,1272.66229126
"Suc_3.2",0,0,0,0,0,0,0,0,0
"Suc_3.3",0,0,0,0,0,0,0,0,0
"Suc_4.3",0,0,0,0,0,0,0,0,0
