"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",-9.319e-05,3.5e-07,-9.712e-05,-0.0001014,-7.852e-05,-8.704e-05,-0.00010694,-0.00010153,-0.00010364
"2-KG_1.0",0,0,0,0,0,0,0,0,0
"2-KG_1.1",-0.00177381,2.35e-06,-0.00173165,-0.00169208,-0.00199848,-0.00185165,-0.00164359,-0.00168994,-0.00167091
"2-KG_2.1",0,0,0,0,0,0,0,0,0
"2-KG_2.2",-Inf,-0.00014226,-Inf,-Inf,-Inf,-Inf,Inf,-Inf,-Inf
"2-KG_3.2",0,0,0,0,0,0,0,0,0
"2-KG_3.3",-0.00015422,-0.00018277,-0.00015407,-0.0001535,-0.0001561,-0.00015678,0,-0.00015418,-0.00015604
"2-KG_4.3",0,0,0,0,0,0,0,0,0
"2-KG_4.4",Inf,Inf,Inf,Inf,Inf,Inf,0,Inf,Inf
"2-KG_5.4",0,0,0,0,0,0,0,0,0
"Cit_0.0",0,0,0,0,0,0,0,0,0
"Cit_1.0",0,0,0,0,0,0,0,0,0
"Cit_1.1",0,0,0,0,0,0,0,0,0
"Cit_2.1",0,0,0,0,0,0,0,0,0
"Cit_2.2",0,0,0,0,0,0,0,0,0
"Cit_3.2",0,0,0,0,0,0,0,0,0
"Cit_3.3",0,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0
"Fum_0.0",0,0,0,0,2e-07,1.8e-07,0,0,2.5e-07
"Fum_1.0",0,0,0,0,0,0,0,0,0
"Fum_1.1",0,0,0,0,-8.254e-05,-8.593e-05,0,0,-8.946e-05
"Fum_2.1",0,0,0,0,0,0,0,0,0
"Fum_2.2",0,0,0,0,-0.00017869,-0.00017759,0,0,-0.00017372
"Fum_3.2",0,0,0,0,0,0,0,0,0
"Fum_3.3",0,0,0,0,Inf,Inf,0,0,Inf
"Fum_4.3",0,0,0,0,0,0,0,0,0
"Lac_0.0",-4.21e-06,-1.625e-05,-4.4e-06,-4.44e-06,-4.16e-06,-4.41e-06,-4.42e-06,-4.36e-06,-4.13e-06
"Lac_1.0",0,Inf,0,0,-0.00817371,0,0,0,-0.00294955
"Lac_1.1",-0.00349291,-0.00425015,-0.001646,-0.0014955,-0.00310424,-0.00160603,-0.00158389,-0.0018478,-0.0034998
"Lac_2.1",0,0,0,0,-Inf,0,0,0,-Inf
"Lac_2.2",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf
"Lac_3.2",0,0,0,0,Inf,0,0,0,Inf
"Mal_0.0",0,0,0,0,0,0,0,0,0
"Mal_1.1",0,0,0,0,0,0,0,0,0
"Mal_2.2",0,0,0,0,0,0,0,0,0
"Mal_3.3",0,0,0,0,0,0,0,0,0
"Mal_4.4",0,0,0,0,0,0,0,0,0
"Suc_0.0",0,0,0,-0.00012708,0,0,-0.00120931,0,-2.795e-05
"Suc_1.0",0,0,0,-Inf,0,0,-Inf,0,0
"Suc_1.1",0,0,0,-0.00013441,0,0,Inf,0,-0.00117543
"Suc_2.1",0,0,0,Inf,0,0,Inf,0,0
"Suc_2.2",0,0,0,0,0,0,0,0,Inf
"Suc_3.2",0,0,0,0,0,0,0,0,0
"Suc_3.3",0,0,0,0,0,0,0,0,0
"Suc_4.3",0,0,0,0,0,0,0,0,0
