"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",803926.75841286,945511.53896058,1021995.50836157,568326.13600179,657660.20379179,618952.54977854,756465.01541451,1052592.41685814,596955.39743593
"2-KG_1.0",13297.46075181,13442.35547793,13727.52484818,7214.2985213,3421.95061208,5241.98578953,8208.41302659,13958.64684865,13915.90247863
"2-KG_1.1",270009.13160532,439726.07427262,366570.62255877,217715.73665359,165237.77943261,186176.89297639,314598.48096575,404680.31620479,237094.0884342
"2-KG_2.1",32262.96482397,63856.98541654,34533.62262216,27313.23794797,5452.99361967,6817.49948307,29197.80603782,29194.43781511,18533.24809836
"2-KG_2.2",0,551125.23093525,0,0,0,0,0,0,0
"2-KG_3.2",82700.80007807,195791.59093338,115278.67584368,82118.0633612,31447.02001154,31254.68307796,120648.34346331,107109.61401683,45044.48613793
"2-KG_3.3",353767.14901124,950185.38000103,503849.53926298,395615.43290228,129291.75910157,120628.95969328,519105.92881833,523930.05511352,171240.69830019
"2-KG_4.3",0,0,5412.4279485,0,0,1043.38598604,0,0,0
"2-KG_4.4",0,0,0,0,0,0,0,0,0
"2-KG_5.4",872394.5711108,2852089.98293149,1372676.78065732,1298421.97935736,194623.9493159,181838.32355092,1883724.48568257,1106405.10402631,303966.57954689
"Cit_0.0",1394060.47853327,1424880.87062109,1740588.39158381,1372539.51056454,2863450.64223595,1126592.49831308,1307446.49983661,2097747.97724378,1526777.45132147
"Cit_1.0",63907.72493667,76453.83746473,77047.43658352,72630.69137398,33963.4557995,31977.19999943,63538.28028712,98271.60734901,49246.21819533
"Cit_1.1",593635.25642693,750475.91411992,671754.57225604,562590.76804903,284706.78376683,234188.48934118,566600.88146128,766074.09330862,372918.9205825
"Cit_2.1",179957.81197959,302956.99708228,275827.31670449,245637.85465939,75633.77161286,66116.87186663,239009.9019316,277087.66985401,92877.66814636
"Cit_2.2",455624.24268839,755818.60047217,633739.30087872,674421.39095354,171887.80608492,148337.31412852,603047.36950636,725760.68590003,220442.76942912
"Cit_3.2",244075.73821016,339216.22003073,277295.56587076,306057.05547289,89579.16517423,69423.34975507,393441.09854503,351121.52810548,90225.48407321
"Cit_3.3",315944.79806562,492122.92793179,371395.5672332,372591.30542551,111129.78754571,71088.03280825,423698.92783472,407039.37120969,97838.52017782
"Cit_4.3",373116.34327193,913408.0579228,588839.30605074,816484.22548845,101674.48624063,94866.8569414,683084.50417877,605039.51832988,165532.35479019
"Cit_4.4",317610.83878467,764327.30544492,438971.88412656,662179.40897055,84862.55658516,79280.36448098,558324.01645711,527508.85328651,112311.80410241
"Cit_5.4",593240.18774963,844828.87958122,651657.65744722,564074.23296176,167534.99551563,137657.90966347,913490.74014294,629324.05785791,166694.15815651
"Cit_5.5",2913.83129729,4761.89642088,2345.24374315,8016.69820876,709.37941399,485.76288772,9090.48765256,2983.45349341,1230.85435759
"Cit_6.5",43012.22401753,102265.83711246,35486.7255774,84119.67885813,6091.91986886,5602.09574844,94182.04750369,52381.71031865,7570.17650616
"Fum_0.0",333895.70726561,304271.44914596,419184.80832918,212204.25709923,282946.46754411,250429.8177095,260104.10727992,352874.8391668,255536.94053955
"Fum_1.0",32280.45244828,38101.40867911,38530.8714979,19895.34011576,17278.789273,12188.53652393,30549.21781852,27373.04282909,13646.8368644
