"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",0.331057645420009,0.157277800963776,0.297606932063422,0.21886266787076,0.55398909175331,0.537306523656607,0.208280767459376,0.325087858613575,0.430470686902207
"2-KG_1.0",0.00547590436627614,0.00223602147856002,0.00399747995119943,0.00277822982468437,0.00288252702638984,0.0045505154840019,0.00226005767611723,0.00431105767103614,0.0100349006384232
"2-KG_1.1",0.111189964030595,0.0731446916703521,0.106746025272841,0.0838424347271308,0.139190309560203,0.161618300443425,0.0866197533552765,0.124983474430455,0.170970989703928
"2-KG_2.1",0.0132859132465981,0.010622066287557,0.0100562530828472,0.0105183410489198,0.00459340395736333,0.00591820317823992,0.00803915756283169,0.00901655486087393,0.0133645161325245
"2-KG_2.2",0,0.0916749936996414,0,0,0,0,0,0,0
"2-KG_3.2",0.03405625184345,0.0325682655370376,0.0335693579565456,0.0316237056315069,0.0264898285681532,0.0271318780714552,0.033218627507144,0.0330802640224137,0.0324820430005959
"2-KG_3.3",0.145681578766986,0.158055254660115,0.146721892977806,0.152351693175635,0.108910686374058,0.104716794539904,0.142927668885981,0.161813154790285,0.123483431659244
"2-KG_4.3",0,0,0.00157610876328581,0,0,0.000905752948577014,0,0,0
"2-KG_4.4",0,0,0,0,0,0,0,0,0
"2-KG_5.4",0.359252742326086,0.474420905702961,0.399725949932053,0.500022927721363,0.163944152760523,0.157852031677789,0.518653967553273,0.341707635611361,0.219193431963077
"Cit_0.0",0.304572903834555,0.210422686407278,0.301926071024853,0.239062455136357,0.717436581928311,0.545402481138185,0.223305995429708,0.320739871085018,0.525810217703557
"Cit_1.0",0.0139624942110839,0.0112905030849782,0.013364808085978,0.01265047108988,0.00850953226846601,0.0154807033116728,0.010852053165602,0.0150254573067697,0.0169600125335563
"Cit_1.1",0.12969682209107,0.110828323398178,0.116523940797798,0.0979894051949959,0.0713331875830693,0.113374608238504,0.0967728881157838,0.117130612730809,0.128430360723197
"Cit_2.1",0.0393169982266509,0.0447398982654232,0.0478455782059629,0.0427840423953611,0.0189500156852382,0.0320082958258207,0.0408218187704528,0.0423659393179313,0.0319863427807159
"Cit_2.2",0.099544317330499,0.111617317368166,0.10992973301071,0.117467535380104,0.0430664311979992,0.0718126024203172,0.102997784732082,0.110966804096266,0.0759187663430425
"Cit_3.2",0.0533254170008787,0.0500945656324765,0.048100263750346,0.0533075736836597,0.0224440292864302,0.0336090176901008,0.0671979741920877,0.0536855117399256,0.0310729513210202
"Cit_3.3",0.0690272955012056,0.0726754289942039,0.0644230450765748,0.0648961953749851,0.0278435303724868,0.0344149189089289,0.0723658756625653,0.0622351954879997,0.033694821435807
"Cit_4.3",0.0815180760723003,0.134889716956051,0.102141286820331,0.142211369525597,0.0254745078549127,0.0459266498144585,0.11666776819343,0.0925088710443862,0.0570080488376861
"Cit_4.4",0.0693912903690907,0.112873860701106,0.0761449731053934,0.115335284726434,0.0212622846128801,0.0383809652187563,0.0953592367128204,0.0806546465231837,0.0386793072655441
"Cit_5.4",0.12961050789157,0.124762122968528,0.113037888289757,0.0982477881132407,0.0419758359942438,0.0666425221108549,0.156020119422808,0.0962219100567338,0.0574081648339268
"Cit_5.5",0.000636610873893621,0.000703224429448622,0.000406810841890418,0.00139631066437215,0.000177734770265112,0.000235166029069112,0.00155261450044041,0.000456161797911373,0.000423896617785128
