"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",752183.316353988,884655.222113024,956216.424859318,531746.7459255,615330.971317293,579114.67268152,707776.371473935,984844.012960211,558533.331376158
"2-KG_1.0",12450.4903762122,12586.1561568294,12853.1619082399,6754.78995479204,3203.99239815589,4908.1019935254,7685.58518795573,13069.5627908062,13029.5409868314
"2-KG_1.1",252896.430475945,411857.013537222,343338.024944899,203917.298392026,154765.301269001,174377.330836552,294659.785750094,379032.393621652,222067.484516052
"2-KG_2.1",30239.809411459,59852.6229415785,32368.0781378624,25600.4714527289,5111.04570458481,6389.98573614006,27366.8614968839,27363.7044896664,17371.0597686083
"2-KG_2.2",0,516626.839904903,0,0,0,0,0,0,0
"2-KG_3.2",77579.4881433664,183667.043040069,108139.953390478,77032.8378549237,29499.6386229206,29319.2123048667,113177.100129538,100476.767126981,42255.0709903981
"2-KG_3.3",331827.217698133,891256.782390406,472601.798158508,371080.154687384,121273.342688493,113147.792780413,486912.016934954,491436.960561946,160620.692544383
"2-KG_4.3",0,0,5080.39125180137,0,0,979.377293548791,0,0,0
"2-KG_4.4",0,0,0,0,0,0,0,0,0
"2-KG_5.4",819202.402881472,2678190.63142119,1288981.1036562,1219253.81090957,182757.220433938,170751.167558484,1768868.89962298,1038944.70437226,285432.945832544
"Cit_0.0",1283818.71728382,1312201.84473465,1602943.33754682,1263999.61910424,2637010.07748866,1037502.00106642,1204054.13838536,1931858.88187818,1406040.48340548
"Cit_1.0",58896.7503457176,70459.1281037535,71006.1833954175,66935.7530960335,31300.3972380995,29469.8828191402,58556.2736770102,90566.1769346755,45384.845437626
"Cit_1.1",547324.927635421,691930.223046601,619350.044776285,518702.26385163,262496.403533058,215919.112946903,522399.542625772,706311.566141156,343826.98637243
"Cit_2.1",166039.774221495,279526.133603297,254494.67786888,226640.085691435,69784.2134441137,61003.3560433144,220524.742532019,255657.554601397,85694.4573819867
"Cit_2.2",420475.990545541,697512.43443741,584850.70660927,622394.455424611,158627.853293765,136894.118550474,556526.444999743,669773.279626683,203437.137776939
"Cit_3.2",225410.881745419,313275.820940616,256090.336816693,282652.389969004,82728.9051997269,64114.4367595301,363354.037514203,324270.711339225,83325.7990736373
"Cit_3.3",291782.90344789,454487.801807045,342993.07220267,344097.366255466,102631.13135004,65651.571857442,391296.530622719,375911.014444047,90356.3143350128
"Cit_4.3",344832.977819681,844168.92011738,544203.477076763,754592.212040366,93967.247725437,87675.6576477676,631304.599559647,559175.663479907,152984.493595887
"Cit_4.4",293469.939682369,706232.473314872,405606.599730108,611848.613079743,78412.3408937662,73254.4388952775,515887.039812178,487414.069205814,103775.231669276
"Cit_5.4",548548.156073763,781183.294156273,602564.717909645,521579.432360512,154913.666952568,127287.385571953,844672.480798532,581913.630666756,154136.174475781
"Cit_5.5",2693.13288827833,4401.2224982188,2167.61109731386,7409.50020733641,655.649842137701,448.97040197231,8401.95906000692,2757.48178393997,1137.62740972317
