"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",0.330429715361478,0.156890139280692,0.29700045992848,0.218341865350136,0.553384296238875,0.536720394726189,0.207775565069629,0.324477583642949,0.42986914378109
"2-KG_1.0",0.00546942733463462,0.00223210550629772,0.00399218722774407,0.00277360124923884,0.0028814396821478,0.00454880279085943,0.00225618835225143,0.00430604247761408,0.0100280454419249
"2-KG_1.1",0.111095917339881,0.0730412284949236,0.106640660700399,0.0837309934649098,0.139184749861682,0.161611981621063,0.0865006320570231,0.124880197865127,0.170911840114061
"2-KG_2.1",0.0132841707588623,0.0106146282923533,0.0100535128282914,0.0105118738077146,0.00459650588401466,0.00592220475215263,0.00803384422095918,0.00901554824467962,0.0133694484640752
"2-KG_2.2",0,0.0916217469165278,0,0,0,0,0,0,0
"2-KG_3.2",0.0340802137294916,0.0325726308323853,0.0335882286254827,0.0316306468057165,0.0265298473822933,0.0271728898327931,0.0332243867980309,0.0331041852116484,0.0325211588398805
"2-KG_3.3",0.14576974882222,0.158060900143794,0.146789939774099,0.152370153253767,0.109064497846643,0.104864771811606,0.142938396272217,0.161914247715915,0.123619980579242
"2-KG_4.3",0,0,0.00157796760144925,0,0,0.000907681660258075,0,0,0
"2-KG_4.4",0,0,0,0,0,0,0,0,0
"2-KG_5.4",0.359870806653432,0.474966620533026,0.400357043314055,0.500640866068517,0.164358663104344,0.158251272805079,0.519270987229889,0.342302194842068,0.219680382779726
"Cit_0.0",0.304000748717689,0.209953365921395,0.301356486356491,0.238550961096236,0.716936808392596,0.544791350519181,0.22280424856215,0.320159071186864,0.525210013335901
"Cit_1.0",0.0139464053305111,0.0112735179916328,0.013349301523269,0.0126325894339073,0.00850979186195393,0.0154746084770719,0.0108355481197061,0.0150091620875336,0.016952979347942
"Cit_1.1",0.129603335387607,0.110709400306287,0.116439021234626,0.0978931652307681,0.0713661792080638,0.11337892844962,0.0966674452861638,0.117054127040813,0.128432558115633
"Cit_2.1",0.0393172454963448,0.0447244094713749,0.0478454977930576,0.0427731222758908,0.0189725749210853,0.0320328063857992,0.040807010235517,0.0423690808841646,0.0320101644551487
"Cit_2.2",0.099566250454812,0.111602558683931,0.109953078102321,0.117462690081922,0.0431269291814415,0.0718829762704926,0.102982459367992,0.110998786258437,0.075991568596984
"Cit_3.2",0.05337597582679,0.0501243869852747,0.0481454847998797,0.0533441610773881,0.0224919114879496,0.0336664320204671,0.0672368631189115,0.0537400587223725,0.0311253797875669
"Cit_3.3",0.0690924816074089,0.0727184191536487,0.0644833692261412,0.0649404922203187,0.0279028269098965,0.0344735802525293,0.0724074829287022,0.0622981949469886,0.0337515467136016
"Cit_4.3",0.0816544283304432,0.135067716065217,0.102311319354448,0.142411987074435,0.0255473345562143,0.0460384075293239,0.116819786116377,0.0926698956789096,0.0571455721723415
"Cit_4.4",0.0694919619012316,0.112997772019924,0.0762548350116578,0.115472404017817,0.0213183460688579,0.0384658387706843,0.0954623389297441,0.0807771401649326,0.0387640266779139
"Cit_5.4",0.129892988713348,0.124989964514826,0.113283346914524,0.0984361648509074,0.0421171352015227,0.0668384895822105,0.156302454653589,0.0964381659824534,0.0575757691242976
"Cit_5.5",0.000637718085435771,0.000704199191136536,0.000407515130930049,0.00139837336102637,0.000178254724643666,0.000235753946866823,0.00155474086682276,0.000456986177946196,0.000424947442185196
"Cit_6.5",0.00942046014837879,0.0151342896953522,0.00617074455265521,0.014683889279384,0.00153190748577449,0.002720827795753,0.0161196218143251,0.00802933086858469,0.00261547423048414
"Fum_0.0",0.294739119873521,0.195020719586828,0.289114367982477,0.224942146057736,0.519609661286761,0.521024881060079,0.207099633841959,0.314505462908405,0.460578278852565
"Fum_1.0",0.0285152437029986,0.0244383067574685,0.0265939899204719,0.021104673488655,0.0317538783658681,0.0253766632391128,0.0243412425286913,0.0244141216815482,0.0246145720374212
"Fum_1.1",0.0954985309997217,0.0711936155264976,0.0787805516962867,0.0621259862948019,0.0982063653333113,0.0862995212453317,0.0859118066274827,0.00761296548986803,0.101265820105008
"Fum_2.1",0.0817578392106513,0.0925997825522795,0.0876494147742694,0.0864651653203722,0.0556782249473603,0.0605915768995767,0.0945262181358002,0.0879648230213239,0.0446626899535145
"Fum_2.2",0.178345747244122,0.152567194738725,0.147355597195355,0.125286709016494,0.142051487111013,0.131050212808603,0.0928129131763872,0.209341424790083,0.163610464960248
"Fum_3.2",0.0185007161987581,0.0410472622542087,0.0244432204495697,0.0253527463902702,0.00648208621512997,0.0120115323626277,0.0411665798120931,0.0310015966733714,0.00988098529935815
"Fum_3.3",0.0412168589409281,0.0392379169040507,0.0395569249653644,0.0513533953179494,0,0,0.0373469091415379,0.0349816423427608,0
"Fum_4.3",0.261425943829299,0.383895201679942,0.306505933016206,0.403369178113721,0.146218296740557,0.163645612384669,0.416794696736048,0.29017796309264,0.195387188791885
"Lac_0.0",0.975122395497871,0.972004137553226,0.962550054868473,0.938786831676246,0.98923306900767,0.957490735690896,0.947652179546416,0.968735070728051,0.988095960268207
"Lac_1.0",0.00291291276187688,0,0,0.00469035042418042,0.00106896460601987,0.00362357575092871,0.00267540219308783,0.00230056040725356,0.00323002221216701
"Lac_1.1",0.00708641113702743,0.00572648761869851,0.015515388436775,0.0168198598966417,0.00969796638631041,0.0158232008709139,0.0159122568305497,0.013775270787533,0.00867401751962603
"Lac_2.1",0.00202117076959289,0.00531118371354646,0.00465916671192163,0.0025483606105149,0,0.00770428432617802,0.00602707401470694,0.0049096091771847,0
"Lac_2.2",0,0,0,0,0,0,0,0,0
"Lac_3.2",0.0128571098336322,0.0169581911145291,0.0172753899828304,0.0371545973924172,0,0.0153582033610835,0.0277330874152399,0.0102794888999778,0
"Mal_0.0",0.357299491473143,0.232633572268893,0.297242959767183,0.235506715781079,0.557902786942919,0.574287012861045,0.20656904229144,0.340484830627842,0.527360496784607
"Mal_1.1",0.126086002129141,0.109995113317653,0.132264257416205,0.093771302120641,0.127915654030691,0.131401120970282,0.102595252305099,0.123646841812215,0.120560110292901
"Mal_2.2",0.181599612450773,0.179546116502252,0.189573425427459,0.1802396975992,0.120339213514114,0.110141213602539,0.181800227478688,0.176351863462875,0.14497528646724
"Mal_3.3",0.0480874345006761,0.0762213029962016,0.0582690702844261,0.0766485058996669,0.0242501204372258,0.0277169265829614,0.0714680806292812,0.0683053177874892,0.0205987989691436
"Mal_4.4",0.286927459446267,0.401603894915001,0.322650287104728,0.413833778599413,0.16959222507505,0.156453725983172,0.437567397295492,0.291211146309579,0.186505307486109
"Suc_0.0",0.410200912253696,0.4116930202874,0.484184180652098,0.318105999324423,0.801087452225862,0.922554814453701,0.710057645634699,0.39474981610985,0.664087544028339
"Suc_1.0",0.0427874080418554,0.0172079439281042,0.0328520126803076,0,0.0113541256486355,0.00611474620331634,0,0.0188392529079843,0.0246110422747399
"Suc_1.1",0.0831734831035457,0.101127216406216,0.122832656252249,0.232524509940798,0.0515433550282177,0.0261864951998708,0,0.0942462349839515,0.0976839193731535
"Suc_2.1",0.0792055771463619,0.0949780096355384,0.0764374854497641,0,0.0266754806815754,0.00918262902967885,0,0.0861028714464762,0.0824468391181135
"Suc_2.2",0.0773165284582922,0.0618474075663309,0.0598867987528143,0.0546905656345414,0.0237471193867693,0.00797168650784376,0.0845857435506867,0.0810207581582506,0
"Suc_3.2",0.000196709850680967,0.00393508202031385,0.00227976843726804,0.00554568401586111,0,0.000213209607916977,0.014151565883267,0.00350730962879393,0.000589535321138138
"Suc_3.3",0.00056796374852455,0.000161938316847955,0.000154622896547166,0.000215200907813595,0.00130701933776123,0.000307744671576644,0.00816031676626323,0.00178595366049999,0.00328714336284109
"Suc_4.3",0.306551417397043,0.309049381839248,0.221372474878953,0.388918040176563,0.0842854476911785,0.0274686743260959,0.183044728165084,0.319747803104193,0.127293976521675
