"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",-133.78788465,0.98947291,-182.98208758,-122.89154041,-73.2421826,-74.17285726,-167.25279177,-193.28230125,-90.74528606
"2-KG_1.0",1.7803536,0.18527986,1.84828969,1.33097899,0.7473159,0.74921501,2.25507678,2.54189047,1.68176346
"2-KG_1.1",-841.29434178,3.25771674,-1151.11171171,-773.36355583,-460.43119923,-466.26596666,-1051.82670618,-1215.32900623,-570.10102475
"2-KG_2.1",-9.25677673,-8.11509482,11.62730155,4.10077315,4.34030312,4.709721,-12.78791344,-12.12522474,-25.91020161
"2-KG_2.2",24728.79734511,-243.71065228,33818.87385132,22706.51979225,13542.99090925,13715.47706488,30912.08651033,35727.46150792,16778.17565536
"2-KG_3.2",-320.77936946,-29.856546,-341.60215759,-244.19587691,-138.03835684,-138.53910625,-405.85984126,-458.45368111,-296.10907117
"2-KG_3.3",-944.24664455,-523.73716531,-1267.40987821,-912.43181495,-454.42776023,-456.21968089,-1201.64665047,-1345.09023703,-634.92697721
"2-KG_4.3",3083.72990949,1404.71088289,12.80202146,651.75742736,58.34958012,4.60824414,4065.95511159,4238.6198805,5489.81747152
"2-KG_4.4",12565.52890239,40494.58907769,19126.01033433,17091.39519139,3433.27010447,3212.2840068,17190.40337722,16846.77022416,4984.74414098
"2-KG_5.4",-251.08403037,-465.55290709,-193.19053689,-198.5899736,-36.85046525,-32.4470635,-337.36467834,-340.80872909,-271.81429013
"Cit_0.0",0,0,0,0,0,0,0,0,0
"Cit_1.0",0,0,0,0,0,0,0,0,0
"Cit_1.1",0,0,0,0,0,0,0,0,0
"Cit_2.1",0,0,0,0,0,0,0,0,0
"Cit_2.2",0,0,0,0,0,0,0,0,0
"Cit_3.2",0,0,0,0,0,0,0,0,0
"Cit_3.3",0,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0
"Fum_0.0",0,0,0,0,0.09330932,0.08223694,0,0,0.11474064
"Fum_1.0",0,0,0,0,-0.00094251,-0.00083067,0,0,-0.00115899
"Fum_1.1",0,0,0,0,-7.5520015,-6.65585694,0,0,-9.2865481
"Fum_2.1",0,0,0,0,0.07628226,0.06723036,0,0,0.09380279
"Fum_2.2",0,0,0,0,-22.62153767,-19.93719392,0,0,-27.81726112
"Fum_3.2",0,0,0,0,0.22849862,0.20138425,0,0,0.28098027
"Fum_3.3",0,0,0,0,1897.36528759,1672.21787592,0,0,2333.15287449
"Fum_4.3",0,0,0,0,-19.16515845,-16.89095967,0,0,-23.56701939
"Lac_0.0",-1.13713476,-6.02180876,-1.0977649,-0.6471449,-0.20194963,-0.37862207,-1.02320596,-1.17716807,-0.25118577
"Lac_1.0",0.01148609,376.42170988,0.6736082,0.00653675,-0.42377172,0.00382443,0.01033531,0.01189047,-0.57973868
"Lac_1.1",-6.80092166,-9.38889228,-6.5185896,-3.87041353,-1.45995289,-2.26444494,-6.11954169,-7.04035098,-1.84709064
"Lac_2.1",0.06869549,-3.70678954,0.05915156,0.03909469,18.81973639,0.02287295,0.06181293,0.07111394,25.73514924
"Lac_2.2",589.24824197,817.36547704,564.79315865,335.34195575,107.22425477,196.19696659,530.21183942,609.99297547,133.68474308
"Lac_3.2",-5.95194281,-8.21773424,-5.70485665,-3.38725855,1.37620717,-1.98176769,-5.35562149,-6.16148348,1.99606742
"Mal_0.0",0,0,0,0,0,0,0,0,0
"Mal_1.1",0,0,0,0,0,0,0,0,0
"Mal_2.2",0,0,0,0,0,0,0,0,0
"Mal_3.3",0,0,0,0,0,0,0,0,0
"Mal_4.4",0,0,0,0,0,0,0,0,0
"Suc_0.0",0,0,0,-17.56150485,0.00858876,0,-561.17027197,0,-4.8763414
"Suc_1.0",0,0,0,1516.85459898,-0.74184416,0,4799.15106424,0,0.04925559
"Suc_1.1",0,0,0,-14.48193527,0.05260168,0,15001.92605029,0,-29.86505118
"Suc_2.1",0,0,0,1250.86035045,-4.54340911,0,373.1954561,0,0.30166486
"Suc_2.2",0,0,0,0.2943564,-2.30311007,0,-303.01221136,0,1307.61031736
"Suc_3.2",0,0,0,-25.42469279,198.92845943,0,-8.02896842,0,-13.20808338
"Suc_3.3",0,0,0,-0.00446893,0.06977313,0,4.59074104,0,-39.614289
"Suc_4.3",0,0,0,0.38599887,-6.02657334,0,0.12412227,0,0.40014125
