"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",-0.00016642,1.05e-06,-0.00017904,-0.00021623,-0.00011137,-0.00011984,-0.0002211,-0.00018363,-0.00015201
"2-KG_1.0",0.00013389,1.378e-05,0.00013464,0.00018449,0.00021839,0.00014293,0.00027473,0.0001821,0.00012085
"2-KG_1.1",-0.0031158,7.41e-06,-0.00314022,-0.00355217,-0.00278648,-0.00250442,-0.00334339,-0.00300318,-0.00240453
"2-KG_2.1",-0.00028692,-0.00012708,0.0003367,0.00015014,0.00079595,0.00069083,-0.00043798,-0.00041533,-0.00139804
"2-KG_2.2",Inf,-0.00044221,Inf,Inf,-Inf,Inf,Inf,Inf,-Inf
"2-KG_3.2",-0.00387879,-0.00015249,-0.00296327,-0.00297372,-0.00438955,-0.00443259,-0.00336399,-0.00428023,-0.0065737
"2-KG_3.3",-0.00266912,-0.00055119,-0.00251545,-0.00230636,-0.00351475,-0.00378201,-0.00231484,-0.00256731,-0.0037078
"2-KG_4.3",Inf,Inf,0.0023653,Inf,Inf,0.00441662,Inf,Inf,Inf
"2-KG_4.4",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"2-KG_5.4",-0.00028781,-0.00016323,-0.00014074,-0.00015295,-0.00018934,-0.00017844,-0.00017909,-0.00030803,-0.00089422
"Cit_0.0",0,0,0,0,0,0,0,0,0
"Cit_1.0",0,0,0,0,0,0,0,0,0
"Cit_1.1",0,0,0,0,0,0,0,0,0
"Cit_2.1",0,0,0,0,0,0,0,0,0
"Cit_2.2",0,0,0,0,0,0,0,0,0
"Cit_3.2",0,0,0,0,0,0,0,0,0
"Cit_3.3",0,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0
"Fum_0.0",0,0,0,0,3.3e-07,3.3e-07,0,0,4.5e-07
"Fum_1.0",0,0,0,0,-5e-08,-7e-08,0,0,-8e-08
"Fum_1.1",0,0,0,0,-0.00014135,-0.00016061,0,0,-0.00016544
"Fum_2.1",0,0,0,0,2.52e-06,2.31e-06,0,0,3.79e-06
"Fum_2.2",0,0,0,0,-0.00029293,-0.00031704,0,0,-0.00030695
"Fum_3.2",0,0,0,0,6.489e-05,3.496e-05,0,0,5.138e-05
"Fum_3.3",0,0,0,0,Inf,Inf,0,0,Inf
"Fum_4.3",0,0,0,0,-0.0002414,-0.00021536,0,0,-0.00021802
"Lac_0.0",-4.46e-06,-1.722e-05,-4.77e-06,-5.18e-06,-4.16e-06,-4.71e-06,-4.97e-06,-4.56e-06,-4.13e-06
"Lac_1.0",1.509e-05,Inf,Inf,1.048e-05,-0.00809109,1.259e-05,1.778e-05,1.941e-05,-0.00291974
"Lac_1.1",-0.00367286,-0.00456048,-0.00175961,-0.00173119,-0.00307286,-0.00170686,-0.00177003,-0.00191975,-0.00346442
"Lac_2.1",0.00013017,-0.00194269,5.321e-05,0.0001155,-Inf,3.544e-05,4.724e-05,5.445e-05,Inf
"Lac_2.2",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Lac_3.2",-0.00177399,-0.00134968,-0.0013849,-0.00068679,Inf,-0.00154105,-0.00088998,-0.00225444,Inf
"Mal_0.0",0,0,0,0,0,0,0,0,0
"Mal_1.1",0,0,0,0,0,0,0,0,0
"Mal_2.2",0,0,0,0,0,0,0,0,0
"Mal_3.3",0,0,0,0,0,0,0,0,0
"Mal_4.4",0,0,0,0,0,0,0,0,0
"Suc_0.0",0,0,0,-0.00012805,2e-08,0,-0.00128373,0,-2.877e-05
"Suc_1.0",0,0,0,Inf,-0.00012582,0,-Inf,0,7.85e-06
"Suc_1.1",0,0,0,-0.0001446,1.97e-06,0,-Inf,0,-0.00119897
"Suc_2.1",0,0,0,Inf,-0.00032829,0,Inf,0,1.436e-05
"Suc_2.2",0,0,0,1.25e-05,-0.00018693,0,-0.00582852,0,Inf
"Suc_3.2",0,0,0,-0.0106593,Inf,0,-0.00092376,0,-0.08798782
"Suc_3.3",0,0,0,-4.827e-05,0.00010295,0,0.00091578,0,-0.04731881
"Suc_4.3",0,0,0,2.31e-06,-0.00013799,0,1.1e-06,0,1.235e-05
