"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",764647.95256249,900398.24654124,972267.36041632,540823.57556562,624885.05049046,588424.67523056,720085.08594739,1001637.66576482,568168.51329935
"2-KG_1.0",21193.11026886,23115.33136408,23870.83483953,12957.21423428,10057.27220427,11401.71729995,15859.10756927,24354.86969251,19519.72001514
"2-KG_1.1",290370.03887845,467389.57577088,391293.01650454,231000.62259046,184265.68407188,202559.43316279,330959.79441467,428716.53017387,250196.9061283
"2-KG_2.1",35899.09504354,69994.11324065,39767.33824563,30286.96724324,7903.58000041,9467.38230912,33953.03248512,34977.69697159,21753.3343286
"2-KG_2.2",0,566878.51672264,0,0,0,0,0,0,0
"2-KG_3.2",80626.81883702,195787.84395313,112202.58005393,80080.68019694,30407.15260882,30295.04132451,117327.34030466,104105.06576417,43998.28142965
"2-KG_3.3",337497.34065984,915771.9819252,480693.51603366,377365.18887287,123435.27101172,115220.2227464,495248.56524392,499706.0606179,163541.9276045
"2-KG_4.3",35741.75349141,122095.45390717,65432.29606684,54990.8770354,9395.45628182,9858.06580433,76083.23082408,45812.34198772,8810.12437267
"2-KG_4.4",0,0,0,0,0,0,6176.49827925,0,0
"2-KG_5.4",829953.90397193,2712939.37632768,1305733.96054051,1235052.83214994,185142.30295072,172988.32483018,1791833.72310873,1052612.27430225,289379.8119758
"Cit_0.0",1313214.52237991,1343754.3949934,1638973.16359043,1292854.60730426,2687508.7899868,1058715.58393419,1231774.86207728,1974911.76233878,1435374.01283386
"Cit_1.0",75882.37608075,89157.53681494,92643.87797316,84473.92950611,61652.76024635,42080.78284802,75229.53585204,116205.75686912,62609.69587085
"Cit_1.1",638365.5067275,794073.419326,733572.43846013,612945.90470311,416433.72604791,280409.64914824,612018.78440988,841998.16908184,432548.61354225
"Cit_2.1",183892.09113452,303686.86251014,276314.93794772,247045.53157999,78986.9038877,68092.71594584,241971.32622835,281153.77931078,96161.33601639
"Cit_2.2",465339.16641653,760137.96591237,638284.20662668,672155.66032754,180300.82259056,152880.25350603,607381.92003,730725.14704593,227699.15646187
