"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",0.319144527672298,0.150710146888467,0.286697894473988,0.211048329229281,0.531594577384759,0.516064729969525,0.200719105600913,0.313803879671125,0.416128293362558
"2-KG_1.0",0.00884546299247365,0.00386908237398097,0.00703892608808663,0.00505635948423787,0.00855579976329426,0.00999962171416765,0.00442062465818813,0.00763015695157455,0.014296300457846
"2-KG_1.1",0.121193038701658,0.078232439800005,0.115382752236166,0.0901445455621139,0.156756252007984,0.17765023048528,0.0922529229130961,0.134312950726527,0.183244951303571
"2-KG_2.1",0.014983365473142,0.0117157303763621,0.011726416629861,0.0118190369704625,0.00672363703827914,0.00830315637759394,0.00946419033784843,0.0109581911571435,0.0159322061628152
"2-KG_2.2",0,0.0948850631943921,0,0,0,0,0,0,0
"2-KG_3.2",0.0336515751192805,0.0327712929634198,0.0330858000233974,0.0312502903399372,0.0258676014538554,0.0265695899214678,0.0327042446345097,0.0326151607979613,0.0322244709688081
"2-KG_3.3",0.140862770919064,0.15328342813023,0.141744775711834,0.147261133240387,0.105007346033237,0.101051325074617,0.138047365520855,0.156553318506984,0.119778589686521
"2-KG_4.3",0.0149176951275019,0.0204365389020344,0.0192943857592103,0.0214593690909946,0.00799278780561472,0.00864579661847116,0.0212077132831396,0.014352585913979,0.00645256105133631
"2-KG_4.4",0,0,0,0,0,0,0.00172165933519587,0,0
"2-KG_5.4",0.346401563994582,0.454096277371109,0.385029049077457,0.481960936082585,0.157501998512976,0.151715549838877,0.499462173716254,0.329773756274706,0.211942627006545
"Cit_0.0",0.286909770216107,0.198442146109815,0.284299690853461,0.225183321165096,0.673354424532012,0.512542131056401,0.210381625339329,0.301958561475119,0.494331599934449
"Cit_1.0",0.0165787041749465,0.0131665526180537,0.0160701995934676,0.0147132708431269,0.0154470783690702,0.0203720191189577,0.0128488675271265,0.017767539719229,0.0215622902842877
"Cit_1.1",0.139469445187943,0.11726669254956,0.127246999588427,0.106760028340223,0.104337330171147,0.135751056586082,0.104530065165653,0.128739197744989,0.148966364355182
"Cit_2.1",0.0401765566195141,0.0448476841946735,0.0479301633375377,0.0430292261526409,0.0197901422354525,0.032964836137208,0.0413276179476371,0.0429876374088924,0.0331172131164383
"Cit_2.2",0.101666826732287,0.112255193253482,0.110718104879208,0.117072904468409,0.0451743105326592,0.0740119179480163,0.103738109513081,0.111725859576826,0.0784178111844839
"Cit_3.2",0.0552350683767628,0.0540478868808479,0.0513451236870266,0.0572356001762878,0.0231150048437585,0.035056972359037,0.0693721288889591,0.0561012738332185,0.0330318776781639
"Cit_3.3",0.0714927127514145,0.0774330955648447,0.0679163727509106,0.0704445140865197,0.0286165924424863,0.0365536503720848,0.0760498517939535,0.0659668847482397,0.0361239685305045
"Cit_4.3",0.0840422069889877,0.134037384480075,0.102616208273859,0.139937316390097,0.0265664355589137,0.0471787599799195,0.118589769126213,0.0930634788823854,0.0571695154579158
"Cit_4.4",0.0679870813829338,0.10893385095747,0.0740832829013562,0.110874868189667,0.0209925331174932,0.0374789624715758,0.0927854216646832,0.0781221771500042,0.0376697492592223
"Cit_5.4",0.12483719232163,0.122072808279741,0.109569885360485,0.0972690821765779,0.0403296207797517,0.0641983859431335,0.150997548231433,0.0936817004816653,0.0557293316196654
"Cit_5.5",0.00141501166699784,0.00197406215031075,0.00123448444033019,0.00264330430371697,0.000405382191658772,0.000648075717081252,0.00260758668595855,0.00134241810296481,0.000826660694975966
"Cit_6.5",0.0101894235804755,0.0155226429611268,0.00696948433393088,0.0148365637076378,0.0018711452255974,0.00324323231050345,0.0167714081159732,0.00854327087646734,0.0030536178847118
"Fum_0.0",0.2839543052592,0.188089322338935,0.278398402655825,0.216673307183658,0.500846735307093,0.502075079470536,0.199817779169697,0.302050305368479,0.444430705192879
"Fum_1.0",0.0312150889970019,0.026383784194001,0.0293720929748104,0.023433010120132,0.036483727716223,0.030417056935642,0.026436424664639,0.0275404778224404,0.0289243367181172
"Fum_1.1",0.105052385429916,0.0782704539122504,0.0883048687264922,0.0699108310721081,0.113948905723685,0.102388425158705,0.0916305445728892,0.0220264022663133,0.115459728259877
"Fum_2.1",0.0808746572121026,0.0913613326561206,0.0864197826809308,0.0849809805090358,0.0559150831939321,0.0604322508888197,0.093363915179981,0.086059358233078,0.0452371825698084
"Fum_2.2",0.174625341938477,0.149611692092011,0.144585652344206,0.12345825041275,0.138945271757746,0.128193050698945,0.0925403917713734,0.202505311835208,0.159905236488966
"Fum_3.2",0.0289365252251977,0.0540919739657534,0.0357456880807784,0.0391879781039755,0.0131606623850873,0.0189690330753707,0.0545861036819976,0.0421938305011748,0.0178690265992045
"Fum_3.3",0.0439316600894053,0.042967228655646,0.04245696339369,0.0544945096548316,0,0,0.0408536047680022,0.0385452098558507,0
"Fum_4.3",0.251410035848701,0.369224212185282,0.294716549143267,0.387861132943508,0.140699613916234,0.157525103771981,0.40077123619142,0.279079104117455,0.188173784171147
"Lac_0.0",0.944537510857786,0.942492138259023,0.932553948806928,0.909814342390802,0.958435936643224,0.92767836013967,0.918269750880457,0.938455552444772,0.957367733345599
"Lac_1.0",0.0130577701366221,0.00919138660692318,0.0101306847429851,0.0144128490675403,0.0114102651738469,0.0136199551743476,0.0125850291292425,0.0124270791799778,0.013492862663556
"Lac_1.1",0.0273406993509737,0.0260184212721426,0.0352735956567986,0.0360341321809779,0.0301537981829286,0.0354951324852361,0.0353672646860959,0.0337148662457993,0.0291394039908449
"Lac_2.1",0.00256503007280022,0.00577329115733656,0.00523163585392467,0.00368339496382606,0,0.00822166558174097,0.00681898636398651,0.00536814053909712,0
"Lac_2.2",0,0,0,0,0,0,0,0,0
"Lac_3.2",0.0124989895818174,0.0165247627045744,0.0168101349393632,0.0360552813968535,0,0.0149848866190056,0.0269589689402182,0.010034361590354,0
"Mal_0.0",0.343979957558654,0.224323689889397,0.28647442233044,0.226928418193863,0.536144927426599,0.551861316624238,0.199257890878266,0.32784293367723,0.50683336083031
"Mal_1.1",0.139307306971586,0.118713151919504,0.142920547066105,0.103279776295172,0.148116948472942,0.151934867039191,0.11058241766903,0.136180964503016,0.140285080172225
"Mal_2.2",0.179923361360811,0.178322251818617,0.188069065683147,0.178508023363845,0.120529654275369,0.110960005717902,0.180136364164946,0.175401354935301,0.143814707989766
"Mal_3.3",0.0610560706937889,0.0924730741585066,0.0723848099747765,0.0933680413520519,0.0323583387885718,0.0349613133912282,0.0893584622109753,0.0805093444103509,0.0300234221401008
"Mal_4.4",0.275733303415161,0.386167832213975,0.310151154945531,0.397915740795068,0.162850131036519,0.15028249722744,0.420664865076783,0.280065402474102,0.179043428867597
"Suc_0.0",0.394651570924068,0.396014354270253,0.465779587411767,0.309276634168441,0.768533378285732,0.88413442079053,0.702716489936013,0.379731519950639,0.639035490501397
"Suc_1.0",0.0460676375706784,0.021705811210122,0.0372746291255723,0,0.0194547293067966,0.0155087601390173,0,0.0230089696031308,0.0313464188309954
"Suc_1.1",0.0948139510647381,0.111926546078143,0.13475165399428,0.235439467359346,0.0750476105097473,0.054009406700311,0,0.105090976098841,0.115440544711818
"Suc_2.1",0.0784053453303881,0.0929940247933241,0.0758708264914192,0,0.0267660596246363,0.00958232118440843,0,0.0844584775465705,0.0812388211252121
"Suc_2.2",0.0761392761099508,0.0617056832437357,0.0602385597861541,0.0579083635838345,0.0241741783789844,0.00851051024946317,0.0848241133480748,0.079993766031495,0
"Suc_3.2",0.0115771895945505,0.0153972773081586,0.010864326139279,0.0174252726952311,0.00287910685059002,0.00128587763787295,0.0204220666602489,0.0153128715282234,0.00607150019022812
"Suc_3.3",0.00432608307111938,0.00380294071400071,0.00292780531575061,0.00459607562665283,0.00232170919141274,0.000647266088649893,0.0108902650260449,0.00566235094898216,0.00456387649697665
"Suc_4.3",0.294018946334507,0.296453362382263,0.212292611735778,0.375354186566494,0.0808232278521007,0.0263214372097473,0.181147065029618,0.306741068292119,0.122303348143373
