"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",754968.265490743,889000.094964084,959959.416914523,533977.283811415,616974.623575315,580975.80061782,710969.520707668,988957.923235742,560976.061669385
"2-KG_1.0",20924.8264464917,22822.7141231468,23568.6536715642,12793.1887128762,9929.95708179243,11257.3828318145,15658.3469473482,24046.5611218709,19272.6196589022
"2-KG_1.1",286694.241275206,461472.885849855,386339.633787133,228076.38309886,181933.062695075,199995.23100953,326770.170637443,423289.40277405,247029.660666483
"2-KG_2.1",35444.6479937364,69108.0569702272,39263.9230614213,29903.5641826755,7803.52849187708,9347.53460949069,33523.2206632333,34534.9139103907,21477.9586235291
"2-KG_2.2",0,559702.395173916,0,0,0,0,0,0,0
"2-KG_3.2",79606.1630263069,193309.363424192,110782.206325177,79066.9379614428,30022.2281203546,29911.5360540595,115842.092177985,102787.19856031,43441.3066878666
"2-KG_3.3",333224.958010823,904179.214058101,474608.411382519,372588.118682832,121872.702521207,113761.648644704,488979.208060359,493380.275950032,161471.648494987
"2-KG_4.3",35289.2982300927,120549.846176523,64603.9878915675,54294.7469016309,9276.51909458302,9733.27243792024,75120.0923453637,45232.4030328338,8698.596908685
"2-KG_4.4",0,0,0,0,0,0,6098.30991774067,0,0
"2-KG_5.4",819447.508123356,2678596.24610747,1289204.65957968,1219418.28439208,182798.584445623,170798.463671446,1769150.87976079,1039287.2436277,285716.549666106
"Cit_0.0",1290000,1320000,1610000,1270000,2640000,1040000,1210000,1940000,1410000
"Cit_1.0",74540.9554006199,87581.4427355223,91006.1536395361,82980.6305106916,60562.8854710326,41336.8942764717,73899.655840888,114151.514323413,61502.9047402133
"Cit_1.1",627080.716550467,780036.082051638,720604.615229652,602110.472883015,409072.164103278,275452.670707354,601199.741880666,827113.635742556,424902.178555163
"Cit_2.1",180641.314515484,298318.398069577,271430.344302451,242678.351714108,77590.6025090814,66888.998006924,237693.846294725,276183.646411108,94461.431355734
"Cit_2.2",457113.072119728,746700.527077537,627000.853642868,660273.540267536,177113.531093387,150177.692724087,596644.846280513,717807.657183786,223673.974685787
"Cit_3.2",248347.200418983,359516.423709906,290769.395098363,322800.16054383,90626.2891640381,71134.1547245145,398990.528855604,360435.122967731,94218.0259817241
"Cit_3.3",321444.610895816,515070.453274742,384613.011012124,397296.444634495,112196.19459792,74171.0663055419,437397.137332037,423818.936566665,103037.709170859
"Cit_4.3",377869.484661096,891591.584661604,581119.50394652,789225.378220289,104158.207506065,95730.4920046014,682063.466385304,597907.037806259,163066.688041692
"Cit_4.4",305682.636453698,724607.580006152,419536.458562882,625317.549596135,82304.7794906816,76048.6184620587,533650.978469167,501913.318604467,107446.795759257
